,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2017-1-1,56.96%,NULL,79.01%,95.05%,90.2%,86.4%,96.22%,73.77%,94.26%,67.83%,85.96%,83.52%,2.6%,97.74%,76.24%,82.25%,13.02%,87.27%,NULL,85.52%,96.25%,84.52%,94.08%,96.5%,77.4%,57.89%
2017-1-2,56.39%,NULL,78.48%,94.64%,90.2%,85.82%,96.14%,73.92%,95%,67.83%,85.99%,83.14%,2.6%,98.12%,75.69%,81.97%,13.02%,87.04%,NULL,85.03%,91.53%,84.32%,94.08%,96.62%,77.02%,57.97%
2017-1-3,55.67%,NULL,78%,94.64%,90.09%,85.24%,96.01%,74.91%,94.88%,67.62%,86.03%,NULL,2.6%,97.74%,75.04%,81.69%,13.02%,86.61%,89.81%,84.47%,85.53%,84.01%,94.08%,95.98%,76.63%,57.67%
2017-1-4,55.1%,NULL,77.34%,94.23%,89.87%,84.69%,95.8%,74.41%,95.93%,67.51%,86.07%,NULL,2.6%,95.46%,74.5%,81.41%,13.02%,86.18%,89.68%,83.82%,82.12%,83.8%,94.44%,94.62%,76.25%,57.23%
2017-1-5,54.46%,NULL,76.81%,93.83%,89.65%,84.14%,95.72%,74.66%,96.24%,67.19%,86.1%,81.91%,2.6%,92.79%,73.97%,81.13%,13.02%,85.86%,89.52%,83.02%,76.36%,83.59%,94.62%,93.77%,75.83%,57.08%
2017-1-6,53.9%,NULL,76.24%,93.83%,89.32%,83.61%,95.48%,75.65%,96.49%,67.09%,86.14%,81.51%,2.6%,91.27%,73.33%,80.85%,13.02%,85.47%,89.31%,82.05%,70.31%,83.39%,94.26%,93.43%,75.51%,56.35%
2017-1-7,53.34%,NULL,75.67%,93.42%,88.98%,83.03%,95.17%,76.15%,96.37%,66.88%,86.18%,81.1%,2.6%,90.51%,72.9%,80.58%,13.02%,85.05%,89.03%,80.93%,68.32%,83.17%,93.73%,92.36%,75.14%,55.26%
2017-1-8,52.86%,NULL,75.01%,93.01%,88.43%,82.49%,95.09%,76.64%,95.25%,66.66%,86.21%,80.69%,2.6%,89.37%,72.48%,80.25%,13.02%,84.47%,88.71%,79.74%,66.42%,82.86%,93.03%,92.87%,74.76%,54.32%
2017-1-9,52.47%,NULL,74.26%,92.81%,87.87%,81.92%,95.17%,76.64%,96.05%,66.35%,86.25%,80.28%,2.6%,88.61%,72.06%,79.98%,13.02%,83.93%,88.35%,78.54%,64.5%,82.66%,92.15%,93.54%,74.42%,53.81%
2017-1-10,51.99%,NULL,73.56%,92.4%,87.09%,81.37%,94.78%,77.14%,96.37%,66.16%,86.28%,79.82%,2.6%,90.13%,71.42%,79.65%,13.02%,83.55%,87.95%,77.36%,62.39%,82.45%,91.62%,93.6%,74.01%,52.89%
