,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2012-1-1,82.98%,NULL,93.02%,90.99%,86.86%,100%,99.84%,81.97%,NULL,73.35%,67.27%,90.92%,NULL,85.57%,61.92%,84.68%,55.57%,98.38%,91.07%,97%,100%,87.27%,97.05%,93.02%,97.05%,42.45%
2012-1-2,82.39%,NULL,92.65%,90.99%,85.86%,100%,100%,82.39%,NULL,73.35%,67.4%,90.56%,NULL,86.71%,61.44%,84.55%,55.42%,98.54%,91.07%,96.83%,99.36%,86.95%,97.05%,92.44%,96.82%,42.9%
2012-1-3,81.88%,NULL,92.06%,91.19%,84.65%,100%,100%,82.11%,NULL,73.35%,67.43%,90.38%,NULL,87.85%,60.86%,84.41%,54.99%,98.71%,90.56%,96.66%,87.25%,86.62%,96.71%,91.76%,96.41%,43.42%
2012-1-4,81.2%,NULL,91.67%,91.19%,83.42%,100%,100%,82.11%,NULL,73.35%,67.52%,90.15%,NULL,88.61%,60.4%,84.23%,54.7%,98.79%,90.92%,96.41%,76.56%,86.18%,96.36%,91.03%,96.22%,42.96%
2012-1-5,80.61%,NULL,91.18%,91.59%,81.75%,100%,100%,81.93%,NULL,73.24%,67.58%,89.85%,NULL,89.75%,59.82%,84.05%,54.27%,98.83%,90.68%,96.16%,78.69%,85.63%,95.67%,90.21%,96.03%,42.84%
2012-1-6,80.02%,NULL,90.9%,93.61%,81.64%,100%,100%,81.7%,NULL,73.35%,67.67%,89.91%,NULL,90.13%,59.27%,83.92%,53.98%,98.96%,90.78%,95.91%,92.81%,85.19%,95.16%,90.82%,96.52%,43.09%
2012-1-7,79.52%,NULL,90.66%,96.66%,83.31%,100%,100%,81.79%,NULL,75.47%,67.73%,91.16%,NULL,92.03%,58.81%,83.78%,53.69%,98.67%,91.44%,95.74%,100%,NULL,94.81%,90.82%,96.97%,42.84%
2012-1-8,78.93%,NULL,90.27%,96.04%,84.76%,100%,99.89%,83.1%,NULL,76.96%,67.79%,92.34%,NULL,93.55%,58.35%,83.65%,53.4%,97.84%,92.26%,95.57%,100%,84.65%,94.3%,89.75%,97.05%,43.16%
2012-1-9,78.34%,NULL,89.85%,93.4%,86.19%,100%,99.75%,82.39%,NULL,77.63%,67.85%,93.12%,NULL,95.08%,57.72%,83.47%,52.96%,98.29%,92.08%,95.24%,100%,84.17%,93.62%,89.75%,96.97%,42.77%
2012-1-10,77.84%,NULL,89.44%,95.43%,87.64%,100%,99.86%,82.25%,NULL,78.08%,67.91%,93.77%,NULL,96.22%,57.14%,83.29%,51.23%,98.88%,91.44%,94.9%,100%,83.13%,92.94%,89.7%,97.01%,42.64%
2012-1-11,77%,NULL,89.05%,96.66%,89.09%,100%,99.9%,81.84%,NULL,78.41%,67.94%,94.01%,NULL,96.6%,56.5%,83.07%,49.78%,98.96%,91.26%,94.57%,100%,82.91%,92.26%,90.05%,96.82%,42.13%
2012-1-12,76.33%,NULL,88.62%,96.45%,90.2%,100%,99.99%,81.61%,NULL,78.52%,68%,94.32%,NULL,95.46%,55.88%,82.89%,48.48%,98.79%,90.97%,94.23%,99.57%,82.62%,91.58%,89.04%,96.67%,41.36%
2012-1-13,75.58%,NULL,87.92%,96.86%,91.39%,100%,100%,81.84%,NULL,78.75%,67.7%,94.44%,NULL,94.69%,55.34%,82.72%,47.18%,99.04%,90.63%,93.9%,87.05%,82.25%,90.91%,88.64%,96.52%,40.23%
2012-1-14,74.91%,NULL,87.68%,97.07%,92.7%,100%,100%,81.88%,NULL,78.97%,67.7%,94.56%,NULL,93.17%,56.97%,82.58%,46.02%,99.21%,89.82%,93.57%,79.97%,NULL,90.41%,87.25%,96.41%,39.3%
2012-1-15,74.24%,NULL,87.26%,95.64%,93.96%,100%,99.95%,82.62%,NULL,79.09%,67.79%,94.62%,NULL,92.03%,56.5%,82.45%,44.72%,99.25%,89.38%,93.23%,80.84%,82.25%,89.9%,85.06%,96.03%,39.67%
2012-1-16,73.58%,NULL,86.79%,97.27%,95.43%,100%,100%,82.57%,NULL,79.53%,67.67%,95.23%,NULL,91.27%,55.88%,82.23%,43.56%,99.08%,89.01%,92.9%,83.61%,82.15%,89.23%,82.95%,96.52%,39.3%
2012-1-17,73.24%,NULL,86.41%,92.19%,95.43%,100%,100%,82.2%,NULL,83.35%,67.58%,96.52%,NULL,90.51%,57.06%,82.05%,42.55%,98.71%,88.97%,92.57%,96.45%,82.15%,88.9%,81.71%,96.71%,39.36%
2012-1-18,72.75%,NULL,86.05%,98.3%,95.54%,100%,99.85%,81.88%,NULL,85.26%,67.55%,97.98%,NULL,90.13%,56.24%,81.92%,41.68%,98.25%,88.84%,92.24%,100%,NULL,88.4%,79.73%,97.27%,40.11%
2012-1-19,72.17%,NULL,85.52%,93.61%,95.43%,100%,99.81%,81.38%,NULL,86.27%,67.18%,97.8%,NULL,90.13%,55.97%,81.83%,40.81%,98.79%,88.71%,91.99%,93.89%,80.29%,87.74%,77.64%,97.53%,40.42%
2012-1-20,71.59%,NULL,85.1%,93%,95.54%,100%,99.34%,80.64%,NULL,86.94%,66.49%,97.56%,NULL,89.37%,58.52%,81.48%,40.23%,99.04%,88.55%,91.74%,93.25%,79.96%,87.24%,74.75%,97.53%,40.42%
2012-1-21,70.92%,NULL,84.78%,92.4%,95.19%,100%,98.8%,81.19%,NULL,87.5%,66.49%,97.43%,NULL,88.61%,61.05%,81.3%,40.37%,99.17%,88.4%,91.74%,81.9%,NULL,86.58%,70.91%,97.65%,40.8%
2012-1-22,70.18%,NULL,84.32%,91.19%,94%,100%,98.31%,79.82%,NULL,88.06%,66.49%,97.49%,NULL,87.85%,60.3%,81.08%,40.37%,99.46%,88.42%,91.91%,78.48%,NULL,86.08%,66.58%,97.72%,42%
2012-1-23,69.69%,NULL,84.04%,92.19%,94.94%,100%,98.71%,80.28%,NULL,90.98%,65.44%,98.04%,NULL,86.71%,63.17%,80.82%,40.52%,99.38%,89.39%,92.4%,100%,NULL,85.59%,100%,98.17%,48.1%
2012-1-24,69.27%,NULL,83.77%,91.79%,95.54%,100%,99.07%,81.88%,NULL,99.06%,64.7%,97.92%,NULL,88.23%,67.12%,80.65%,40.66%,98.83%,89.86%,92.98%,100%,82.15%,84.93%,100%,98.74%,46.33%
2012-1-25,68.7%,NULL,83.6%,93.81%,95.54%,100%,99.36%,83.05%,NULL,98.59%,63.93%,97.98%,NULL,90.13%,71.2%,80.34%,40.81%,98.92%,90.07%,93.57%,100%,78%,84.44%,95.41%,99.28%,47.96%
2012-1-26,68.2%,NULL,83.4%,92.6%,95.43%,100%,99.34%,82.57%,NULL,96.13%,63.99%,97.49%,NULL,90.51%,73.91%,80.17%,41.1%,98.79%,89.92%,93.57%,100%,77.46%,83.95%,90.9%,99.47%,47.89%
2012-1-27,67.63%,NULL,83.18%,92.19%,95.3%,100%,99.34%,82.02%,NULL,95.43%,64.05%,97.19%,NULL,91.65%,73.07%,79.91%,41.1%,98.42%,90.07%,93.57%,100%,NULL,83.3%,85.95%,99.92%,47.55%
2012-1-28,66.97%,NULL,82.94%,93.61%,95.19%,100%,99.17%,81.19%,NULL,95.31%,63.66%,97.01%,NULL,91.27%,72.34%,79.69%,41.1%,98.13%,89.92%,93.65%,100%,NULL,82.81%,80.86%,100%,47.35%
2012-1-29,66.48%,NULL,82.66%,94.62%,95.07%,100%,98.97%,81.65%,NULL,95.66%,62.93%,96.82%,NULL,92.03%,75.19%,79.44%,41.1%,98.79%,89.57%,93.82%,100%,75.92%,82.17%,75.33%,100%,47.01%
2012-1-30,65.99%,NULL,82.16%,91.59%,95.19%,100%,98.8%,82.11%,NULL,95.9%,62.22%,96.64%,NULL,93.93%,79.04%,79.18%,41.1%,99.25%,89.29%,93.98%,100%,75.62%,81.68%,70.18%,99.92%,47.01%
2012-1-31,65.34%,NULL,82.06%,93.61%,96.73%,100%,98.45%,81.97%,NULL,95.2%,62.28%,96.58%,NULL,95.46%,81.56%,78.96%,41.24%,99.63%,89.13%,94.07%,100%,75.12%,81.2%,65.1%,99.96%,46.2%
2012-2-1,64.77%,NULL,81.74%,96.69%,98.38%,100%,97.97%,81.74%,NULL,94.14%,62.25%,96.46%,NULL,96.22%,80.91%,78.71%,41.24%,99.46%,89.08%,94.23%,100%,74.81%,80.56%,60.5%,99.73%,45.73%
2012-2-2,64.21%,NULL,81.19%,91.8%,98.87%,100%,97.69%,81.52%,NULL,93.79%,61.61%,96.58%,NULL,97.74%,78.83%,78.45%,41.24%,99.21%,89.13%,94.4%,100%,74.41%,80.08%,56.31%,99.73%,45%
2012-2-3,63.56%,NULL,80.78%,93.62%,98.74%,100%,97.52%,81.52%,NULL,94.03%,61.12%,96.64%,NULL,96.6%,77.53%,78.19%,41.24%,99%,89.63%,94.73%,100%,74.11%,79.61%,52.22%,99.73%,44.8%
2012-2-4,63.07%,NULL,80.1%,95.05%,98.98%,100%,97.35%,81.15%,NULL,94.38%,60.83%,96.7%,NULL,94.31%,76.02%,77.94%,41.24%,98.79%,90.21%,95.07%,100%,73.71%,79.13%,48.2%,99.54%,45.07%
2012-2-5,62.43%,NULL,79.74%,96.69%,98.98%,100%,97.12%,81.88%,NULL,94.73%,60.17%,96.52%,NULL,92.03%,74.43%,77.68%,41.24%,98.5%,90.57%,95.32%,100%,82.15%,78.81%,44.08%,99.62%,45.66%
2012-2-6,61.87%,NULL,79.34%,98.96%,98.98%,100%,97.04%,82.34%,NULL,94.96%,59.68%,96.27%,NULL,93.93%,73.07%,77.47%,41.24%,98.29%,90.7%,95.82%,100%,72.8%,78.18%,39.88%,99.31%,45.07%
2012-2-7,61.22%,NULL,78.89%,100%,98.87%,100%,97.57%,82.16%,NULL,95.31%,59.25%,96.58%,NULL,93.17%,71.61%,77.22%,41.24%,98.21%,90.39%,95.99%,100%,NULL,77.71%,35.38%,99.77%,44.87%
2012-2-8,60.74%,NULL,78.75%,92.4%,98.14%,100%,97.29%,81.74%,NULL,96.13%,58.82%,96.64%,NULL,94.69%,69.86%,76.96%,40.52%,98.29%,89.76%,96.58%,100%,71.99%,77.24%,33.02%,99.81%,44.34%
2012-2-9,60.42%,NULL,78.49%,95.05%,97.55%,100%,97.23%,81.42%,NULL,96.84%,58.33%,96.94%,NULL,95.08%,68.53%,76.71%,39.94%,98.21%,90.23%,96.75%,100%,71.68%,76.61%,33.06%,99.92%,44.01%
2012-2-10,59.94%,NULL,78.08%,95.46%,96.49%,100%,97.79%,81.1%,NULL,98.01%,57.82%,97.01%,NULL,95.08%,67.93%,76.46%,39.36%,98.13%,90.55%,97%,100%,71.08%,76.14%,32.5%,100%,43.81%
2012-2-11,59.31%,NULL,77.95%,92.4%,95.43%,100%,97.93%,80.6%,NULL,98.83%,57.31%,96.82%,NULL,95.46%,66.11%,76.25%,38.78%,97.92%,90.73%,97.25%,100%,NULL,75.67%,30.58%,100%,42.96%
2012-2-12,58.67%,NULL,77.54%,93.22%,94.35%,100%,97.42%,81.33%,NULL,98.83%,56.81%,96.76%,NULL,95.46%,64.92%,76%,38.06%,97.63%,90.81%,97.59%,100%,NULL,75.2%,27.89%,99.85%,43.75%
2012-2-13,58.04%,NULL,77.18%,93.83%,93.18%,100%,96.97%,80.96%,NULL,98.12%,56.3%,96.33%,NULL,95.46%,63.76%,75.83%,37.48%,97.3%,90.86%,97.93%,100%,69.77%,74.89%,24.8%,99.88%,45.07%
2012-2-14,57.48%,NULL,76.6%,94.44%,91.64%,100%,96.97%,80.64%,NULL,97.42%,55.82%,96.21%,NULL,95.08%,62.68%,75.63%,36.9%,96.81%,90.84%,98.18%,100%,69.16%,74.27%,22.85%,99.73%,46.2%
