,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2011-1-1,68.87%,NULL,NULL,88.27%,73.57%,65.92%,NULL,100%,NULL,71.06%,74.74%,68.62%,NULL,NULL,74.26%,79.61%,55.95%,86.92%,NULL,77.74%,NULL,NULL,NULL,NULL,63.42%,NULL
2011-1-2,68.63%,NULL,78.29%,87.93%,72.45%,65.59%,NULL,99.83%,NULL,70.92%,74.77%,68.15%,NULL,NULL,73.49%,79.35%,55.95%,86.42%,NULL,76.72%,NULL,48.03%,95.15%,NULL,62.93%,NULL
2011-1-3,68.3%,NULL,77.83%,87.71%,71.33%,64.47%,NULL,100%,NULL,70.81%,74.83%,67.68%,NULL,NULL,72.82%,79.18%,55.95%,85.92%,NULL,75.78%,NULL,47.71%,95.3%,NULL,62.41%,NULL
2011-1-4,68.05%,NULL,77.38%,87.29%,70.32%,63.93%,NULL,100%,NULL,70.71%,74.68%,67.22%,NULL,NULL,73.01%,78.96%,55.95%,85.51%,NULL,75.15%,NULL,47.29%,95%,NULL,61.91%,NULL
2011-1-5,67.72%,NULL,76.97%,86.79%,69.01%,63.43%,NULL,99.56%,NULL,70.71%,74.74%,66.7%,NULL,NULL,72.33%,78.79%,55.95%,85.09%,NULL,74.53%,NULL,47.04%,94.81%,NULL,61.44%,NULL
2011-1-6,67.48%,NULL,76.51%,86.79%,67.78%,62.97%,NULL,99.33%,NULL,70.6%,74.58%,66.18%,NULL,NULL,72.62%,78.58%,55.95%,85.28%,NULL,73.91%,NULL,46.56%,94.24%,NULL,60.9%,NULL
2011-1-7,67.31%,NULL,80.69%,86.45%,66.28%,62.47%,NULL,98.83%,NULL,70.5%,74.65%,65.68%,NULL,NULL,72.05%,78.36%,55.17%,85.89%,NULL,73.29%,NULL,46.39%,93.93%,NULL,60.37%,NULL
2011-1-8,67.23%,NULL,80.28%,86.06%,64.86%,61.99%,NULL,98.17%,NULL,70.4%,74.52%,65.23%,NULL,NULL,72.33%,78.24%,54.29%,83.92%,NULL,72.59%,NULL,46.22%,93.49%,NULL,60.11%,NULL
2011-1-9,66.98%,NULL,79.88%,85.86%,63.23%,61.54%,NULL,98.5%,NULL,70.4%,74.55%,64.74%,NULL,NULL,71.57%,78.02%,53.42%,83.51%,NULL,72.06%,NULL,45.82%,93.04%,NULL,59.84%,NULL
2011-1-10,66.74%,NULL,79.47%,85.66%,61.63%,61.07%,100%,99.11%,NULL,70.29%,74.39%,64.24%,NULL,NULL,71.95%,77.3%,52.63%,82.73%,NULL,71.59%,100%,45.41%,92.74%,NULL,59.34%,NULL
2011-1-11,66.49%,NULL,79.07%,85.47%,60.45%,63.48%,99.58%,99.78%,NULL,70.29%,74.45%,63.8%,NULL,NULL,71.28%,77.47%,51.75%,82.65%,NULL,70.91%,100%,44.92%,92.3%,NULL,59.29%,NULL
2011-1-12,66.41%,NULL,78.71%,92.24%,60.97%,60.58%,99.26%,99.44%,NULL,70.81%,73.79%,63.45%,NULL,NULL,73.87%,77.22%,50.96%,83.55%,NULL,70.37%,100%,44.84%,92%,NULL,60.03%,NULL
2011-1-13,66.41%,NULL,78.44%,98.74%,62.34%,62.64%,99.47%,98.83%,NULL,72%,73.6%,64.79%,NULL,NULL,75.41%,77.05%,50.18%,83.92%,NULL,69.99%,100%,44.67%,91.84%,NULL,60.19%,41.05%
2011-1-14,66.25%,NULL,78.08%,96.09%,64.15%,63.31%,98.99%,98.06%,NULL,72.63%,73.66%,65.53%,NULL,94.07%,74.64%,76.84%,49.3%,84.45%,NULL,69.38%,100%,44.1%,91.69%,NULL,60.37%,41.87%
2011-1-15,66%,NULL,77.63%,92.68%,65.46%,63.32%,100%,98.17%,NULL,72.95%,72.88%,65.63%,NULL,94.07%,77.53%,76.59%,48.42%,85.17%,NULL,68.77%,100%,43.77%,91.26%,NULL,60.19%,42%
2011-1-16,65.84%,NULL,77.22%,93.57%,66.97%,63.26%,99.94%,98.78%,NULL,72.95%,72.06%,65.68%,NULL,94.07%,81.37%,76.29%,47.55%,85.62%,NULL,68.17%,100%,43.52%,90.81%,NULL,59.98%,42.19%
2011-1-17,65.68%,NULL,76.86%,94.67%,68.39%,63.12%,99.43%,99.22%,NULL,72.85%,71.66%,65.63%,NULL,94.44%,80.78%,76.08%,46.76%,85.73%,NULL,67.72%,100%,43.36%,90.52%,NULL,59.95%,42.97%
2011-1-18,65.52%,NULL,76.46%,95.34%,69.31%,62.91%,100%,99.44%,NULL,72.85%,71.69%,65.38%,NULL,94.44%,76.94%,75.83%,46.76%,85.89%,NULL,67.2%,100%,42.87%,90.22%,NULL,59.79%,43.49%
2011-1-19,65.27%,NULL,75.93%,95.86%,70.32%,62.6%,100%,99.67%,NULL,72.74%,71.41%,65.23%,NULL,94.44%,76.37%,75.59%,46.76%,85.85%,NULL,66.59%,100%,42.46%,89.7%,NULL,59.53%,43.62%
2011-1-20,65.03%,NULL,75.4%,93.57%,71.42%,62.27%,99.49%,99.78%,NULL,72.74%,70.17%,64.98%,NULL,94.44%,76.85%,75.34%,46.76%,85.73%,NULL,66.14%,100%,42.38%,88.9%,NULL,59.18%,43.42%
2011-1-21,64.86%,NULL,74.92%,92.24%,72.45%,61.88%,99.79%,99.83%,NULL,72.85%,69.83%,64.69%,NULL,94.44%,76.27%,75.09%,46.76%,85.58%,NULL,65.77%,100%,42.13%,NULL,NULL,59.07%,43.55%
2011-1-22,64.62%,NULL,74.65%,91.58%,73.46%,61.61%,99.67%,99.11%,NULL,72.74%,69.13%,64.54%,NULL,94.44%,75.51%,74.84%,46.76%,85.62%,NULL,65.32%,100%,41.8%,88.42%,NULL,58.92%,43.55%
2011-1-23,64.3%,NULL,74.35%,91.14%,74.36%,61.21%,100%,99.06%,NULL,72.74%,68.34%,64.29%,NULL,94.07%,76.08%,74.59%,46.76%,85.43%,NULL,64.73%,100%,41.64%,88.27%,NULL,58.84%,43.49%
