,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2010-3-11,41.64%,NULL,37.14%,89.7%,75.18%,94.31%,NULL,96.44%,NULL,93.18%,21.99%,69.18%,NULL,NULL,64.19%,40.82%,79.02%,93.88%,77.8%,43.33%,100%,48.9%,53.43%,NULL,66.95%,46.24%
2010-3-12,41.35%,NULL,36.72%,90.14%,73.05%,94.21%,NULL,96.78%,NULL,91.72%,21.6%,69.91%,NULL,NULL,63.64%,40.58%,79.02%,93.08%,77.53%,42.88%,100%,48.81%,53.07%,NULL,66.71%,45.1%
2010-3-13,40.99%,NULL,36.3%,89.91%,71.03%,94.11%,NULL,97.11%,NULL,91.15%,21.25%,70.53%,NULL,NULL,63.37%,40.32%,79.02%,92.8%,77.28%,42.62%,100%,48.24%,53.07%,NULL,66.95%,43.97%
2010-3-14,40.7%,NULL,36%,90.14%,70.22%,94.17%,NULL,97.56%,NULL,91.15%,20.88%,71.8%,NULL,NULL,63.09%,40.08%,79.02%,93%,77.04%,42.36%,95.39%,47.75%,52.37%,NULL,66.62%,43.01%
2010-3-15,40.34%,NULL,35.66%,90.59%,68.8%,94.09%,NULL,97.78%,NULL,90.68%,20.5%,72.78%,NULL,NULL,62.82%,NULL,79.45%,92.4%,76.72%,42.1%,86.38%,47.75%,52.04%,NULL,66.36%,41.84%
2010-3-16,39.98%,NULL,35.33%,89.04%,67.08%,93.91%,NULL,98.17%,NULL,90.39%,20.1%,73.05%,NULL,NULL,62.54%,39.56%,79.45%,91.48%,76.45%,41.78%,85.93%,47.34%,51.71%,NULL,66.13%,40.39%
2010-3-17,39.62%,NULL,34.95%,86.79%,65.57%,93.93%,NULL,98.5%,NULL,90.04%,19.74%,74.03%,NULL,NULL,62.54%,39.33%,79.45%,90.57%,76.16%,41.4%,86.38%,46.93%,51.6%,NULL,65.88%,39%
2010-3-18,39.27%,NULL,34.62%,84.38%,66.07%,94.1%,NULL,98.78%,NULL,89.58%,19.35%,74.4%,NULL,NULL,62.54%,39.1%,79.45%,89.83%,75.87%,41.2%,87.91%,46.61%,51.49%,NULL,65.56%,37.1%
2010-3-19,38.98%,NULL,34.28%,85.27%,67.18%,94.09%,NULL,99.11%,NULL,88.99%,18.97%,74.73%,NULL,NULL,62.46%,38.89%,79.45%,88.85%,75.58%,40.88%,88.14%,46.3%,51.05%,NULL,65.31%,35.09%
2010-3-20,38.63%,NULL,33.94%,86.06%,67.89%,94.01%,NULL,99.44%,NULL,89.07%,18.61%,75%,NULL,NULL,62.46%,38.66%,79.45%,87.96%,75.26%,40.63%,87.25%,46%,50.61%,NULL,65.02%,33.43%
2010-3-21,38.35%,NULL,33.6%,86.65%,69.01%,94.01%,NULL,99.72%,NULL,89.07%,18.4%,75.16%,NULL,NULL,62.27%,38.41%,79.45%,87.19%,74.9%,40.37%,85.93%,45.53%,50.51%,NULL,64.68%,33.02%
2010-3-22,37.99%,NULL,33.27%,87.08%,69.91%,93.97%,NULL,99.89%,NULL,89.07%,18.45%,75.38%,NULL,NULL,62.09%,38.14%,79.45%,85.92%,74.54%,40.12%,83.96%,45.3%,50.4%,NULL,64.36%,31.99%
2010-3-23,37.64%,NULL,32.93%,87.29%,70.73%,93.91%,NULL,99.94%,NULL,89.07%,18.46%,75.48%,NULL,NULL,61.18%,37.95%,79.45%,84.67%,74.17%,39.93%,81.53%,44.92%,49.41%,NULL,64.02%,32.86%
2010-3-24,37.29%,NULL,32.58%,87.71%,71.23%,93.68%,NULL,99.78%,NULL,89.17%,18.1%,75.54%,NULL,NULL,60.26%,37.69%,79.45%,83.66%,73.79%,39.61%,79.13%,44.45%,49.08%,NULL,63.71%,31.78%
2010-3-25,36.87%,NULL,32.19%,88.61%,72.04%,93.4%,NULL,99.67%,NULL,89.35%,17.71%,75.54%,NULL,NULL,61.91%,37.41%,79.45%,82.87%,73.43%,39.3%,76.52%,44.23%,48.75%,NULL,63.51%,31.94%
2010-3-26,36.52%,NULL,31.86%,90.35%,73.25%,93.21%,NULL,99.56%,NULL,89.47%,17.74%,75.76%,NULL,NULL,63.28%,37.15%,79.45%,82.24%,73.09%,39.04%,74.95%,43.84%,48.42%,NULL,63.15%,31.73%
2010-3-27,36.18%,NULL,31.54%,90.81%,73.55%,92.91%,NULL,99.39%,NULL,89.47%,17.78%,75.81%,NULL,NULL,62.46%,36.9%,79.45%,81.43%,72.71%,38.79%,72.62%,43.38%,48.2%,NULL,62.87%,31.88%
2010-3-28,35.83%,NULL,31.21%,91.14%,73.85%,92.59%,NULL,99.28%,NULL,89.35%,17.39%,75.76%,NULL,NULL,61.46%,36.64%,79.45%,80.77%,72.33%,38.54%,73.77%,42.99%,47.44%,NULL,62.57%,32.33%
2010-3-29,35.48%,NULL,30.86%,91.03%,74.36%,92.3%,NULL,99.11%,NULL,89.35%,17.01%,75.7%,NULL,NULL,62.91%,36.39%,79.45%,80.08%,71.9%,38.23%,75.54%,42.45%,47%,NULL,62.21%,32.33%
2010-3-30,35.14%,NULL,30.53%,90.81%,74.67%,91.98%,NULL,98.72%,NULL,89.35%,17.02%,75.54%,NULL,NULL,64.29%,36.11%,79.45%,79.1%,71.49%,37.85%,76.71%,42.06%,46.56%,NULL,61.76%,32.39%
2010-3-31,34.8%,NULL,30.18%,90.35%,74.86%,91.64%,NULL,98.33%,NULL,89.35%,17.05%,75.32%,NULL,NULL,63.37%,35.86%,79.45%,77.73%,71.02%,37.54%,76.9%,41.61%,46.23%,NULL,61.43%,32.71%
2010-4-1,34.45%,NULL,29.72%,89.91%,75.27%,91.23%,NULL,97.89%,NULL,89.17%,16.7%,75.16%,NULL,NULL,62.64%,35.61%,79.45%,76.59%,70.57%,37.17%,77.89%,41.22%,NULL,NULL,61.04%,32.91%
2010-4-2,34.05%,NULL,29.33%,89.48%,74.77%,90.76%,NULL,97.28%,NULL,89.07%,16.31%,74.89%,NULL,NULL,64.11%,35.33%,79.45%,75.46%,70.1%,36.98%,80%,40.83%,45.25%,NULL,60.65%,32.81%
2010-4-3,33.64%,NULL,29.07%,89.91%,75.27%,90.42%,NULL,96.83%,NULL,89.17%,16.33%,74.89%,NULL,NULL,65.39%,35.08%,79.45%,74.62%,69.84%,36.61%,82.64%,40.37%,44.92%,NULL,60.35%,33.32%
2010-4-4,33.24%,NULL,29.07%,90.35%,75.98%,90.22%,NULL,97.28%,NULL,89.17%,16.36%,74.89%,NULL,NULL,64.56%,34.83%,79.45%,74.1%,69.49%,36.43%,89.91%,39.98%,44.48%,NULL,60.03%,34.93%
2010-4-5,32.9%,NULL,28.49%,90.14%,76.79%,89.93%,NULL,97.78%,NULL,89.17%,16.36%,74.94%,NULL,NULL,63.64%,34.56%,79.45%,73.37%,69.18%,36.18%,92.99%,39.98%,43.82%,NULL,59.7%,34.83%
2010-4-6,32.57%,NULL,28.23%,89.91%,77.4%,89.62%,NULL,97.89%,NULL,89.17%,15.6%,74.84%,NULL,NULL,65.11%,34.31%,79.45%,72.72%,68.74%,35.81%,92.1%,NULL,43.82%,NULL,59.51%,35.09%
2010-4-7,32.23%,NULL,27.94%,92.46%,78.5%,89.4%,NULL,98.5%,NULL,89.47%,15.6%,75%,NULL,NULL,66.57%,34.04%,79.31%,72.51%,68.62%,35.69%,100%,38.99%,43.16%,NULL,59.43%,35.51%
2010-4-8,31.9%,NULL,27.68%,90.59%,79.53%,89.44%,NULL,98.89%,NULL,89.81%,15.63%,75.16%,NULL,NULL,65.66%,33.77%,79.16%,72.41%,68.51%,35.32%,100%,38.62%,42.73%,NULL,59.86%,35.24%
2010-4-9,31.57%,NULL,27.42%,88.61%,81.46%,90.12%,NULL,99.39%,NULL,96.84%,15.26%,76.73%,NULL,100%,64.84%,33.53%,79.02%,73.48%,68.74%,35.08%,100%,38.19%,42.29%,NULL,62.15%,34.26%
2010-4-10,31.24%,NULL,27.16%,89.48%,82.54%,92.57%,NULL,99.61%,NULL,98.98%,14.88%,78.3%,NULL,NULL,66.21%,33.26%,78.87%,73.55%,68.6%,34.84%,100%,37.68%,41.85%,NULL,63.35%,33.21%
2010-4-11,30.92%,NULL,NULL,86.79%,82.88%,93.36%,NULL,99.72%,NULL,94.58%,14.88%,79.93%,NULL,NULL,67.58%,33.02%,78.73%,73.55%,68.48%,34.53%,100%,37.26%,41.63%,NULL,63.96%,33.02%
2010-4-12,30.59%,NULL,NULL,90.59%,83.44%,93.85%,NULL,99.94%,NULL,92.44%,14.9%,81.39%,NULL,NULL,66.66%,32.75%,78.58%,73.58%,68.2%,34.29%,98.47%,36.82%,41.24%,NULL,64.53%,33.21%
2010-4-13,30.27%,NULL,26.36%,90.81%,83.66%,94.02%,NULL,99.83%,NULL,91.38%,14.92%,82.46%,NULL,NULL,65.84%,32.49%,78.44%,73.65%,67.97%,33.99%,91.65%,36.52%,40.64%,NULL,64.79%,33.96%
2010-4-14,29.82%,NULL,26.02%,88.61%,84.22%,94.29%,NULL,99.78%,NULL,90.27%,14.56%,83.15%,NULL,NULL,65.01%,32.25%,78.29%,72.72%,67.65%,33.69%,87.25%,36.17%,40.25%,NULL,64.88%,34.54%
