,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2010-1-1,62.36%,NULL,57.7%,79.34%,61.63%,42.46%,NULL,98.22%,NULL,43.03%,40.11%,36.19%,NULL,NULL,38.1%,56.1%,91.03%,76.63%,90.62%,75.39%,100%,78.51%,65.23%,NULL,60.49%,45.28%
2010-1-2,62.2%,NULL,57.34%,80.13%,62.13%,42.35%,NULL,98.44%,NULL,42.87%,40.16%,35.96%,NULL,NULL,37.44%,55.92%,91.03%,76.77%,90.59%,74.84%,100%,78.11%,66.43%,NULL,60.3%,41.78%
2010-1-3,61.87%,NULL,57.01%,84.17%,63.03%,42.48%,NULL,98.61%,NULL,42.87%,40.3%,36.87%,NULL,NULL,36.81%,55.71%,91.03%,77.41%,90.62%,74.3%,100%,77.69%,67.1%,NULL,60.65%,42.66%
2010-1-4,61.63%,NULL,56.81%,89.7%,63.94%,44.49%,NULL,98.67%,NULL,43.41%,40.32%,37.81%,NULL,NULL,36.24%,55.57%,91.03%,77.84%,90.59%,73.68%,100%,77.28%,68.03%,NULL,60.93%,43.31%
2010-1-5,61.31%,NULL,56.45%,NULL,65.57%,44.99%,NULL,98.94%,NULL,43.48%,40.37%,38.25%,NULL,NULL,35.67%,55.35%,91.03%,78.02%,90.56%,72.98%,100%,76.76%,68.17%,NULL,60.79%,43.01%
2010-1-6,60.99%,NULL,56.09%,92.89%,67.38%,45.02%,NULL,99.44%,NULL,43.41%,40.4%,38.43%,NULL,NULL,35.03%,55.14%,91.03%,78.16%,90.59%,72.21%,100%,76.34%,68.17%,NULL,60.6%,43.25%
2010-1-7,60.75%,NULL,55.68%,NULL,68.9%,44.99%,NULL,100%,NULL,43.41%,40.46%,38.63%,NULL,NULL,34.57%,54.96%,91.03%,78.37%,90.75%,71.59%,100%,75.85%,67.9%,NULL,60.57%,43.79%
2010-1-8,60.51%,NULL,55.28%,95.34%,70.41%,45.03%,NULL,99.78%,NULL,43.48%,40.54%,38.77%,NULL,NULL,33.99%,54.74%,89.73%,79.02%,91.78%,70.98%,100%,75.43%,67.63%,NULL,61.07%,44.32%
2010-1-9,60.35%,NULL,54.92%,97.86%,71.83%,45.86%,NULL,99.5%,NULL,43.97%,39.74%,39.56%,NULL,NULL,33.36%,54.56%,88.57%,79.71%,91.62%,70.37%,100%,75.33%,67.63%,NULL,61.2%,44.8%
2010-1-10,60.19%,NULL,54.65%,98.3%,73.05%,46.4%,NULL,98.56%,NULL,44.2%,40.63%,40.08%,NULL,100%,32.73%,54.39%,87.26%,80.08%,91.64%,69.76%,100%,74.61%,68.03%,NULL,61.2%,44.98%
2010-1-11,59.87%,NULL,54.29%,98.52%,74.17%,46.65%,NULL,98.17%,NULL,44.27%,40.63%,40.55%,NULL,NULL,32.1%,54.17%,85.96%,80.29%,91.35%,69%,100%,74.19%,68.03%,NULL,61.18%,45.4%
2010-1-12,59.55%,NULL,53.9%,92.24%,75.27%,46.75%,NULL,98.33%,NULL,44.12%,40.44%,40.74%,NULL,NULL,31.69%,53.92%,84.66%,80.51%,90.83%,68.4%,100%,73.68%,69.1%,NULL,61.07%,46.06%
2010-1-13,59.32%,NULL,53.47%,92.24%,76.69%,46.96%,NULL,97.44%,NULL,44.05%,40.23%,40.77%,NULL,NULL,32.67%,53.67%,83.5%,80.73%,90.62%,67.72%,100%,73.26%,69.37%,NULL,60.95%,46.67%
2010-1-14,59.08%,NULL,53.04%,92.46%,77.79%,47.04%,NULL,97%,NULL,43.89%,39.98%,40.66%,NULL,NULL,33.87%,53.42%,82.34%,80.99%,90.33%,66.97%,100%,72.78%,69.77%,NULL,60.82%,46.85%
2010-1-15,58.76%,NULL,52.68%,92.89%,79.01%,47.01%,NULL,97%,NULL,43.74%,39.72%,40.51%,NULL,100%,35.08%,53.17%,81.19%,81.03%,89.8%,66.14%,100%,72.5%,69.77%,NULL,60.65%,46.67%
2010-1-16,58.44%,NULL,52.33%,92.89%,80.22%,46.93%,NULL,97.33%,NULL,43.56%,39.47%,40.33%,NULL,NULL,36.18%,52.92%,80.03%,81.06%,88.39%,65.32%,100%,71.93%,70.03%,NULL,60.49%,46.42%
2010-1-17,58.13%,NULL,51.94%,92.89%,81.35%,46.82%,NULL,98.06%,NULL,43.26%,39.24%,40.08%,NULL,NULL,37.33%,52.7%,78.87%,81.17%,87.56%,64.65%,95.18%,71.37%,69.77%,NULL,60.27%,46.12%
2010-1-18,58.08%,NULL,51.59%,92.68%,82.09%,46.71%,NULL,98.5%,NULL,43.03%,38.97%,39.8%,NULL,NULL,38.56%,52.52%,77.71%,80.95%,87.43%,63.84%,86.83%,70.8%,69.5%,NULL,60%,45.88%
2010-1-19,57.33%,NULL,51.23%,92.89%,82.54%,46.63%,NULL,97.5%,NULL,42.87%,38.69%,39.53%,NULL,NULL,39.8%,52.39%,77.71%,80.73%,87.51%,63.1%,77.51%,70.71%,69.1%,NULL,59.78%,45.46%
2010-1-20,56.78%,NULL,50.85%,93.11%,82.88%,46.55%,NULL,97.17%,NULL,42.57%,38.4%,39.18%,NULL,NULL,40.91%,53.6%,77.71%,80.29%,87.38%,62.45%,66.29%,70.71%,68.97%,NULL,59.56%,44.98%
2010-1-21,56.39%,NULL,50.46%,93.35%,83.21%,46.42%,NULL,97.28%,NULL,42.34%,38.33%,38.87%,NULL,NULL,41.96%,51.87%,77.71%,79.97%,87.41%,61.72%,59.61%,70.71%,68.57%,NULL,59.37%,44.14%
2010-1-22,55.92%,NULL,49.6%,93.35%,83.33%,46.31%,NULL,97.22%,NULL,42.15%,37.81%,38.56%,NULL,NULL,43%,53.2%,77.71%,79.71%,87.38%,61.21%,61.77%,70.71%,68.43%,NULL,59.13%,43.73%
2010-1-23,55.45%,NULL,49.66%,94.24%,83.55%,46.18%,NULL,97.17%,NULL,41.92%,37.46%,38.32%,NULL,NULL,44.27%,52.99%,77.71%,79.46%,87.46%,60.77%,86.59%,68.55%,68.17%,NULL,59.18%,43.13%
2010-1-24,55.06%,NULL,49.31%,94.89%,83.78%,46.09%,NULL,97.56%,NULL,41.77%,37.1%,38.05%,NULL,NULL,45.74%,52.81%,77.71%,79.38%,87.77%,60.49%,100%,68.07%,67.9%,NULL,59.02%,42.78%
2010-1-25,54.67%,NULL,48.97%,95.64%,84.22%,45.98%,NULL,98.06%,NULL,41.54%,36.75%,37.81%,NULL,NULL,47.08%,51.13%,77.71%,79.49%,88.11%,60.2%,100%,67.7%,67.37%,NULL,58.63%,42.6%
2010-1-26,54.43%,NULL,48.62%,97.18%,85.46%,46.41%,NULL,98.56%,NULL,41.54%,36.41%,37.91%,NULL,NULL,48.63%,51.16%,77.71%,79.64%,88.34%,59.76%,100%,67.23%,66.83%,NULL,58.58%,43.67%
2010-1-27,54.12%,NULL,48.28%,95.64%,86.22%,46.41%,NULL,98.78%,NULL,41.54%,36.06%,37.74%,NULL,NULL,49.8%,51.13%,77.71%,79.67%,88.39%,59.48%,100%,66.86%,66.7%,NULL,58.36%,44.8%
2010-1-28,53.81%,NULL,47.89%,95.64%,86.9%,46.4%,NULL,99.06%,NULL,41.4%,35.71%,37.46%,NULL,NULL,51.26%,51.06%,77.71%,79.49%,88.42%,59.05%,100%,66.76%,66.3%,NULL,58.2%,45.4%
2010-1-29,53.5%,NULL,47.51%,95.64%,87.57%,46.32%,NULL,99.17%,NULL,41.14%,35.41%,37.22%,NULL,NULL,52.86%,50.98%,77.71%,79.28%,88.34%,58.62%,100%,65.91%,65.9%,NULL,57.96%,45.82%
2010-1-30,53.19%,NULL,47.17%,95.64%,87.79%,46.23%,NULL,99.22%,NULL,41.01%,35.06%,36.91%,NULL,NULL,54.46%,50.91%,77.71%,78.99%,88.26%,58.19%,97.39%,65.53%,65.5%,NULL,57.69%,46.06%
2010-1-31,52.8%,NULL,46.83%,95.34%,88.02%,46.13%,NULL,99%,NULL,40.79%,34.72%,36.61%,NULL,NULL,56.06%,50.73%,77.71%,78.63%,88.06%,57.77%,90.57%,65.26%,65.23%,NULL,57.72%,45.28%
2010-2-1,52.49%,NULL,46.46%,95.11%,88.13%,46.03%,NULL,98.33%,NULL,40.52%,34.39%,36.28%,NULL,NULL,57.58%,50.38%,77.71%,78.41%,87.82%,57.55%,81.53%,64.69%,65.23%,NULL,57.53%,45.52%
2010-2-2,52.19%,NULL,46.12%,94.89%,88.13%,45.92%,NULL,98.33%,NULL,40.39%,34.2%,35.93%,NULL,NULL,58.93%,50.23%,77.71%,78.27%,87.61%,57.34%,75.94%,64.32%,64.83%,NULL,57.02%,45.94%
2010-2-3,51.88%,NULL,45.75%,94.67%,88.02%,45.82%,NULL,97.72%,NULL,40.14%,33.65%,35.57%,NULL,NULL,60.36%,50.12%,77.71%,77.98%,87.3%,57.06%,71.25%,64.22%,64.33%,NULL,56.43%,46.55%
2010-2-4,51.49%,NULL,45.38%,94.46%,87.79%,45.68%,NULL,97.39%,NULL,39.91%,33.27%,35.25%,NULL,NULL,61.81%,49.98%,77.71%,77.44%,87.04%,56.77%,70.83%,63.94%,64.09%,NULL,55.81%,46.67%
2010-2-5,51.11%,NULL,45.04%,94.24%,87.23%,45.58%,NULL,97.39%,NULL,39.72%,32.87%,34.96%,NULL,NULL,63.19%,49.8%,77.71%,76.73%,86.73%,56.28%,75.94%,63.57%,63.85%,NULL,55.21%,47.16%
2010-2-6,50.73%,NULL,44.7%,94.24%,86.45%,45.39%,NULL,97.39%,NULL,39.53%,32.31%,34.64%,NULL,NULL,64.47%,49.47%,77.71%,75.95%,86.45%,55.72%,84.4%,100%,63.37%,NULL,54.63%,47.58%
2010-2-7,50.34%,NULL,44.37%,96.53%,85.57%,45.37%,NULL,97.94%,NULL,39.85%,31.92%,34.73%,NULL,NULL,65.93%,49.25%,77.71%,75.36%,86.27%,55.44%,92.1%,62.7%,63.12%,NULL,54.02%,48.01%
2010-2-8,49.96%,NULL,44%,95.64%,85.35%,45.77%,NULL,98.17%,NULL,40.69%,31.66%,35.31%,NULL,NULL,67.21%,48.99%,77.71%,74.87%,85.88%,55.09%,98.05%,62.16%,62.88%,NULL,53.43%,48.19%
2010-2-9,49.58%,NULL,43.66%,96.09%,85.01%,45.8%,NULL,98.89%,NULL,40.86%,31.25%,35.35%,NULL,NULL,68.5%,48.74%,77.71%,74.34%,85.6%,54.81%,100%,100%,62.64%,NULL,53.15%,48.01%
2010-2-10,49.2%,NULL,43.26%,95.64%,84.79%,45.64%,NULL,99.33%,NULL,40.86%,30.91%,35.25%,NULL,NULL,69.84%,49.02%,77.71%,73.65%,85.22%,54.39%,98.26%,61.28%,62.4%,NULL,52.55%,47.09%
2010-2-11,48.82%,NULL,42.86%,94.67%,84.56%,45.48%,NULL,98.94%,NULL,40.86%,30.55%,35.03%,NULL,NULL,70.81%,48.23%,77.71%,72.93%,84.91%,54.11%,92.75%,60.67%,61.43%,NULL,52.03%,45.7%
2010-2-12,48.44%,NULL,42.46%,94.46%,84%,45.27%,NULL,98.56%,NULL,40.79%,30.17%,34.77%,NULL,100%,72.24%,47.98%,77.71%,71.97%,84.5%,53.69%,86.38%,60.5%,61.19%,NULL,51.66%,44.44%
2010-2-13,48.06%,NULL,42.06%,96.13%,83.66%,45.26%,NULL,98.11%,NULL,40.86%,29.72%,34.67%,NULL,NULL,73.4%,47.69%,77.71%,72%,84.27%,53.41%,83.96%,100%,60.94%,NULL,51.93%,44.14%
2010-2-14,47.69%,NULL,41.74%,89.04%,85.01%,46.88%,NULL,97.89%,NULL,45.26%,29.21%,36.38%,NULL,100%,75.22%,47.41%,77.71%,72.07%,84.25%,53.07%,92.99%,59.44%,60.7%,NULL,52.11%,45.24%
2010-2-15,47.39%,NULL,41.48%,92.68%,85.46%,48.09%,NULL,97.78%,NULL,46.59%,28.69%,38.08%,NULL,NULL,77.13%,47.1%,77.71%,72.34%,84.2%,52.79%,100%,59.18%,60.46%,NULL,52.33%,45.52%
2010-2-16,47.09%,NULL,41.3%,94.46%,86.22%,49.02%,NULL,98.44%,NULL,47.84%,28.21%,40.08%,NULL,100%,79.09%,46.78%,77.71%,73.93%,84.83%,52.51%,100%,58.92%,60.1%,NULL,52.31%,45.94%
2010-2-17,46.94%,NULL,41.08%,90.35%,87.79%,52.52%,NULL,99.17%,NULL,54.43%,27.88%,42.58%,NULL,NULL,81.07%,46.47%,77.71%,77.41%,86.45%,52.24%,100%,100%,59.85%,NULL,53.05%,46.18%
2010-2-18,46.86%,NULL,40.87%,88.08%,88.47%,55%,NULL,99.44%,NULL,62.79%,27.54%,45.01%,NULL,100%,82.17%,46.16%,77.71%,81.8%,88.06%,51.96%,100%,58.04%,59.61%,NULL,55.52%,45.76%
2010-2-19,47.01%,NULL,40.65%,82.79%,90.02%,59.79%,NULL,99.22%,NULL,72.22%,27.34%,47.41%,NULL,100%,83.56%,45.85%,78%,88.85%,90.22%,51.75%,100%,57.16%,59.37%,NULL,58.91%,45.52%
2010-2-20,48.14%,NULL,41.3%,82%,91.42%,64.17%,NULL,98.89%,NULL,83.21%,27.06%,49.01%,NULL,NULL,85.05%,45.54%,78.87%,94.36%,91.25%,51.48%,100%,57.34%,59.01%,NULL,61.12%,46.36%
2010-2-21,48.29%,NULL,41.7%,92.46%,92.02%,68.87%,NULL,98.22%,NULL,87.75%,26.78%,50.59%,NULL,NULL,86.44%,45.29%,79.02%,96.4%,90.85%,51.27%,100%,57.07%,59.13%,NULL,62.76%,45.4%
2010-2-22,48.22%,NULL,41.88%,92.03%,92.62%,73.95%,NULL,98.78%,NULL,89.81%,26.48%,52.33%,NULL,NULL,87.73%,45.05%,79.02%,97.71%,89.88%,50.79%,100%,56.63%,58.64%,NULL,64.22%,44.5%
2010-2-23,48.06%,NULL,41.84%,88.61%,92.86%,78.72%,NULL,99.39%,NULL,91.04%,26.15%,54.14%,NULL,NULL,89.05%,44.84%,79.02%,98.63%,88.65%,50.32%,100%,56.02%,58.4%,NULL,65.48%,44.44%
2010-2-24,47.76%,NULL,41.77%,90.14%,92.75%,82.4%,NULL,99.72%,NULL,91.72%,25.78%,55.95%,NULL,NULL,90.38%,44.59%,79.02%,98.96%,87.3%,49.91%,100%,55.32%,57.92%,NULL,66.42%,44.32%
2010-2-25,47.39%,NULL,41.66%,92.46%,92.37%,85.3%,NULL,99.56%,NULL,92.32%,25.64%,57.66%,NULL,NULL,90.07%,44.38%,79.02%,99.21%,85.86%,49.43%,92.75%,55.14%,57.79%,NULL,67.06%,43.97%
2010-2-26,47.09%,NULL,41.45%,95.11%,92.15%,87.46%,NULL,99.28%,NULL,92.78%,25.69%,59.11%,NULL,NULL,88.33%,44.13%,79.02%,99.54%,84.35%,49.1%,84.85%,54.55%,57.43%,NULL,67.54%,43.13%
2010-2-27,46.71%,NULL,41.23%,96.53%,91.42%,89.31%,NULL,98.94%,NULL,93.18%,25.76%,60.42%,NULL,NULL,86.04%,43.89%,79.02%,99%,83.38%,48.69%,80.88%,54.22%,57.19%,NULL,68.28%,43.19%
2010-2-28,46.27%,NULL,40.93%,98.3%,90.95%,90.9%,NULL,98.67%,NULL,93.41%,25.8%,61.58%,NULL,NULL,83.76%,43.65%,79.02%,98.46%,83.15%,48.09%,76.71%,53.65%,56.95%,NULL,68.34%,43.61%
2010-2-29,46.27%,NULL,40.93%,98.3%,90.95%,90.9%,NULL,98.67%,NULL,93.41%,25.8%,61.58%,NULL,NULL,83.76%,43.65%,79.02%,98.46%,83.15%,48.09%,76.71%,53.65%,56.95%,NULL,68.34%,43.61%
2010-3-1,45.89%,NULL,40.61%,99.4%,91.07%,92.24%,NULL,98.22%,NULL,93.64%,25.69%,62.46%,NULL,NULL,81.48%,43.44%,79.02%,98.05%,82.62%,47.75%,71.49%,53.07%,56.7%,NULL,68.42%,44.5%
2010-3-2,45.45%,NULL,40.25%,100%,90.71%,92.89%,NULL,97.83%,NULL,93.87%,25.47%,63.26%,NULL,NULL,79.39%,43.14%,79.02%,97.71%,82.07%,47.35%,70.62%,52.83%,56.46%,NULL,68.42%,45.49%
2010-3-3,44.93%,NULL,39.92%,97.18%,89.48%,93.11%,NULL,97.17%,NULL,94.1%,24.75%,63.9%,NULL,NULL,77.81%,43.25%,79.02%,97.34%,81.59%,46.95%,69.84%,52.5%,56.22%,NULL,68.31%,46.55%
2010-3-4,44.41%,NULL,39.54%,94.24%,87.46%,93.41%,NULL,96.56%,NULL,94.35%,24.37%,64.49%,NULL,NULL,76.47%,42.62%,79.02%,96.97%,80.99%,46.48%,68.27%,51.93%,55.86%,NULL,68.13%,47.52%
2010-3-5,43.97%,NULL,39.16%,91.58%,85.46%,93.62%,NULL,96.28%,NULL,94.46%,23.96%,64.98%,NULL,NULL,74.73%,42.36%,79.02%,96.15%,80.39%,46.09%,65.7%,51.52%,55.61%,NULL,68.04%,48.44%
2010-3-6,43.46%,NULL,38.81%,88.83%,83.89%,93.75%,NULL,95.94%,NULL,94.58%,23.61%,65.38%,NULL,NULL,73.11%,42.12%,79.02%,95.83%,79.67%,45.62%,66.88%,51.03%,55.01%,NULL,67.68%,49.36%
2010-3-7,43.09%,NULL,38.42%,86.06%,81.64%,93.91%,NULL,96.06%,NULL,94.69%,23.22%,65.82%,NULL,NULL,71.38%,41.85%,79.02%,95.54%,79.05%,45.16%,69.25%,50.62%,54.77%,NULL,67.36%,49.93%
2010-3-8,42.65%,NULL,38.08%,85.47%,80.02%,94.05%,NULL,96.39%,NULL,94.69%,22.86%,66.18%,NULL,NULL,69.74%,41.58%,79.02%,94.97%,78.73%,44.7%,72.78%,50.05%,54.52%,NULL,67.21%,49.8%
2010-3-9,42.22%,NULL,37.76%,87.08%,78.3%,94.28%,NULL,96.89%,NULL,95.16%,22.5%,66.49%,NULL,NULL,67.94%,41.35%,79.02%,94.16%,78.46%,44.11%,81.11%,49.63%,54.04%,NULL,67.3%,49.24%
2010-3-10,41.93%,NULL,37.45%,87.71%,76.9%,94.5%,NULL,96.56%,NULL,94.93%,22.31%,68.1%,NULL,NULL,66.21%,41.05%,79.02%,94.2%,78.29%,43.66%,100%,49.39%,53.68%,NULL,67.33%,47.22%
