,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2016-1-27,61.14%,NULL,80.75%,90.59%,96.82%,99.1%,99.61%,75.44%,98.8%,97.3%,75.58%,95.97%,NULL,95.08%,72.18%,69.06%,9.26%,91.15%,93.57%,59.36%,97.96%,83.07%,90.69%,93.43%,92.62%,51.12%
2016-1-28,60.73%,NULL,81.34%,90.38%,96.7%,99.15%,99.23%,75.08%,98.8%,96.6%,74.82%,96.21%,NULL,93.93%,74.62%,68.94%,9.26%,92.41%,93.43%,59.93%,96.25%,83.28%,90.34%,90.74%,93.35%,51.06%
2016-1-29,60.4%,NULL,81.97%,91.39%,97.53%,99.14%,99.55%,75.3%,98.93%,96.25%,75.1%,96.64%,NULL,94.31%,77.2%,68.78%,9.26%,94.22%,92.16%,59.79%,92.61%,83.17%,91.03%,88.26%,94.22%,48.16%
2016-1-30,63.3%,NULL,83.38%,87.78%,98.24%,98.81%,100%,75.39%,99.18%,99.65%,75.92%,96.46%,NULL,94.31%,75.57%,68.7%,10.71%,99.15%,91.29%,60.15%,92.81%,84.74%,90.69%,91.86%,94.22%,46.87%
2016-1-31,66.06%,NULL,85.54%,79.17%,98%,98.36%,98.74%,75.62%,98.8%,99.29%,76.41%,95.84%,NULL,95.08%,71.65%,68.53%,10.71%,99.31%,90.42%,60.37%,99.79%,85.25%,90.52%,94.84%,94.04%,46.13%
2016-2-1,67.16%,NULL,87.42%,88.78%,97.88%,98.07%,97.91%,92.11%,99.5%,99.29%,76.23%,95.72%,NULL,91.65%,65.76%,68.33%,10.56%,98.84%,90.89%,60.44%,100%,85.67%,89.88%,94.79%,94.76%,48.23%
2016-2-2,67.66%,NULL,88.12%,67.9%,97.65%,97.6%,97.73%,93.03%,98.87%,96.6%,75.61%,95.17%,NULL,93.17%,65.76%,68.13%,10.56%,99.31%,92.5%,60.51%,100%,85.78%,89.18%,95.87%,95.46%,49.8%
2016-2-3,68%,NULL,88.96%,88.18%,96.93%,97.53%,98.86%,93.85%,98.36%,97.66%,74.96%,94.81%,NULL,95.46%,66.57%,67.88%,10.42%,98.63%,92.32%,60.51%,100%,85.78%,89.53%,95.13%,96.34%,51.12%
2016-2-4,68.17%,NULL,89.46%,84.62%,96.22%,97.84%,99.32%,94.44%,99.31%,96.13%,74.27%,NULL,NULL,95.84%,69.15%,67.68%,10.27%,97.91%,91.63%,60.51%,100%,85.78%,89.36%,92.64%,96.93%,52.18%
2016-2-5,68.25%,NULL,89.96%,89.98%,95.75%,98.16%,98.25%,95.17%,98.93%,97.3%,73.87%,NULL,NULL,93.17%,68.41%,67.48%,10.71%,97.99%,91.07%,60.51%,100%,85.78%,89.18%,90.19%,97.53%,53.24%
2016-2-6,68.09%,NULL,90.51%,73.28%,95.16%,98.42%,97.79%,95.44%,97.24%,98.36%,74.11%,93.71%,NULL,92.79%,67.08%,67.24%,10.56%,98.03%,90.39%,60.44%,100%,85.67%,88.84%,89.36%,98.12%,54.39%
2016-2-7,68.09%,NULL,91.22%,79.37%,94.57%,98.67%,97.05%,95.19%,95.68%,99.29%,74.31%,93.77%,NULL,95.08%,63.35%,67%,10.42%,97.78%,89.44%,60.37%,99.36%,85.25%,88.49%,86.79%,98.61%,55.91%
2016-2-8,67.83%,NULL,92.07%,84.62%,95.04%,98.93%,94.75%,95.11%,95.43%,99.88%,73.9%,94.38%,NULL,95.08%,59.59%,66.76%,10.27%,98.03%,89.26%,60.37%,NULL,84.84%,88.15%,86.19%,99.21%,56.2%
2016-2-9,67.41%,NULL,92.58%,88.58%,95.28%,99.06%,NULL,95.22%,94.88%,97.19%,73.42%,95.36%,NULL,96.6%,59.99%,66.52%,10.13%,98.89%,88.97%,60.37%,97.53%,84.94%,87.63%,85.33%,99.73%,56.86%
2016-2-10,66.99%,NULL,92.94%,92.2%,95.63%,99.12%,91.84%,95.28%,94.2%,96.72%,73.59%,95.84%,NULL,96.98%,58.83%,66.28%,9.99%,99.27%,88.61%,60.37%,95.17%,NULL,87.46%,84.31%,100%,55.84%
2016-2-11,66.48%,NULL,92.89%,93.83%,96.11%,99%,91.94%,95.17%,94.13%,96.72%,73.76%,95.91%,NULL,97.74%,54.96%,66.04%,9.84%,99.36%,88.19%,60.44%,89.81%,84.43%,87.8%,84.31%,100%,54.6%
2016-2-12,65.98%,NULL,92.6%,90.38%,96.34%,98.87%,91.56%,95.28%,95.19%,96.48%,73.42%,96.09%,NULL,96.6%,51.25%,65.8%,10.42%,99.27%,87.72%,60.65%,85.53%,84.74%,88.32%,83.24%,100%,53.53%
2016-2-13,65.64%,NULL,92.18%,87.78%,95.99%,98.75%,91.13%,95.72%,94.75%,96.48%,72.91%,96.52%,NULL,95.46%,51.34%,65.64%,10.27%,98.97%,87.2%,60.73%,75.6%,84.63%,88.49%,82.6%,100%,53.17%
2016-2-14,65.05%,NULL,91.72%,89.78%,95.4%,98.65%,90.47%,95.72%,95.87%,96.48%,73.05%,96.52%,NULL,95.46%,50.89%,65.25%,10.13%,98.8%,86.71%,60.73%,70.31%,84.43%,88.49%,81.5%,100%,53.38%
2016-2-15,64.55%,NULL,91.17%,90.99%,94.8%,98.65%,90.28%,95.06%,98.49%,96.6%,72.91%,96.09%,NULL,94.69%,47.39%,65.02%,9.99%,98.59%,87.07%,60.73%,70.15%,84.01%,88.49%,81.08%,100%,53.38%
2016-2-16,64.05%,NULL,90.56%,90.59%,94.09%,98.83%,90.61%,94.72%,98.24%,96.84%,72.13%,95.91%,NULL,95.84%,46.23%,64.74%,9.84%,98.2%,86.89%,61.02%,75.03%,83.59%,87.98%,81.24%,100%,53.24%
2016-2-17,63.71%,NULL,90.01%,92.2%,93.38%,98.88%,91.34%,94.83%,98.74%,96.72%,71.32%,95.78%,NULL,95.84%,45.52%,64.51%,9.7%,97.86%,86.19%,61.38%,76.77%,83.28%,87.46%,80.61%,100%,53.17%
2016-2-18,63.3%,NULL,89.85%,93.62%,92.55%,98.81%,92.16%,95%,98.55%,96.72%,70.52%,95.91%,NULL,94.31%,44.79%,64.31%,9.99%,97.48%,86.27%,61.67%,76.77%,83.17%,86.77%,80.14%,99.7%,52.96%
2016-2-19,62.8%,NULL,89.65%,90.79%,92.2%,98.57%,92.58%,95.06%,97.99%,96.72%,69.71%,95.66%,NULL,94.31%,44.24%,63.93%,9.84%,97.02%,86.43%,61.89%,80.84%,82.97%,85.92%,79.83%,99.06%,52.74%
2016-2-20,62.47%,NULL,89.46%,91.59%,92.55%,98.25%,93.19%,94.89%,98.11%,97.07%,68.88%,NULL,NULL,94.31%,43.69%,63.7%,9.84%,96.64%,86.53%,61.89%,85.97%,82.86%,86.26%,79.83%,98.38%,53.24%
2016-2-21,62.05%,NULL,89.21%,91.59%,92.79%,98.09%,93.75%,94.72%,97.55%,97.07%,68.51%,95.6%,NULL,95.46%,43%,63.43%,9.84%,96.09%,86.55%,61.96%,85.53%,82.66%,86.77%,80.24%,97.75%,54.39%
2016-2-22,61.64%,NULL,89.06%,91.59%,92.91%,98.15%,94.45%,94.72%,97.86%,97.07%,67.69%,95.6%,NULL,95.46%,39.81%,63.12%,9.84%,95.34%,86.48%,62.03%,80.41%,82.45%,86.6%,79.88%,97.08%,56.57%
2016-2-23,61.22%,NULL,88.71%,91.59%,93.14%,98.28%,94.39%,94.78%,97.55%,97.3%,67.09%,95.6%,NULL,94.31%,39.38%,62.85%,9.84%,95.05%,86.19%,62.1%,74.82%,82.14%,85.92%,82.5%,96.42%,56.49%
2016-2-24,60.81%,NULL,88.71%,68.27%,93.62%,98.49%,93.61%,95.06%,97.61%,97.66%,66.27%,95.36%,NULL,93.17%,37.3%,62.7%,9.7%,94.18%,86.17%,62.18%,82.97%,82.14%,85.07%,85.27%,95.68%,55.91%
2016-2-25,60.48%,NULL,88.46%,69.37%,93.97%,98.65%,92.55%,95.33%,97.61%,97.77%,65.46%,95.23%,NULL,93.17%,36.1%,62.43%,9.55%,93.48%,86.45%,62.1%,100%,81.51%,84.05%,86.73%,95.02%,56.27%
2016-2-26,60.15%,NULL,88.22%,71.04%,93.38%,98.88%,91.59%,95.61%,97.18%,97.89%,64.61%,95.05%,NULL,92.79%,35.58%,62.17%,9.41%,92.82%,86.79%,61.89%,100%,81.1%,83.38%,89.3%,94.36%,56.27%
2016-2-27,59.74%,NULL,88.07%,73.09%,95.16%,99.02%,91.13%,96.06%,96.55%,96.6%,63.74%,94.93%,NULL,92.79%,36.77%,61.86%,9.26%,92.21%,87.2%,61.67%,100%,80.79%,82.7%,89.25%,93.71%,56.42%
2016-2-28,59.41%,NULL,87.82%,75.36%,95.87%,98.92%,90.34%,96.72%,97.18%,95.78%,62.9%,94.68%,NULL,92.79%,37.99%,61.56%,9.12%,91.51%,87.49%,61.45%,100%,80.57%,82.03%,88.75%,93.06%,56.57%
2016-3-1,58.59%,NULL,87.27%,78.6%,96.7%,98.71%,89.28%,96.89%,98.11%,94.26%,61.49%,94.2%,NULL,94.69%,40.16%,60.96%,8.83%,89.86%,87.51%,61.23%,98.33%,82.55%,81.2%,90.41%,91.73%,53.96%
2016-3-2,58.27%,NULL,86.93%,79.56%,96.11%,98.63%,89.28%,96.94%,98.62%,93.56%,60.64%,94.01%,NULL,95.08%,42.62%,60.66%,8.68%,88.94%,87.41%,60.37%,97.96%,79.53%,80.87%,90.13%,91.08%,53.74%
2016-3-3,57.86%,NULL,86.33%,80.33%,95.51%,98.58%,89.2%,96.94%,98.74%,92.39%,59.75%,93.83%,NULL,95.46%,46.64%,60.33%,8.68%,88.1%,87.25%,59.65%,95.81%,79.12%,80.37%,89.47%,90.8%,53.31%
2016-3-4,57.53%,NULL,85.84%,81.11%,94.57%,98.53%,89.2%,96.94%,98.8%,91.1%,58.84%,93.71%,NULL,95.08%,51.16%,59.96%,8.68%,87.23%,86.97%,58.86%,87.25%,78.81%,79.54%,89.41%,89.77%,53.03%
2016-3-5,57.04%,NULL,85.19%,81.88%,93.26%,98.38%,89.12%,97.17%,98.24%,89.93%,57.97%,93.53%,NULL,94.31%,55.52%,59.62%,8.68%,86.29%,86.79%,57.79%,79.56%,78.39%,79.21%,88.75%,89.13%,54.46%
2016-3-6,56.64%,NULL,84.45%,82.47%,92.08%,98.21%,89.33%,97.39%,98.24%,88.76%,57.07%,93.3%,NULL,92.41%,59.7%,59.36%,8.68%,85.4%,86.53%,56.93%,76.54%,78.08%,78.55%,88.15%,88.5%,56.06%
2016-3-7,56.23%,NULL,83.53%,83.05%,91.13%,98.09%,89.41%,97.61%,98.93%,87.73%,56.18%,93.06%,NULL,94.69%,61.46%,59.11%,8.54%,84.47%,86.24%,55.94%,65.07%,77.77%,77.9%,88.09%,87.84%,55.69%
2016-3-8,55.91%,NULL,82.85%,83.37%,91.13%,97.77%,88.93%,97.83%,98.68%,86.38%,55.26%,92.88%,NULL,95.46%,62.95%,58.81%,8.39%,83.55%,85.99%,55.03%,61.25%,77.35%,77.41%,87.49%,87.17%,55.26%
2016-3-9,55.51%,NULL,82.26%,83.37%,92.43%,97.51%,88.59%,98.22%,98.43%,85.26%,54.34%,92.88%,NULL,95.84%,64.35%,58.56%,8.25%,82.59%,85.81%,54.47%,52.3%,76.93%,76.59%,86.41%,86.69%,56.13%
2016-3-10,55.18%,NULL,81.68%,86%,94.92%,98.55%,89.04%,98.89%,98.24%,86.16%,53.58%,93.89%,NULL,95.46%,65.87%,58.23%,8.39%,82.97%,86.43%,54.12%,50.26%,76.51%,75.94%,85.54%,86.41%,53.81%
2016-3-11,55.75%,NULL,81.24%,94.23%,95.51%,98.8%,92.75%,99.89%,98.74%,98.83%,53.04%,93.95%,NULL,95.46%,67.9%,57.97%,11.29%,88.62%,89.05%,54.33%,100%,76.21%,75.94%,90.02%,86.27%,54.17%
2016-3-12,56.88%,NULL,81.14%,91.59%,95.04%,98.84%,96.46%,99.94%,98.43%,98.48%,52.35%,94.13%,NULL,96.6%,69.85%,57.65%,11.58%,91.23%,90.39%,53.98%,100%,NULL,75.94%,99.53%,85.89%,56.45%
2016-3-13,57.12%,NULL,80.61%,90.38%,95.51%,99.05%,97.76%,99.72%,98.43%,98.83%,51.78%,94.62%,NULL,96.6%,71.74%,57.36%,11.58%,93.27%,91.31%,53.7%,99.36%,76.21%,75.78%,98.83%,85.69%,56.96%
2016-3-14,58.92%,NULL,80.13%,86.79%,95.99%,98.73%,99.99%,99.83%,99.12%,94.14%,52.35%,94.56%,NULL,96.22%,73.33%,57.14%,12.3%,97.74%,92.87%,53.7%,100%,76.02%,75.45%,98.24%,85.72%,58.13%
2016-3-15,61.64%,NULL,80.15%,90.18%,96.22%,98.34%,99%,98.44%,96.18%,97.07%,52.41%,94.62%,NULL,95.08%,76.34%,56.89%,12.45%,98.37%,93.89%,53.56%,100%,75.92%,75.13%,96.79%,85.34%,59.09%
2016-3-16,63.21%,NULL,79.78%,93.01%,95.51%,98.06%,97.99%,98.11%,94.75%,98.36%,52.47%,94.68%,NULL,94.31%,79.19%,56.6%,12.59%,97.86%,94.61%,53.28%,99.15%,75.73%,74.49%,94.73%,85.48%,54.82%
2016-3-17,64.38%,NULL,78.83%,82.47%,92.67%,98.03%,96.2%,98.22%,93.64%,98.24%,52.89%,94.74%,NULL,95.84%,80.19%,56.35%,12.59%,97.57%,94.63%,53%,98.95%,75.73%,73.68%,97.14%,86.69%,53.24%
2016-3-18,65.14%,NULL,78.14%,95.05%,91.96%,98.29%,93.44%,98.33%,92.59%,98.36%,53.25%,95.29%,NULL,95.84%,79.52%,56.06%,12.45%,97.4%,94.15%,52.66%,98.95%,NULL,72.88%,97.25%,88.5%,53.46%
2016-3-19,65.64%,NULL,77.38%,87.58%,90.54%,98.35%,91.37%,98.56%,91.74%,97.77%,53.46%,94.99%,NULL,95.46%,78.86%,55.78%,12.3%,98.33%,93.86%,52.31%,98.95%,75.63%,71.77%,97.31%,90.87%,53.67%
2016-3-20,65.98%,NULL,76.88%,90.18%,89.43%,98.37%,89.57%,98.72%,90.7%,98.01%,53.89%,94.56%,NULL,96.6%,78.09%,55.53%,12.16%,97.74%,93.03%,52.1%,99.36%,75.43%,70.97%,95.93%,92.95%,54.24%
2016-3-21,66.31%,NULL,76.24%,90.18%,88.76%,98.39%,89.04%,98.78%,91.68%,97.42%,53.58%,94.5%,NULL,95.46%,77.54%,55.24%,12.01%,96.55%,92.5%,52.03%,98.95%,75.23%,70.02%,95.07%,94.98%,54.6%
2016-3-22,66.9%,NULL,75.72%,89.18%,89.32%,98.62%,88.74%,98.89%,90.76%,97.19%,53.28%,94.68%,NULL,95.84%,78.97%,54.96%,12.3%,95.47%,91.84%,51.76%,98.19%,NULL,70.02%,95.7%,97.01%,54.82%
2016-3-23,67.49%,NULL,75.19%,89.78%,91.6%,98.94%,87.74%,98.94%,91.43%,97.19%,53.13%,95.11%,NULL,95.08%,80.3%,54.68%,12.16%,95.13%,91.21%,51.48%,96.89%,75.14%,69.4%,95.24%,98.38%,54.75%
2016-3-24,67.92%,NULL,74.82%,97.93%,93.5%,98.49%,87.97%,99.61%,92.9%,97.42%,53.55%,94.81%,NULL,95.84%,79.97%,54.47%,12.16%,95.09%,90.84%,51.14%,100%,NULL,68.92%,96.27%,100%,55.18%
2016-3-25,68.93%,NULL,74.45%,88.98%,95.28%,98.07%,90.25%,99.94%,92.35%,96.95%,54.49%,94.56%,NULL,95.46%,79.41%,54.26%,12.3%,96.22%,90.94%,50.8%,100%,76.41%,68.45%,96.62%,100%,56.13%
2016-3-26,71.58%,NULL,74.82%,89.18%,96.22%,97.77%,93.47%,100%,89.6%,97.3%,55.41%,94.5%,NULL,94.69%,79.09%,54.05%,12.45%,97.36%,90.89%,50.52%,100%,77.66%,67.83%,96.91%,100%,56.42%
2016-3-27,73.29%,NULL,74.87%,91.8%,97.05%,97.98%,95.29%,100%,85.68%,98.36%,56.08%,94.44%,NULL,95.08%,78.42%,53.8%,12.45%,96.81%,90.49%,49.5%,100%,78.59%,67.21%,97.43%,100%,56.86%
2016-3-28,74.58%,NULL,74.45%,91.59%,97.41%,98.14%,95.38%,100%,86.7%,97.77%,56.39%,94.44%,NULL,95.46%,77.76%,53.52%,12.45%,96.72%,90.34%,48.82%,100%,79.01%,66.43%,96.56%,100%,56.27%
2016-3-29,75.27%,NULL,74.22%,93.62%,97.41%,98.37%,94.89%,100%,86.94%,98.12%,56.82%,94.44%,NULL,95.84%,78.09%,53.25%,12.45%,96.64%,90.31%,48.08%,97.32%,79.12%,65.51%,97.6%,100%,54.75%
2016-3-30,75.88%,NULL,73.75%,90.79%,97.17%,98.61%,94.53%,100%,90.7%,97.89%,57.01%,94.5%,NULL,95.08%,77.44%,52.97%,12.3%,96.51%,89.5%,47.47%,94.09%,79.12%,64.59%,97.08%,100%,53.31%
2016-3-31,76.4%,NULL,73.19%,89.18%,97.17%,98.82%,94.03%,100%,92.23%,97.42%,56.55%,94.62%,NULL,96.22%,76.02%,52.77%,12.16%,96.14%,88.63%,46.8%,89.4%,79.22%,63.68%,96.62%,100%,53.1%
2016-4-1,76.83%,NULL,72.77%,91.8%,97.17%,98.64%,93.97%,100%,93.58%,97.07%,56.27%,94.74%,NULL,95.08%,76.78%,52.48%,12.01%,96.81%,87.64%,46.14%,82.97%,NULL,62.77%,95.64%,100%,53.38%
2016-4-2,77.09%,NULL,72.17%,91.19%,97.05%,98.12%,93.08%,100%,93.52%,96.95%,56.55%,94.74%,NULL,95.84%,75.47%,52.24%,11.87%,97.4%,86.66%,45.41%,75.6%,79.01%,61.57%,92.98%,100%,53.31%
2016-4-3,77.27%,NULL,71.52%,93.62%,97.17%,97.93%,91.86%,100%,94.75%,96.13%,56.79%,94.93%,NULL,94.69%,71.84%,52%,11.72%,97.74%,85.83%,44.68%,68.14%,78.81%,60.38%,90.3%,100%,53.6%
2016-4-4,77.44%,NULL,71.25%,95.67%,97.17%,98.1%,90.12%,100%,95.68%,95.55%,57.04%,95.05%,NULL,95.46%,68.41%,51.69%,11.58%,97.86%,84.98%,44.02%,59.92%,NULL,59.49%,87.22%,100%,53.89%
2016-4-5,77.44%,NULL,70.79%,93.22%,97.29%,98.22%,88.48%,100%,96.61%,95.08%,57.04%,95.11%,NULL,95.46%,64.95%,51.45%,11.43%,98.12%,84.14%,43.36%,51.68%,78.39%,58.31%,84.31%,100%,54.17%
2016-4-6,77.44%,NULL,70.09%,89.38%,97.05%,98.36%,87.52%,100%,96.55%,94.26%,56.45%,95.23%,NULL,95.46%,63.25%,51.15%,11.29%,98.42%,83.3%,42.52%,42.39%,NULL,57.15%,82.55%,100%,54.17%
2016-4-7,77.09%,NULL,69.23%,90.79%,96.82%,98.45%,86.42%,100%,97.49%,93.56%,55.87%,95.42%,NULL,95.84%,63.95%,50.81%,11.29%,98.76%,82.51%,42.78%,40.49%,NULL,56.28%,81.13%,100%,52.67%
2016-4-8,76.49%,NULL,68.46%,92.01%,96.22%,98.58%,86.23%,100%,98.36%,93.09%,55.23%,95.29%,NULL,95.08%,64.45%,50.4%,11.29%,98.5%,82.06%,43.43%,39.6%,78.28%,55.12%,79.78%,100%,49.94%
2016-4-9,75.79%,NULL,67.91%,93.01%,95.51%,98.69%,87.13%,100%,98.18%,NULL,54.58%,95.05%,NULL,96.6%,65.15%,50.03%,11.29%,97.19%,81.6%,44.28%,38.43%,78.08%,53.84%,77.26%,100%,46.94%
2016-4-10,75.19%,NULL,67.23%,94.03%,95.16%,98.75%,86.08%,100%,96.55%,NULL,54.07%,95.11%,NULL,98.12%,65.87%,49.63%,11.29%,95.97%,81.18%,45.07%,37.26%,77.86%,52.84%,74.33%,100%,33.09%
2016-4-11,75.62%,NULL,67.14%,89.98%,94.57%,98.67%,84.84%,100%,96.24%,92.39%,53.83%,94.81%,NULL,98.12%,66.98%,49.39%,11.58%,94.3%,80.67%,45.94%,37.4%,77.86%,53.41%,72.23%,100%,46.67%
2016-4-12,76.75%,NULL,67.19%,86%,94.09%,98.61%,84.24%,100%,95.93%,93.21%,53.46%,94.87%,NULL,96.6%,68.41%,49.06%,12.01%,93.48%,80.25%,47%,37.26%,78.28%,52.84%,70.08%,100%,47.41%
