,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2016-1-1,65.22%,NULL,76.02%,93.83%,86.09%,75.63%,97.48%,68.41%,96.81%,66.56%,78.53%,77.29%,NULL,95.84%,76.02%,73.08%,8.54%,68.95%,92.1%,70.29%,99.36%,82.14%,88.63%,63.94%,76.92%,49.39%
2016-1-2,64.8%,NULL,75.59%,94.03%,86.09%,75.31%,97.51%,68.57%,97.37%,66.35%,78.56%,77.07%,NULL,95.46%,75.49%,73.08%,7.81%,68.34%,92.1%,69.3%,98.72%,81.83%,88.12%,64.5%,76.66%,48.63%
2016-1-3,64.47%,NULL,75.26%,94.23%,86.65%,75.21%,97.48%,68.74%,97.37%,66.45%,79.09%,77.07%,NULL,96.6%,75.07%,73.51%,7.09%,68.48%,92.13%,68.62%,97.96%,81.61%,89.49%,65.16%,76.47%,49.12%
2016-1-4,65.64%,NULL,75.93%,95.67%,86.87%,76.19%,97.79%,69.08%,98.68%,66.88%,79.26%,77.63%,NULL,95.84%,76.13%,73.46%,6.37%,68.64%,92.04%,68.17%,97.53%,84.01%,90.17%,66.34%,77.11%,50.64%
2016-1-5,65.89%,NULL,75.5%,97.72%,86.98%,76.84%,98.74%,69.25%,98.62%,67.83%,79.37%,78.7%,NULL,95.84%,77.08%,73.16%,5.64%,68.75%,92.09%,67.34%,95.17%,84.01%,91.21%,69.64%,77.44%,50.98%
2016-1-6,65.72%,NULL,75.54%,97.31%,88.09%,79.14%,99%,69.56%,99%,68.57%,79.02%,80.32%,NULL,96.22%,76.55%,73.08%,5.64%,69.25%,92.71%,66.45%,92.17%,84.01%,91.38%,72.68%,78.08%,51.33%
2016-1-7,65.89%,NULL,75.59%,96.28%,88.76%,81.11%,99.38%,69.95%,98.43%,70.8%,78.21%,81.33%,NULL,95.08%,79.71%,72.91%,5.79%,69.8%,93.03%,65.7%,99.36%,83.8%,91.38%,74.63%,78.79%,52.18%
2016-1-8,65.47%,NULL,75.54%,96.9%,89.65%,82.3%,99.06%,70.3%,98.81%,71.86%,77.41%,83.21%,NULL,92.41%,84.18%,72.56%,6.08%,69.97%,93.43%,64.82%,98.95%,83.59%,90.86%,76.04%,79.28%,50.36%
2016-1-9,65.39%,NULL,75.45%,96.28%,90.31%,83.02%,98.74%,70.57%,98.06%,72.29%,76.58%,84.08%,NULL,90.13%,88.75%,72.44%,6.08%,70%,93.67%,63.86%,98.72%,83.49%,90.17%,77.26%,79.51%,49.53%
2016-1-10,65.22%,NULL,75.26%,94.64%,91.37%,83.47%,98.8%,70.04%,97.37%,72.71%,76.3%,84.71%,NULL,91.65%,93.06%,72.14%,6.08%,70%,93.62%,62.83%,98.33%,83.28%,89.66%,78.49%,79.78%,49.46%
2016-1-11,64.97%,NULL,75.12%,93.42%,92.91%,85.26%,98.69%,70.3%,98.94%,72.93%,76.41%,86.04%,NULL,94.31%,93.19%,71.85%,6.08%,70.28%,93.59%,61.81%,98.33%,83.17%,89.31%,79.62%,80.21%,50.01%
2016-1-12,64.88%,NULL,74.98%,95.67%,93.38%,88.95%,99.38%,70.74%,98.5%,80.43%,76.51%,87.31%,NULL,95.46%,92.72%,71.63%,6.66%,71.17%,93.59%,60.94%,99.79%,82.97%,89.31%,81.24%,81.03%,50.22%
2016-1-13,64.8%,NULL,74.98%,96.49%,93.5%,91.47%,99.06%,71.14%,98.12%,83.35%,76.58%,88.84%,NULL,95.08%,92.12%,71.55%,6.95%,71.69%,93.89%,60.08%,100%,82.97%,89.66%,85.06%,81.76%,50.84%
2016-1-14,64.72%,NULL,74.93%,95.05%,93.38%,93.29%,98.72%,71.53%,97.25%,84.92%,76.65%,90.21%,NULL,96.22%,91.66%,71.42%,7.38%,71.93%,94.37%,59.22%,100%,NULL,90.17%,86.46%,82.49%,51.12%
2016-1-15,64.55%,NULL,74.89%,97.1%,93.5%,94.79%,98.2%,71.88%,97.06%,85.82%,76.72%,90.98%,NULL,95.84%,91.07%,71.22%,7.67%,72.07%,93.89%,58.21%,99.36%,82.76%,90.69%,86.51%,83%,51.61%
2016-1-16,64.13%,NULL,74.74%,95.87%,93.5%,96.22%,97.94%,72.06%,96.12%,86.72%,76.82%,NULL,NULL,96.6%,90.48%,71.01%,7.96%,72.35%,94.05%,57.55%,98.95%,82.66%,91.21%,86.95%,83.72%,52.53%
2016-1-17,63.8%,NULL,74.89%,94.64%,95.51%,97.48%,98.22%,72.26%,95.5%,87.28%,76.89%,93.89%,NULL,96.22%,89.55%,70.84%,8.25%,73.23%,94.21%,57.15%,98.33%,82.45%,91.55%,86.95%,84.67%,53.38%
2016-1-18,63.38%,NULL,75.4%,96.69%,95.63%,97.32%,99.35%,72.59%,97.81%,94.73%,77.06%,94.56%,NULL,95.84%,88.86%,70.71%,8.68%,75.14%,94.34%,56.93%,97.96%,NULL,91.72%,89.08%,85.48%,54.03%
2016-1-19,62.96%,NULL,76.26%,93.62%,95.87%,97.73%,98.83%,72.85%,99%,97.89%,77.13%,95.72%,NULL,96.6%,88.06%,70.51%,8.68%,76.04%,93.67%,57.15%,97.73%,82.45%,91.55%,90.74%,86.45%,52.89%
2016-1-20,62.38%,NULL,76.73%,88.18%,95.87%,98.51%,98.72%,73.16%,99.06%,98.36%,77.2%,95.72%,NULL,96.22%,87.25%,70.26%,8.68%,76.55%,93.7%,57.57%,98.95%,82.24%,91.9%,88.75%,87.59%,51.83%
2016-1-21,61.89%,NULL,77.12%,89.38%,95.99%,99.11%,98.92%,73.64%,98.31%,98.12%,77%,95.84%,NULL,96.6%,86.45%,70.01%,8.68%,77.05%,93.99%,58.14%,99.36%,82.14%,91.72%,88.59%,88.85%,49.53%
2016-1-22,61.31%,NULL,77.26%,90.99%,96.46%,99.28%,99.61%,74.54%,98.43%,94.84%,77.1%,95.97%,NULL,96.22%,83.39%,69.76%,8.68%,77.6%,93.7%,58.64%,100%,82.03%,91.03%,88.53%,89.66%,49.18%
2016-1-23,60.89%,NULL,77.26%,86.79%,97.77%,99.19%,98.83%,75.84%,98.68%,97.54%,77.24%,95.72%,NULL,95.08%,79.05%,69.64%,9.41%,81.95%,95.3%,59.07%,100%,81.83%,91.03%,88.31%,90.37%,49.46%
2016-1-24,60.81%,NULL,77.59%,86.59%,97.77%,98.76%,100%,75.8%,98.55%,96.6%,77.48%,95.36%,NULL,97.36%,74.72%,69.56%,9.55%,86.41%,96.22%,59.65%,100%,81.83%,91.38%,95.07%,90.55%,50.08%
2016-1-25,61.22%,NULL,78.83%,88.58%,97.41%,98.27%,99.06%,75.89%,98.62%,96.25%,77.1%,NULL,NULL,95.84%,70.08%,69.43%,9.7%,88.42%,95.73%,59.93%,100%,82.45%,91.03%,97.14%,91.33%,50.84%
2016-1-26,61.31%,NULL,79.83%,91.59%,97.05%,98.65%,99.55%,75.89%,99.06%,97.07%,76.37%,95.54%,NULL,95.46%,69.98%,69.23%,9.41%,89.86%,94.77%,60.22%,98.72%,82.76%,90.69%,96.56%,91.98%,51.12%
