,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2009-1-1,66.58%,NULL,100%,94.02%,58.28%,85.96%,NULL,96.06%,NULL,81.61%,98.4%,72.17%,NULL,NULL,84.64%,80.69%,100%,90.65%,77.87%,90.94%,99.58%,95.14%,75.9%,NULL,92.89%,38.42%
2009-1-2,66.17%,NULL,100%,93.35%,57.59%,85.63%,NULL,96.44%,NULL,81.5%,98.43%,71.72%,NULL,NULL,84.16%,80.43%,100%,90.85%,78.51%,90.56%,98.47%,95.14%,75.5%,NULL,92.71%,38.3%
2009-1-3,65.68%,NULL,100%,92.46%,56.82%,85.3%,NULL,96.89%,NULL,81.38%,98.47%,71.22%,NULL,NULL,83.65%,80.09%,100%,90.65%,78.73%,89.87%,97.81%,95.14%,75.1%,NULL,92.46%,37.62%
2009-1-4,65.11%,NULL,100%,91.81%,56.04%,84.98%,NULL,97.39%,NULL,81.27%,98.5%,70.78%,NULL,NULL,83.07%,79.58%,100%,90.38%,78.68%,89.3%,96.49%,94.81%,74.7%,NULL,92.15%,36.94%
2009-1-5,64.54%,NULL,100%,91.14%,55.08%,84.67%,NULL,97.94%,NULL,81.17%,98.53%,70.38%,NULL,NULL,82.66%,79.45%,100%,90.69%,78.71%,88.56%,99.36%,94.7%,74.7%,NULL,91.83%,36.78%
2009-1-6,63.97%,NULL,99.77%,90.59%,54.13%,84.35%,NULL,99.67%,NULL,81.06%,98.6%,69.92%,NULL,NULL,82.36%,79.19%,100%,90.38%,80.24%,87.74%,100%,94.7%,74.3%,NULL,91.51%,36.94%
2009-1-7,63.33%,NULL,99.25%,90.14%,53.18%,84.14%,NULL,99.61%,NULL,80.95%,98.63%,69.38%,NULL,NULL,81.48%,79.06%,100%,90.26%,83.28%,87.09%,100%,94.49%,73.9%,NULL,91.02%,37.4%
2009-1-8,62.68%,NULL,98.78%,89.48%,52.24%,83.97%,NULL,98.72%,NULL,80.83%,98.66%,68.83%,NULL,NULL,80.88%,78.94%,100%,90.22%,85.78%,86.44%,100%,94.38%,NULL,NULL,90.71%,37.85%
2009-1-9,62.12%,NULL,97.45%,89.04%,51.1%,83.8%,NULL,98.66%,NULL,80.72%,98.66%,68.24%,NULL,NULL,80.19%,78.81%,100%,90.22%,86.63%,85.63%,100%,93.96%,73.5%,NULL,90.35%,38.07%
2009-1-10,61.55%,NULL,97.11%,88.28%,50.24%,83.6%,NULL,98.83%,NULL,80.49%,98.69%,67.56%,NULL,NULL,79.59%,78.6%,100%,90.26%,86.86%,85.07%,99.36%,93.74%,72.97%,NULL,89.9%,38.19%
2009-1-11,60.91%,NULL,96.68%,87.71%,49.12%,83.37%,NULL,98.94%,NULL,80.38%,98.73%,66.92%,NULL,NULL,79%,78.38%,100%,90.26%,86.76%,84.5%,98.92%,93.74%,72.57%,NULL,89.62%,38.42%
2009-1-12,60.27%,NULL,96.01%,86.79%,47.83%,83.19%,NULL,99.44%,NULL,80.16%,98.79%,66.33%,NULL,NULL,78.3%,78.17%,100%,90.06%,86.66%,84.18%,98.26%,93.74%,72.17%,NULL,89.3%,38.42%
2009-1-13,59.55%,NULL,95.5%,86.79%,46.62%,83.11%,NULL,99.56%,NULL,79.94%,98.79%,65.7%,NULL,NULL,77.72%,77.96%,100%,89.87%,86.45%,83.46%,96.49%,93.21%,71.77%,NULL,88.61%,38.47%
2009-1-14,58.92%,NULL,95.11%,86.45%,45.31%,83.04%,NULL,99.72%,NULL,79.72%,98.82%,65.06%,NULL,NULL,77.04%,77.71%,100%,89.56%,86.19%,82.82%,92.31%,93.1%,71.37%,NULL,87.99%,37.74%
2009-1-15,58.28%,NULL,94.39%,86.06%,43.66%,82.97%,NULL,99.89%,NULL,79.61%,98.86%,64.48%,NULL,NULL,76.47%,77.46%,100%,89.2%,85.83%,82.18%,85.93%,92.89%,71.37%,NULL,87.64%,37.34%
2009-1-16,57.73%,NULL,93.8%,85.66%,42.54%,82.87%,NULL,99.78%,NULL,79.44%,98.89%,63.84%,NULL,NULL,75.8%,77.2%,100%,88.7%,85.52%,81.62%,83.3%,92.78%,70.97%,NULL,87.23%,36.66%
2009-1-17,57.02%,NULL,93.34%,86.25%,41.96%,82.73%,NULL,99.33%,NULL,79.22%,98.96%,63.2%,NULL,NULL,75.13%,77.08%,100%,88.12%,85.17%,81.06%,79.11%,92.47%,70.3%,NULL,86.89%,36.05%
2009-1-18,56.47%,NULL,92.85%,87.29%,41.55%,82.6%,NULL,98.72%,NULL,78.99%,98.96%,62.57%,NULL,NULL,73.97%,76.91%,100%,82.84%,84.78%,80.42%,80.66%,92.14%,69.9%,NULL,86.78%,36.1%
