,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2015-1-1,54.11%,NULL,68.16%,82.08%,74.11%,49.94%,73.44%,81.07%,97.12%,28.77%,55.87%,52.2%,NULL,96.98%,53.75%,64.17%,25.9%,55.67%,92.18%,86.22%,92.61%,72.22%,94.93%,69.93%,53.15%,46.54%
2015-1-2,53.79%,NULL,67.69%,82.47%,74.31%,49.71%,73.66%,81.44%,97.18%,28.55%,55.9%,51.76%,NULL,97.36%,52.96%,63.86%,25.76%,55.28%,92.11%,85.82%,96.04%,72.22%,93.9%,71.08%,53.08%,46%
2015-1-3,53.48%,NULL,67.25%,82.66%,74.5%,49.44%,73.51%,81.62%,96.06%,28.43%,55.93%,51.35%,NULL,97.36%,52.27%,63.56%,25.47%,55.13%,91.71%,85.33%,94.32%,71.35%,93.21%,72.24%,52.91%,46.13%
2015-1-4,53.17%,NULL,66.83%,82.86%,74.61%,49.18%,73.73%,81.62%,95.56%,28.26%,55.96%,50.89%,NULL,97.36%,51.49%,63.25%,25.18%,54.95%,91.5%,85.01%,92.17%,NULL,93.04%,73.42%,52.73%,47.07%
2015-1-5,52.78%,NULL,66.41%,83.25%,74.7%,48.73%,73.93%,81.58%,98%,28.1%,55.54%,50.43%,NULL,96.98%,50.73%,62.98%,24.89%,54.12%,91.26%,84.6%,88.97%,71.05%,92.01%,74.6%,52.47%,47.82%
2015-1-6,52.39%,NULL,65.99%,83.44%,74.61%,48.33%,73.89%,81.62%,97%,27.93%,55.57%,49.97%,NULL,95.08%,52.43%,62.68%,24.6%,53.71%,91.02%,84.2%,85.76%,70.76%,91.16%,74.84%,52.27%,48.24%
2015-1-7,52%,NULL,65.53%,83.64%,74.61%,47.88%,73.95%,81.81%,96.12%,27.74%,55.6%,49.51%,NULL,92.41%,51.65%,62.42%,23.44%,53.15%,90.84%,83.8%,83.84%,70.24%,90.82%,76.65%,51.97%,48.43%
2015-1-8,51.61%,NULL,65.06%,83.83%,74.31%,47.47%,73.35%,81.12%,95.44%,27.55%,55.63%,49.01%,NULL,92.41%,50.89%,62.08%,22.29%,52.8%,90.55%,83.23%,84.69%,69.98%,90.15%,77.41%,51.85%,48.9%
2015-1-9,51.31%,NULL,64.64%,84.03%,73.1%,47.06%,72.77%,81.03%,94.01%,27.37%,55.66%,48.47%,NULL,92.79%,50.14%,61.74%,21.13%,52.66%,90.28%,82.75%,84.48%,69.69%,89.3%,78.52%,51.56%,48.84%
2015-1-10,51%,NULL,64.18%,84.23%,71.78%,46.79%,73.33%,81.03%,94.38%,27.13%,55.69%,47.97%,NULL,92.03%,49.37%,61.4%,19.97%,51.9%,89.97%,82.19%,83.41%,NULL,88.46%,79.39%,51.31%,48.09%
2015-1-11,50.61%,NULL,63.72%,84.42%,70.48%,46.47%,73.48%,81.35%,93.88%,26.95%,55.72%,47.49%,NULL,92.41%,48.55%,61.07%,18.81%,51.79%,89.6%,81.55%,81.25%,69.2%,88.13%,80.26%,51.04%,47.34%
2015-1-12,50.34%,NULL,63.21%,84.42%,69.28%,46.14%,73.46%,81.62%,96.06%,26.71%,55.72%,47.02%,NULL,92.41%,47.73%,60.85%,17.65%,51.22%,89.34%,80.91%,78.69%,68.82%,87.12%,81.08%,50.56%,46.8%
2015-1-13,49.76%,NULL,62.72%,84.42%,67.97%,45.69%,73.48%,81.53%,94.57%,26.53%,55.22%,46.54%,NULL,92.79%,47.01%,60.51%,16.5%,50.79%,89.73%,80.27%,79.13%,NULL,86.46%,81.81%,50.46%,46.27%
2015-1-14,49.38%,NULL,62.27%,84.81%,67.16%,45.38%,73.62%,81.26%,93.14%,26.53%,54.63%,46.23%,NULL,91.27%,50.46%,60.33%,15.48%,50.45%,89.81%,79.71%,79.13%,68.23%,85.96%,82.58%,50.1%,46.67%
