,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2008-1-30,66.26%,NULL,76.82%,94.46%,87.91%,88.33%,NULL,99.33%,NULL,72.9%,92.51%,56.86%,NULL,100%,80.38%,83.57%,100%,88.35%,83.94%,53.56%,100%,NULL,NULL,NULL,78.68%,36.66%
2008-1-31,65.94%,NULL,76.29%,94.89%,88.39%,88.19%,NULL,99.22%,NULL,72.8%,91.68%,56.69%,NULL,100%,80.78%,83.26%,100%,88.08%,82.9%,52.88%,100%,NULL,NULL,NULL,78.68%,37.01%
2008-2-1,65.61%,NULL,75.8%,96.09%,89.93%,88.56%,NULL,99.11%,NULL,73.32%,90.83%,56.94%,NULL,100%,81.28%,83.04%,100%,87.16%,83.21%,52.21%,100%,NULL,NULL,NULL,78.68%,37.57%
2008-2-2,65.29%,NULL,75.24%,91.36%,90.36%,88.88%,NULL,98.5%,NULL,73.63%,90%,57.36%,NULL,100%,82.27%,82.82%,100%,87.27%,82.67%,51.53%,100%,NULL,NULL,NULL,76.03%,37.97%
2008-2-3,64.97%,NULL,74.75%,87.41%,91.31%,89.29%,NULL,99%,NULL,74.83%,89.22%,58.1%,NULL,100%,83.16%,82.52%,100%,86.85%,82.2%,50.73%,100%,NULL,NULL,NULL,75.96%,38.77%
2008-2-4,64.73%,NULL,74.18%,92.24%,92.02%,90.34%,NULL,99.56%,NULL,76.35%,88.31%,59.39%,NULL,100%,84.16%,82.29%,100%,86.32%,81.22%,50%,100%,NULL,NULL,NULL,74.4%,39.79%
2008-2-5,64.41%,NULL,73.7%,91.81%,92.15%,91.25%,NULL,98.83%,NULL,76.9%,87.52%,60.3%,NULL,100%,85.15%,82.08%,100%,85.63%,80.72%,49.13%,100%,NULL,NULL,NULL,74.18%,38.83%
2008-2-6,64.09%,NULL,73.14%,95.64%,93.33%,92.44%,NULL,99.17%,NULL,78.73%,86.68%,61.61%,NULL,100%,86.23%,81.77%,100%,86.09%,80.64%,48.06%,100%,NULL,NULL,NULL,74.96%,38.25%
2008-2-7,63.77%,NULL,72.74%,87.41%,93.81%,92.49%,NULL,99.83%,NULL,79.66%,85.81%,63.02%,NULL,100%,87.43%,81.51%,100%,87.2%,80.37%,47.75%,100%,NULL,NULL,NULL,75.43%,39.31%
2008-2-8,63.53%,NULL,72.33%,87.93%,94.41%,92.44%,NULL,99.94%,NULL,80.31%,84.98%,64.43%,NULL,100%,88.33%,81.25%,100%,88.12%,80.22%,46.83%,100%,NULL,NULL,NULL,75.74%,39.25%
2008-2-9,63.37%,NULL,71.89%,88.61%,95.01%,92.35%,NULL,99.39%,NULL,80.88%,84.05%,65.84%,NULL,100%,89.76%,81.55%,100%,89.05%,80.57%,45.99%,100%,NULL,NULL,NULL,75.96%,39.19%
2008-2-10,63.13%,NULL,71.38%,87.93%,95.83%,92.26%,NULL,99.61%,NULL,81.21%,83.23%,66.7%,NULL,100%,90.99%,81.55%,100%,89.71%,80.92%,45.28%,100%,NULL,NULL,NULL,76.12%,38.77%
2008-2-11,62.89%,NULL,71.04%,87.08%,96.67%,92.17%,NULL,100%,NULL,81.43%,82.31%,67.56%,NULL,100%,92.2%,80.64%,100%,90.26%,80.47%,44.57%,100%,NULL,NULL,NULL,76.06%,38.35%
2008-2-12,62.65%,NULL,70.57%,90.14%,97.63%,92.17%,NULL,99.94%,NULL,81.86%,81.46%,68.42%,NULL,100%,93.43%,80.64%,100%,90.49%,79.65%,43.65%,100%,NULL,NULL,NULL,76.06%,37.29%
2008-2-13,62.41%,NULL,70.06%,93.11%,98.09%,92.4%,NULL,100%,NULL,82.19%,81.43%,69.01%,NULL,100%,93.84%,80.64%,100%,90.42%,79.01%,42.92%,100%,NULL,NULL,NULL,75.9%,36.33%
2008-2-14,62.09%,NULL,69.55%,95.34%,98.34%,92.77%,NULL,99.28%,NULL,82.3%,81.46%,69.51%,NULL,100%,90.67%,79.58%,100%,90.61%,79.65%,42.1%,100%,NULL,NULL,NULL,75.8%,36.26%
2008-2-15,61.78%,NULL,69.02%,93.11%,98.69%,93.14%,NULL,98.94%,NULL,82.53%,81.49%,69.88%,NULL,100%,87.43%,79.28%,100%,90.77%,79.55%,41.23%,100%,NULL,NULL,NULL,75.8%,37.62%
2008-2-16,61.46%,NULL,68.51%,90.59%,98.93%,93.28%,NULL,98.67%,NULL,82.63%,80.98%,70.1%,NULL,100%,84.16%,79.02%,100%,90.26%,79.13%,40.42%,100%,NULL,NULL,NULL,75.61%,37.62%
2008-2-17,61.06%,NULL,68.05%,90.81%,98.69%,93.33%,NULL,98.28%,NULL,82.63%,80.04%,70.28%,NULL,100%,84.06%,78.68%,99.57%,90.34%,78.59%,39.74%,100%,NULL,NULL,NULL,75.46%,38.77%
2008-2-18,60.75%,NULL,68.05%,92.24%,98.22%,93.33%,NULL,99.11%,NULL,82.8%,79.17%,70.43%,NULL,100%,84.64%,78.47%,98.12%,90.38%,78.22%,38.94%,100%,NULL,NULL,NULL,75.27%,39.6%
2008-2-19,60.35%,NULL,67.4%,93.35%,97.87%,93.33%,NULL,99.89%,NULL,82.8%,78.31%,70.53%,NULL,100%,85.24%,78.26%,96.67%,88.89%,79.45%,38.15%,100%,NULL,NULL,NULL,74.62%,40.44%
2008-2-20,59.96%,NULL,66.93%,94.46%,97.51%,93.33%,NULL,99.44%,NULL,82.8%,77.41%,70.48%,NULL,100%,85.93%,78%,95.22%,88.27%,80.17%,37.42%,100%,NULL,NULL,NULL,74.31%,41.28%
2008-2-21,59.56%,NULL,66.44%,95.11%,97.27%,93.33%,NULL,99.06%,NULL,82.8%,76.53%,70.38%,NULL,100%,86.53%,77.79%,93.92%,87.47%,80.24%,36.63%,100%,NULL,NULL,NULL,73.9%,41.93%
2008-2-22,59.17%,NULL,65.91%,95.34%,96.92%,93.33%,NULL,98.61%,NULL,82.8%,75.64%,70.28%,NULL,100%,86.73%,77.54%,92.47%,86.74%,79.95%,35.91%,100%,NULL,NULL,NULL,73.87%,42.48%
2008-2-23,58.77%,NULL,65.53%,95.34%,96.67%,93.33%,NULL,98.61%,NULL,82.8%,74.76%,70.19%,NULL,100%,86.83%,77.33%,91.03%,85.86%,79.48%,35.26%,100%,NULL,NULL,NULL,73.43%,43.56%
2008-2-24,58.54%,NULL,NULL,95.34%,96.19%,93.38%,NULL,99.39%,NULL,82.8%,73.86%,70.06%,NULL,100%,86.94%,77.08%,89.58%,84.95%,78.98%,34.55%,100%,NULL,NULL,NULL,73.09%,44.96%
2008-2-25,58.23%,NULL,64.58%,95.86%,95.83%,93.33%,NULL,98.83%,NULL,82.8%,73.02%,69.83%,NULL,100%,87.03%,76.87%,88.28%,84.2%,78.39%,33.72%,100%,NULL,NULL,NULL,72.84%,46.17%
2008-2-26,57.83%,NULL,64.13%,95.86%,95.48%,93.33%,NULL,99.78%,NULL,82.8%,72.09%,69.65%,NULL,100%,87.13%,76.66%,87.12%,83.45%,77.94%,32.9%,100%,NULL,NULL,NULL,72.5%,46.55%
2008-2-27,57.44%,NULL,63.85%,96.31%,95.01%,93.33%,NULL,99.33%,NULL,82.69%,71.18%,69.33%,NULL,100%,86.64%,76.36%,85.96%,82.45%,77.45%,32.26%,100%,NULL,NULL,NULL,72.17%,47.07%
2008-2-28,57.13%,NULL,63.15%,96.31%,94.06%,93.28%,NULL,99.39%,NULL,82.69%,70.29%,69.01%,NULL,100%,86.04%,76.11%,84.66%,81.49%,76.43%,31.51%,100%,NULL,NULL,NULL,71.8%,47.13%
2008-2-29,56.9%,NULL,62.64%,96.09%,90.95%,93.28%,NULL,99.89%,NULL,82.69%,69.55%,68.56%,NULL,100%,85.65%,75.91%,83.5%,80.57%,75.7%,30.83%,100%,NULL,NULL,NULL,71.37%,46.43%
2008-3-1,56.59%,NULL,62.17%,95.64%,89.36%,93.24%,NULL,99.78%,NULL,82.63%,68.64%,68.01%,NULL,100%,84.16%,75.57%,82.34%,79.99%,74.95%,30.15%,100%,NULL,NULL,NULL,70.98%,45.8%
2008-3-2,56.27%,NULL,61.69%,95.11%,88.36%,93.21%,NULL,99.44%,NULL,81.75%,67.71%,67.38%,NULL,100%,83.16%,75.37%,81.19%,78.72%,74.15%,29.53%,100%,NULL,NULL,NULL,70.52%,45.21%
2008-3-3,56.04%,NULL,NULL,94.67%,87.46%,93.18%,NULL,99.78%,NULL,80.55%,66.76%,66.7%,NULL,100%,81.78%,75.03%,80.03%,78.22%,73.96%,28.86%,99.58%,NULL,NULL,NULL,70%,44.52%
2008-3-4,55.81%,NULL,60.6%,94.02%,86.56%,93%,NULL,98.67%,NULL,79.28%,65.81%,66.06%,NULL,100%,80.59%,74.79%,78.87%,76.94%,73.69%,28.09%,98.47%,NULL,NULL,NULL,69.28%,43.44%
2008-3-5,55.5%,NULL,60.06%,93.35%,85.57%,92.77%,NULL,97.94%,NULL,77.95%,64.9%,65.34%,NULL,100%,79.3%,74.45%,77.71%,76.83%,73.43%,27.33%,97.39%,NULL,NULL,NULL,69.05%,43.44%
2008-3-6,55.19%,NULL,59.52%,92.03%,84.45%,92.54%,NULL,98.17%,NULL,76.5%,63.96%,64.61%,NULL,100%,78.01%,74.17%,76.56%,75.91%,73.16%,26.68%,94.07%,NULL,NULL,NULL,68.78%,42.65%
2008-3-7,54.88%,NULL,59.02%,91.14%,83.1%,92.21%,NULL,98%,NULL,75.75%,63.03%,63.84%,NULL,100%,76.85%,73.92%,75.4%,74.72%,72.9%,26.1%,92.99%,NULL,NULL,NULL,68.36%,42.05%
2008-3-8,54.65%,NULL,58.49%,90.14%,82.21%,91.94%,NULL,97.67%,NULL,74.72%,62.07%,63.07%,NULL,100%,76.75%,73.63%,75.4%,73.68%,72.64%,25.21%,91.88%,NULL,NULL,NULL,67.86%,41.7%
2008-3-9,54.34%,NULL,58%,89.04%,81.35%,91.67%,NULL,97.28%,NULL,73.52%,62.07%,62.29%,NULL,100%,75.8%,73.38%,75.4%,72.48%,72.42%,24.54%,92.99%,NULL,NULL,NULL,67.51%,41.34%
2008-3-10,54.11%,NULL,57.43%,88.08%,80.64%,91.26%,NULL,97.5%,NULL,72.48%,62.1%,61.48%,NULL,100%,70.52%,73.14%,75.4%,70.44%,71.97%,23.78%,91.88%,NULL,NULL,NULL,66.89%,41.04%
2008-3-11,53.87%,NULL,56.87%,87.29%,80.22%,90.89%,NULL,97%,NULL,71.4%,61.48%,60.8%,NULL,100%,66.11%,72.93%,74.1%,69.3%,71.71%,23.08%,92.99%,NULL,NULL,NULL,66.3%,40.51%
2008-3-12,53.57%,NULL,56.31%,86.45%,79.83%,90.52%,NULL,97%,NULL,70.36%,60.53%,60.09%,NULL,100%,65.93%,72.69%,72.94%,69%,71.73%,22.4%,92.99%,NULL,NULL,NULL,65.93%,39.84%
2008-3-13,53.34%,NULL,55.7%,85.66%,79.42%,90.16%,NULL,97.28%,NULL,69.22%,59.57%,59.34%,NULL,100%,66.57%,72.4%,71.49%,67.13%,71.59%,21.73%,92.99%,NULL,NULL,NULL,65.11%,39.07%
2008-3-14,52.88%,NULL,55.16%,85.66%,78.92%,89.84%,NULL,97.61%,NULL,68.44%,58.61%,58.72%,NULL,100%,67.39%,72.12%,70.19%,66.15%,71.23%,20.88%,94.1%,100%,NULL,NULL,64.62%,38.42%
2008-3-15,52.57%,NULL,54.61%,86.79%,78.5%,89.69%,NULL,98%,NULL,68.03%,57.67%,58.18%,NULL,100%,68.21%,71.88%,69.03%,65.19%,71.09%,20.19%,NULL,NULL,NULL,NULL,65.16%,37.71%
2008-3-16,52.27%,NULL,54%,86.65%,78%,89.6%,NULL,98.44%,NULL,67.3%,56.7%,57.6%,NULL,100%,69.17%,71.55%,69.03%,64.04%,70.81%,19.5%,94.1%,NULL,NULL,NULL,64.51%,37.12%
2008-3-17,52.04%,NULL,53.42%,86.06%,77.4%,89.37%,NULL,98%,NULL,66.52%,55.76%,56.98%,NULL,100%,70.03%,71.27%,69.03%,62.71%,70.43%,18.76%,94.1%,NULL,NULL,NULL,64.11%,36.49%
2008-3-18,51.81%,NULL,52.79%,85.27%,76.79%,89.01%,NULL,99.5%,NULL,65.59%,54.78%,56.36%,NULL,100%,71.95%,70.99%,69.03%,62%,70.12%,18.03%,94.1%,NULL,NULL,NULL,63.68%,35.42%
2008-3-19,51.5%,NULL,52.13%,96.53%,77.29%,89.06%,NULL,99.83%,NULL,65.68%,54.78%,55.95%,NULL,100%,73.21%,70.66%,69.03%,61.93%,69.98%,17.18%,78.69%,NULL,NULL,NULL,63.68%,34.85%
2008-3-20,51.05%,NULL,51.51%,96.75%,77.29%,89.43%,NULL,99.5%,NULL,65.99%,54.78%,55.95%,NULL,100%,69.74%,70.38%,67.73%,61.93%,69.91%,17.27%,84.4%,NULL,NULL,NULL,63.32%,34.19%
2008-3-21,50.52%,NULL,50.85%,96.09%,77.29%,89.52%,NULL,99.5%,NULL,65.16%,54.14%,55.62%,NULL,100%,66.21%,70.06%,66.28%,61.59%,69.65%,17.14%,84.4%,NULL,NULL,NULL,63.12%,34.12%
2008-3-22,50.07%,NULL,50.19%,96.09%,77.4%,89.51%,NULL,99.22%,NULL,64.36%,53.2%,55.41%,NULL,100%,68.31%,69.82%,64.98%,60.51%,69.32%,17.23%,91.18%,NULL,NULL,NULL,62.71%,34.47%
2008-3-23,49.54%,NULL,49.74%,76.76%,77.91%,89.65%,NULL,99.28%,NULL,65.79%,52.29%,55.74%,NULL,100%,71.38%,69.7%,63.68%,60.48%,69.09%,17.6%,94.24%,NULL,NULL,NULL,62.57%,35.08%
2008-3-24,49.01%,NULL,49.16%,86.65%,78%,89.97%,NULL,100%,NULL,68.03%,51.33%,56.53%,NULL,100%,74.45%,69.46%,63.1%,60.21%,69.07%,17.65%,94.24%,NULL,NULL,NULL,62.12%,36.01%
2008-3-25,48.57%,NULL,48.5%,89.48%,78%,90.25%,NULL,99.94%,NULL,68.24%,50.26%,57.11%,NULL,100%,77.23%,69.22%,63.1%,59.69%,68.69%,17.48%,96.57%,100%,NULL,NULL,61.76%,37.91%
2008-3-26,47.97%,NULL,48.44%,91.36%,78.5%,90.06%,NULL,99.89%,NULL,67.82%,49.37%,57.36%,NULL,100%,79.99%,68.94%,63.1%,58.84%,68.32%,17.73%,96.57%,NULL,NULL,NULL,61.65%,38.83%
2008-3-27,47.38%,NULL,48.44%,92.24%,79.12%,89.88%,NULL,100%,NULL,67.3%,48.44%,57.52%,NULL,100%,82.77%,68.66%,63.1%,58.42%,68.11%,17.99%,100%,NULL,NULL,NULL,61.59%,39.19%
2008-3-28,46.79%,NULL,48.44%,92.68%,79.83%,89.69%,NULL,99.83%,NULL,66.68%,48.44%,57.52%,NULL,100%,84.75%,68.35%,63.1%,58.21%,67.79%,18.24%,100%,NULL,NULL,NULL,61.07%,39.07%
2008-3-29,46.27%,NULL,48.44%,92.63%,80.13%,89.51%,NULL,99.78%,NULL,66.41%,48.44%,57.27%,NULL,100%,82.47%,68.07%,61.65%,57.14%,67.46%,18.5%,98.47%,NULL,NULL,NULL,60.41%,38.77%
2008-3-30,45.76%,NULL,48.44%,92.89%,80.52%,89.34%,NULL,99.78%,NULL,66.41%,48.49%,57.02%,NULL,100%,80.19%,67.79%,60.35%,56.46%,67.18%,18.76%,95.18%,NULL,NULL,NULL,60.49%,38.89%
2008-3-31,45.32%,NULL,48.44%,91.36%,80.93%,89.24%,NULL,99.83%,NULL,66.78%,48.51%,56.53%,NULL,100%,77.81%,67.52%,59.04%,58.24%,66.77%,19.03%,94.1%,NULL,NULL,NULL,60.24%,38.95%
2008-4-1,44.74%,NULL,48.44%,65.89%,86.34%,90.34%,NULL,100%,NULL,80.49%,47.95%,57.94%,NULL,100%,74.73%,67.21%,57.89%,63.85%,67.48%,19.38%,100%,NULL,NULL,NULL,62.32%,39.31%
2008-4-2,44.23%,NULL,48.44%,60.82%,88.47%,91.21%,NULL,99.67%,NULL,93.18%,46.98%,59.47%,NULL,100%,76.66%,66.89%,57.89%,65.51%,68.93%,19.69%,100%,NULL,NULL,NULL,63.18%,39.37%
2008-4-3,43.8%,NULL,44.52%,77.77%,89.14%,92.03%,NULL,99.5%,NULL,95.85%,46.02%,60.75%,NULL,100%,79.59%,66.54%,57.89%,68.05%,69.77%,19.88%,100%,NULL,NULL,NULL,65.08%,39.37%
2008-4-4,43.23%,NULL,43.94%,80.72%,89.93%,92.35%,NULL,99.22%,NULL,96.96%,45.07%,61.89%,NULL,100%,82.27%,66.12%,57.89%,69.84%,70.38%,20.15%,100%,NULL,NULL,NULL,66.5%,39.6%
2008-4-5,42.73%,NULL,43.25%,88.61%,90.36%,92.26%,NULL,99.61%,NULL,97.65%,44.09%,63.2%,NULL,100%,84.85%,65.69%,57.89%,70.78%,70.71%,20.42%,100%,NULL,NULL,NULL,67.63%,39.84%
2008-4-6,42.15%,NULL,42.49%,94.67%,90.95%,92.21%,NULL,99.61%,NULL,97.3%,44.05%,64.56%,NULL,100%,86.64%,65.27%,57.89%,71.62%,71.09%,20.7%,100%,NULL,NULL,NULL,68.48%,40.03%
2008-4-7,41.66%,NULL,41.72%,96.75%,91.42%,92.21%,NULL,99.83%,NULL,97.3%,44.07%,65.7%,NULL,100%,84.36%,64.85%,57.89%,72%,71.09%,20.93%,98.92%,NULL,NULL,NULL,69.07%,40.03%
2008-4-8,41.09%,NULL,40.93%,97.86%,92.02%,92.17%,NULL,99.78%,NULL,96.96%,44.09%,66.61%,NULL,100%,81.87%,64.4%,57.89%,71.93%,71.14%,21.11%,94.52%,NULL,NULL,NULL,69.43%,39.91%
2008-4-9,40.53%,NULL,40.36%,95.86%,92.26%,92.17%,NULL,99.94%,NULL,96.42%,44.12%,67.38%,NULL,100%,79.39%,63.98%,57.89%,71.76%,71%,21.3%,89.46%,NULL,NULL,NULL,69.43%,39.91%
2008-4-10,39.97%,NULL,39.56%,95.11%,92.62%,92.31%,NULL,99.89%,NULL,96.49%,44.31%,67.88%,NULL,100%,76.94%,63.53%,57.89%,71.62%,70.93%,21.44%,85.93%,NULL,NULL,NULL,69.46%,39.96%
2008-4-11,39.55%,NULL,39.2%,93.57%,93.1%,92.53%,NULL,99.94%,NULL,96.84%,43.91%,68.38%,NULL,100%,74.64%,63.12%,57.89%,71.45%,70.83%,21.63%,83.96%,NULL,NULL,NULL,69.55%,40.15%
2008-4-12,40.11%,NULL,NULL,93.57%,93.57%,92.72%,NULL,99.67%,NULL,96.61%,42.99%,68.88%,NULL,100%,76.37%,62.67%,57.89%,71.39%,70.71%,21.87%,83.75%,NULL,NULL,NULL,69.64%,40.44%
2008-4-13,39.55%,NULL,NULL,92.68%,94.17%,92.93%,NULL,99.78%,NULL,96.08%,42.04%,69.2%,NULL,100%,78.9%,62.27%,57.89%,70.63%,70.5%,22.16%,83.3%,NULL,NULL,NULL,69.67%,40.8%
2008-4-14,39.06%,NULL,37.42%,91.81%,94.41%,92.76%,NULL,100%,NULL,95.38%,41.03%,69.47%,NULL,100%,81.37%,61.82%,57.89%,70.27%,70.22%,22.35%,83.09%,NULL,NULL,NULL,69.43%,41.04%
2008-4-15,38.37%,NULL,36.68%,92.03%,94.28%,92.86%,NULL,99.83%,NULL,94.81%,40.1%,69.74%,NULL,100%,83.86%,61.38%,56.44%,70.04%,69.96%,22.54%,81.98%,NULL,NULL,NULL,69.34%,41.16%
2008-4-16,37.89%,NULL,36.55%,92.24%,94.65%,93.05%,NULL,100%,NULL,94.1%,40.01%,69.92%,NULL,100%,86.23%,61.05%,55.28%,68.41%,69.65%,22.69%,81.32%,NULL,NULL,NULL,68.81%,38.77%
2008-4-17,38.3%,NULL,36.57%,65.1%,96.43%,93.42%,NULL,100%,NULL,94.35%,40.12%,70.24%,NULL,100%,84.25%,60.83%,55.28%,69.64%,69.39%,23.18%,78.48%,NULL,NULL,NULL,68.87%,37.85%
