,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2008-1-1,75.57%,NULL,92.26%,95.64%,86.67%,92.92%,NULL,97.5%,NULL,76.13%,100%,71.62%,NULL,NULL,81.87%,89.41%,100%,100%,86.55%,72.28%,98.47%,NULL,75.37%,NULL,92.43%,44.45%
2008-1-2,75.32%,NULL,91.68%,95.64%,87.23%,92.57%,NULL,97.44%,NULL,75.91%,100%,71.12%,NULL,100%,81.18%,89.18%,100%,100%,86.32%,71.6%,97.39%,NULL,NULL,NULL,91.97%,44.64%
2008-1-3,74.99%,NULL,91.1%,95.64%,87.79%,92.31%,NULL,97.44%,NULL,75.91%,100%,70.68%,NULL,100%,80.48%,89%,100%,100%,86.01%,70.93%,94.1%,NULL,75.77%,NULL,91.66%,44.66%
2008-1-4,74.66%,NULL,90.44%,95.64%,88.58%,92.25%,NULL,97.39%,NULL,75.75%,100%,70.06%,NULL,100%,79.89%,88.82%,100%,99.92%,85.7%,70.11%,92.99%,NULL,74.83%,NULL,91.3%,43.97%
2008-1-5,74.33%,NULL,89.86%,95.64%,87.79%,92.21%,NULL,97.44%,NULL,75.58%,100%,69.51%,NULL,100%,79.3%,88.68%,100%,98.97%,85.45%,69.37%,91.88%,NULL,74.83%,NULL,90.95%,43.49%
2008-1-6,73.92%,NULL,89.21%,95.64%,87.12%,92.18%,NULL,97.44%,NULL,75.46%,100%,68.97%,NULL,100%,78.6%,88.45%,100%,98.02%,85.27%,68.7%,90.8%,NULL,75.1%,NULL,90.53%,42.72%
2008-1-7,73.51%,NULL,88.64%,95.64%,86.56%,92.12%,NULL,97.5%,NULL,75.31%,100%,68.42%,NULL,100%,78.01%,88.23%,100%,98.1%,84.99%,68.03%,89.67%,NULL,75.37%,NULL,90.11%,42.24%
2008-1-8,73.18%,NULL,88.03%,95.64%,85.89%,92.09%,NULL,97.5%,NULL,75.25%,100%,67.88%,NULL,100%,77.33%,88.09%,100%,98.06%,84.63%,67.52%,88.59%,NULL,75.37%,NULL,89.83%,41.46%
2008-1-9,72.85%,NULL,87.42%,97.86%,85.01%,92.02%,NULL,97.5%,NULL,75.15%,100%,67.33%,NULL,100%,76.75%,87.86%,100%,97.65%,84.3%,66.86%,87.49%,NULL,75.23%,NULL,89.34%,41.4%
2008-1-10,72.52%,NULL,86.85%,98.08%,84.79%,91.9%,NULL,97.5%,NULL,75.01%,100%,66.74%,NULL,100%,76.18%,87.68%,100%,96.7%,83.89%,66.13%,85.27%,NULL,75.23%,NULL,88.91%,NULL
2008-1-11,72.2%,NULL,86.25%,95.64%,84.67%,91.7%,NULL,97.5%,NULL,74.21%,100%,66.15%,NULL,100%,75.61%,87.46%,100%,95.81%,83.56%,65.54%,85.27%,NULL,75.23%,NULL,88.57%,40.56%
2008-1-12,71.87%,NULL,85.68%,95.64%,84.22%,91.58%,NULL,97.5%,NULL,74.83%,100%,65.65%,NULL,100%,74.93%,87.27%,100%,95.64%,83.21%,64.96%,86.38%,NULL,74.97%,NULL,88.16%,40.08%
2008-1-13,71.54%,NULL,85.16%,94.46%,83.66%,91.39%,NULL,97.72%,NULL,74.62%,100%,65.16%,NULL,100%,74.26%,87.09%,100%,94.79%,82.85%,64.46%,87.49%,NULL,74.03%,NULL,87.75%,39.84%
2008-1-14,71.21%,NULL,84.69%,94.46%,83.33%,91.21%,NULL,97.83%,NULL,74.51%,100%,64.7%,NULL,100%,73.68%,86.96%,100%,94.63%,82.52%,63.88%,97.39%,NULL,73.1%,NULL,87.3%,39.96%
2008-1-15,70.89%,NULL,84.21%,94.24%,83.44%,91.07%,NULL,98.33%,NULL,74.41%,100%,64.29%,NULL,100%,73.01%,86.78%,100%,94.19%,82.62%,63.23%,100%,NULL,72.7%,NULL,86.92%,40.2%
2008-1-16,70.56%,NULL,83.73%,94.24%,83.78%,90.89%,NULL,98.83%,NULL,74.31%,100%,63.88%,NULL,100%,72.24%,86.55%,100%,93.87%,82.65%,62.58%,100%,NULL,72.03%,NULL,86.54%,40.63%
2008-1-17,70.23%,NULL,83.22%,94.02%,84.56%,90.62%,NULL,99.11%,NULL,74.2%,100%,63.38%,NULL,100%,70.03%,86.42%,100%,93.43%,82.95%,62.01%,100%,NULL,NULL,NULL,86.1%,40.98%
2008-1-18,69.91%,NULL,82.74%,94.02%,85.23%,90.39%,NULL,99.28%,NULL,74%,100%,62.8%,NULL,100%,70.22%,86.19%,100%,92.99%,83.31%,61.37%,100%,NULL,NULL,NULL,85.92%,41.34%
2008-1-19,69.58%,NULL,82.15%,94.02%,85.68%,90.16%,NULL,99.44%,NULL,73.83%,100%,62.21%,NULL,100%,72.53%,86.01%,100%,92.51%,83.61%,60.66%,100%,NULL,NULL,NULL,85.21%,41.88%
2008-1-20,69.26%,NULL,81.56%,93.8%,86%,89.93%,NULL,99.56%,NULL,73.74%,100%,61.57%,NULL,100%,74.93%,85.83%,100%,92.07%,84.45%,59.88%,100%,NULL,NULL,NULL,84.5%,42.48%
2008-1-21,68.93%,NULL,80.94%,93.57%,86%,89.7%,NULL,99.89%,NULL,73.63%,99.74%,60.92%,NULL,100%,77.33%,85.57%,100%,91.56%,84.78%,59.17%,100%,NULL,NULL,NULL,83.83%,42.53%
2008-1-22,68.61%,NULL,80.4%,93.57%,85.68%,89.51%,NULL,99.78%,NULL,73.42%,98.89%,60.26%,NULL,100%,77.72%,85.43%,100%,91.08%,84.88%,58.68%,100%,NULL,NULL,NULL,83.06%,41.76%
2008-1-23,68.28%,NULL,79.78%,94.02%,85.46%,89.29%,NULL,100%,NULL,73.21%,98.08%,59.68%,NULL,100%,78.01%,85.12%,100%,90.53%,84.83%,58.05%,100%,NULL,NULL,NULL,82.42%,40.86%
2008-1-24,67.88%,NULL,79.51%,95.11%,84.9%,89.01%,NULL,99.33%,NULL,73%,97.27%,59.14%,NULL,100%,78.3%,84.85%,100%,89.98%,84.86%,57.42%,100%,NULL,NULL,NULL,81.72%,38.35%
2008-1-25,67.47%,NULL,78.97%,95.34%,84.34%,88.74%,NULL,99.5%,NULL,72.8%,96.49%,58.64%,NULL,100%,78.5%,84.67%,100%,88.79%,85.01%,56.73%,100%,NULL,NULL,NULL,81.07%,39.19%
2008-1-26,67.31%,NULL,78.5%,95.64%,84%,88.51%,NULL,99.56%,NULL,72.8%,95.75%,2.75%,NULL,100%,79%,84.5%,100%,88.33%,85.19%,56.31%,100%,NULL,NULL,NULL,NULL,38.95%
2008-1-27,67.15%,NULL,78.15%,95.64%,84.67%,88.51%,NULL,99.44%,NULL,73%,94.94%,57.69%,NULL,100%,79.3%,84.23%,100%,88.62%,85.14%,55.76%,100%,NULL,NULL,NULL,79.82%,38.35%
2008-1-28,66.82%,NULL,77.73%,94.89%,85.57%,88.51%,NULL,100%,NULL,73%,94.14%,57.23%,NULL,100%,79.49%,84.01%,100%,88.51%,85.11%,55.14%,100%,NULL,NULL,NULL,79.16%,37.79%
2008-1-29,66.58%,NULL,77.31%,94.46%,86.9%,88.47%,NULL,99.56%,NULL,72.9%,93.34%,57.07%,NULL,100%,79.99%,83.79%,100%,88.27%,84.37%,54.38%,100%,NULL,NULL,NULL,78.74%,37.17%
