,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2004-1-1,78.33%,NULL,100%,0.54%,46.69%,NULL,NULL,70.72%,NULL,55.34%,18.29%,41.1%,NULL,51.48%,44.27%,90.35%,72.36%,34.27%,74.33%,51.18%,43.57%,64.93%,NULL,NULL,58.25%,40.98%
2004-1-2,77.75%,NULL,100%,0.53%,46.09%,NULL,NULL,69.9%,NULL,55.07%,18.32%,40.74%,NULL,46.11%,43.68%,90.04%,72.36%,33.91%,73.83%,50.42%,42.79%,64.72%,NULL,NULL,58.14%,40.56%
2004-1-3,77.16%,NULL,100%,0.51%,45.14%,NULL,NULL,69.32%,NULL,54.8%,18.36%,40.33%,NULL,47.41%,43.13%,89.78%,72.36%,33.43%,73.44%,49.68%,41.85%,64.51%,NULL,NULL,57.82%,40.56%
2004-1-4,76.58%,NULL,100%,0.5%,44.62%,NULL,NULL,68.61%,NULL,54.44%,18.4%,39.9%,NULL,47.04%,42.67%,89.52%,72.36%,33.14%,72.89%,48.92%,40.91%,64.3%,NULL,NULL,57.45%,41.88%
2004-1-5,75.99%,NULL,100%,0.5%,43.38%,NULL,NULL,67.88%,NULL,54.09%,18.43%,39.43%,NULL,46.48%,42.15%,89.17%,72.36%,32.7%,72.37%,48.23%,40.2%,64.09%,NULL,NULL,57.13%,43.8%
2004-1-6,75.41%,NULL,100%,0.5%,42.24%,NULL,NULL,65.95%,NULL,53.82%,18.47%,38.96%,NULL,47.04%,41.62%,88.91%,70.91%,32.29%,71.87%,47.28%,40.67%,63.72%,NULL,NULL,56.76%,45.09%
2004-1-7,74.82%,NULL,100%,0.51%,41.4%,NULL,NULL,63.99%,NULL,53.46%,18.51%,38.48%,NULL,47.04%,41.11%,88.6%,69.61%,31.84%,71.28%,46.47%,40.58%,63.54%,NULL,NULL,56.44%,44.96%
2004-1-8,74.24%,NULL,100%,0.53%,40.13%,NULL,NULL,63.08%,NULL,53.1%,18.54%,38.02%,NULL,47.59%,40.59%,88.25%,68.45%,30.95%,70.76%,45.65%,41.28%,63.35%,NULL,NULL,56.71%,44.84%
2004-1-9,73.67%,NULL,100%,0.56%,39.01%,NULL,NULL,62.43%,NULL,52.74%,18.55%,37.6%,NULL,48.15%,40.06%,87.9%,67.87%,30.47%,70.22%,44.77%,41.05%,63.16%,NULL,NULL,56.47%,43.68%
2004-1-10,73.19%,NULL,100%,0.56%,37.94%,NULL,NULL,61.64%,NULL,52.38%,18.49%,37.22%,NULL,48.33%,40%,87.64%,66.71%,30.11%,69.71%,43.95%,40.81%,62.97%,NULL,NULL,56.07%,43.01%
2004-1-11,72.62%,NULL,100%,0.58%,36.88%,NULL,NULL,60.99%,NULL,52.02%,18.52%,36.77%,NULL,48.89%,39.53%,87.29%,65.27%,29.63%,69.27%,43%,40.58%,62.78%,NULL,NULL,55.78%,42.48%
2004-1-12,72.05%,NULL,100%,0.61%,36.17%,NULL,NULL,60.56%,NULL,51.66%,18.55%,36.36%,NULL,49.07%,39.02%,87.03%,63.97%,29.28%,68.69%,42.19%,41.28%,62.59%,NULL,NULL,55.44%,41.7%
2004-1-13,71.48%,NULL,100%,0.58%,35.4%,NULL,NULL,60.99%,NULL,51.34%,17.97%,35.97%,NULL,49.26%,39.87%,86.68%,62.81%,28.89%,68.2%,41.49%,42.77%,62.38%,NULL,NULL,55.08%,41.1%
2004-1-14,71.08%,NULL,100%,0.58%,34.54%,NULL,NULL,61.43%,NULL,51.03%,17.01%,35.56%,NULL,49.44%,44.12%,86.33%,61.79%,28.33%,67.65%,40.8%,46.06%,62.17%,NULL,NULL,54.78%,41.16%
2004-1-15,70.75%,NULL,100%,0.56%,33.7%,NULL,NULL,61.6%,NULL,50.79%,16.01%,35.17%,NULL,50%,48.63%,86.08%,60.49%,27.83%,67.06%,40.8%,47.66%,61.86%,NULL,NULL,54.34%,40.56%
2004-1-16,70.35%,NULL,100%,0.56%,32.43%,NULL,NULL,61.12%,NULL,50.48%,14.97%,34.76%,NULL,50.19%,53.03%,85.79%,59.33%,27.39%,66.53%,40.36%,49.07%,61.56%,NULL,NULL,54.01%,39.07%
2004-1-17,70.02%,NULL,100%,0.62%,31.68%,NULL,NULL,60.29%,NULL,50.17%,14.28%,34.33%,NULL,50.37%,56.39%,85.5%,59.33%,26.87%,65.95%,39.86%,50.01%,61.24%,NULL,NULL,53.72%,38.53%
