,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2014-1-1,54.73%,NULL,65.83%,59.66%,99.78%,99.66%,98.3%,81.53%,99.11%,89.58%,63.36%,88.36%,NULL,85.19%,68.33%,79.86%,29.23%,98.76%,95.68%,71.58%,100%,65.21%,89.47%,96.35%,92.62%,39.27%
2014-1-2,54.42%,NULL,65.37%,55.5%,100%,99.73%,98.27%,81.58%,100%,89.69%,63.39%,88.42%,NULL,85.95%,67.51%,80.22%,29.23%,98.13%,95.28%,71.27%,99.57%,64.94%,88.63%,96.72%,92.66%,38.72%
2014-1-3,54.11%,NULL,64.91%,54.99%,100%,99.76%,98.59%,81.62%,100%,89.69%,63.42%,89.08%,NULL,87.09%,66.71%,79.34%,29.23%,98.85%,95.01%,70.89%,95.17%,64.41%,87.63%,97.21%,92.73%,37.76%
2014-1-4,53.87%,NULL,64.45%,56.54%,100%,99.76%,98.5%,81.62%,100%,89.58%,63.48%,89.2%,NULL,88.61%,65.91%,79.03%,29.23%,98.72%,94.71%,70.51%,89.61%,64.04%,87.12%,97.52%,92.73%,37.11%
2014-1-5,53.48%,NULL,63.94%,57.92%,100%,99.64%,97.87%,81.58%,99.36%,89.58%,63.51%,89.2%,NULL,87.85%,65.22%,78.76%,29.23%,98.93%,94.37%,69.9%,87.69%,63.59%,86.29%,97.7%,92.73%,36.7%
2014-1-6,53.17%,NULL,63.44%,59.13%,100%,99.69%,98.02%,81.53%,100%,89.46%,62.99%,NULL,NULL,88.99%,64.73%,78.49%,29.23%,98.72%,94.02%,68.99%,84.69%,63.32%,85.96%,98.07%,92.73%,36.4%
2014-1-7,52.78%,NULL,62.98%,60.18%,100%,99.71%,98.7%,80.98%,99.17%,89.46%,62.11%,89.14%,NULL,87.47%,67.82%,78.22%,28.07%,98.85%,93.65%,67.78%,81.48%,62.95%,85.3%,98.45%,92.73%,35.83%
2014-1-8,52.47%,NULL,62.57%,61.06%,100%,99.79%,98.84%,80.39%,99.24%,89.46%,61.2%,89.08%,NULL,89.37%,72.34%,77.95%,26.77%,98.72%,93.3%,66.51%,77.2%,62.5%,84.97%,98.07%,92.66%,35.08%
2014-1-9,52.16%,NULL,62.13%,62.48%,100%,99.71%,98.56%,80.39%,100%,89.46%,60.54%,88.96%,NULL,89.75%,76.67%,77.68%,25.47%,98.81%,93.01%,66.21%,74.46%,61.96%,84.47%,98.07%,92.41%,35.37%
2014-1-10,51.77%,NULL,61.52%,63.37%,100%,99.74%,98.76%,80.39%,100%,89.34%,60.57%,88.78%,NULL,89.37%,78.39%,77.42%,24.17%,98.51%,92.77%,65.84%,84.25%,61.59%,83.81%,98.01%,92.45%,36.52%
