,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2013-1-1,68.17%,NULL,81.51%,84.03%,95.89%,99.23%,97.05%,81.1%,97.55%,98.71%,57.09%,96.94%,NULL,95.84%,74.97%,55.27%,21.42%,99.13%,92.98%,76.86%,96.45%,72.09%,98.97%,84.35%,100%,49.39%
2013-1-2,67.93%,NULL,81.28%,84.42%,96.73%,99.33%,97.22%,81.88%,98.41%,98.94%,57.15%,96.82%,NULL,96.98%,74.54%,55.34%,21.42%,98.92%,92.57%,75.84%,97.32%,71.58%,98.97%,85.67%,99.96%,49.25%
2013-1-3,67.68%,NULL,81.28%,83.44%,96.97%,99.38%,96.44%,82.3%,97.98%,NULL,57.18%,96.64%,NULL,95.84%,74.02%,55.41%,21.42%,99.05%,NULL,74.83%,100%,71.58%,98.79%,87.04%,100%,49.25%
2013-1-4,67.43%,NULL,80.6%,85.6%,97.19%,99.2%,95.72%,82.62%,97.55%,NULL,57.23%,96.46%,NULL,95.08%,73.49%,55.31%,21.42%,99.3%,93.43%,73.89%,100%,71.08%,98.27%,86.55%,99.96%,50.01%
2013-1-5,67.11%,NULL,80.1%,87.58%,97.32%,99.12%,95.24%,82.43%,97.98%,NULL,57.23%,96.33%,NULL,94.31%,73.28%,55.24%,21.42%,99.01%,93.09%,72.73%,100%,70.87%,97.57%,83.84%,99.96%,50.57%
2013-1-6,66.86%,NULL,79.61%,84.81%,97.43%,99.14%,94.36%,82.34%,96.7%,NULL,57.26%,96.21%,NULL,92.41%,73.06%,55.13%,21.42%,99.22%,92.66%,71.89%,100%,NULL,97.23%,82.83%,99.89%,51.4%
2013-1-7,66.62%,NULL,79.11%,81.49%,97.68%,99.12%,94.36%,82.67%,97.37%,NULL,57.29%,95.97%,NULL,90.51%,72.54%,55.03%,21.42%,98.89%,92%,70.81%,100%,70.37%,96.53%,82.37%,100%,50.84%
2013-1-8,66.37%,NULL,78.67%,82.66%,97.68%,99.19%,95.41%,81.7%,97.55%,NULL,57.35%,96.15%,NULL,91.27%,72.44%,54.93%,21.42%,99.02%,92.56%,69.75%,100%,70.07%,96.02%,81.97%,99.58%,50.22%
2013-1-9,66.04%,NULL,77.99%,83.64%,98.14%,99.23%,95.97%,80.78%,97.31%,99.29%,57.35%,96.09%,NULL,92.41%,71.92%,54.79%,21.42%,99.1%,93.83%,68.76%,100%,69.77%,95.5%,82.57%,99.17%,50.22%
2013-1-10,65.8%,NULL,77.45%,85.8%,98.38%,99.19%,96.55%,81.19%,97.74%,100%,57.41%,96.03%,NULL,93.17%,71.81%,54.65%,21.42%,99.23%,94.66%,67.71%,100%,69.66%,94.99%,83.99%,98.64%,49.53%
2013-1-11,65.55%,NULL,77.27%,84.23%,98.49%,99.14%,96.19%,81.65%,98.17%,98.94%,57.32%,95.97%,NULL,93.93%,71.2%,54.51%,21.42%,99.23%,95.12%,66.73%,100%,69.36%,93.41%,83.84%,98.07%,48.43%
