,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2006-1-1,64.81%,NULL,95.1%,57.17%,94.88%,NULL,NULL,98.94%,NULL,56.24%,87.74%,55.86%,NULL,100%,63.01%,67.35%,100%,90.23%,90.87%,63.16%,12.68%,80.93%,NULL,NULL,100%,41.81%
2006-1-2,64.41%,NULL,94.67%,57.53%,95.12%,NULL,NULL,98.94%,NULL,55.97%,87.77%,55.28%,NULL,100%,62.36%,67.24%,100%,81.45%,90.8%,62.37%,9.76%,80.61%,NULL,NULL,96.87%,41.34%
2006-1-3,63.77%,NULL,94.27%,57.71%,95.01%,NULL,NULL,99.33%,NULL,55.79%,87.83%,54.74%,NULL,100%,61.81%,67.13%,100%,81.16%,90.67%,61.58%,9.86%,80.08%,NULL,NULL,96.91%,41.04%
2006-1-4,63.21%,NULL,93.79%,57.88%,94.77%,NULL,NULL,99.61%,NULL,55.52%,87.86%,54.29%,NULL,100%,61.18%,66.99%,100%,80.87%,89.43%,60.8%,16.94%,79.64%,NULL,NULL,96.76%,39.84%
2006-1-5,62.65%,NULL,93.29%,58.77%,94.28%,NULL,NULL,99.78%,NULL,55.16%,87.89%,53.83%,NULL,100%,60.44%,66.92%,100%,80.98%,88.86%,59.95%,19.52%,79.11%,NULL,NULL,96.5%,38.14%
2006-1-6,62.09%,NULL,92.76%,59.48%,94.06%,NULL,NULL,100%,NULL,54.98%,87.92%,53.38%,NULL,100%,59.81%,66.77%,100%,81.05%,88.73%,59.24%,56.74%,78.11%,NULL,NULL,96.21%,36.78%
2006-1-7,61.62%,NULL,92.26%,60.36%,93.93%,NULL,NULL,100%,NULL,54.62%,87.95%,52.89%,NULL,100%,59.09%,66.63%,100%,81.16%,88.94%,58.47%,72.92%,77.52%,NULL,NULL,95.95%,35.82%
2006-1-8,61.22%,NULL,91.8%,61.07%,94.06%,NULL,NULL,99.89%,NULL,54.53%,87.98%,52.4%,NULL,100%,58.5%,66.45%,100%,81.23%,89.41%,57.63%,90.57%,76.98%,NULL,NULL,95.66%,35.65%
2006-1-9,60.75%,NULL,91.33%,62.37%,93.93%,NULL,NULL,99.33%,NULL,54.27%,88.01%,51.99%,NULL,100%,57.83%,66.3%,100%,80.14%,89.65%,56.73%,100%,76.55%,NULL,NULL,95.38%,34.52%
2006-1-10,60.03%,NULL,90.89%,62.82%,93.81%,NULL,NULL,99.11%,NULL,54%,88.04%,51.43%,NULL,100%,57.24%,66.08%,100%,79.7%,89.73%,55.9%,100%,76.23%,NULL,NULL,95.12%,34.07%
2006-1-11,59.33%,NULL,90.42%,63.04%,93.57%,NULL,NULL,99.22%,NULL,54%,88.08%,50.86%,NULL,100%,56.64%,65.94%,100%,78.98%,89.86%,55%,99.58%,75.7%,NULL,NULL,94.84%,32.28%
2006-1-12,58.7%,NULL,89.96%,63.04%,93.21%,NULL,NULL,99.39%,NULL,53.82%,88.1%,50.3%,NULL,100%,55.98%,65.8%,100%,79.19%,94.06%,54.04%,99.79%,75.16%,NULL,NULL,94.62%,32.12%
2006-1-13,58.07%,NULL,89.49%,63.26%,92.75%,NULL,NULL,99.72%,NULL,53.64%,88.13%,49.74%,NULL,100%,55.39%,65.65%,100%,78.72%,97.58%,53.15%,99.36%,74.74%,NULL,NULL,94.3%,32.56%
2006-1-14,57.44%,NULL,89.02%,63.26%,92.26%,NULL,NULL,100%,NULL,53.37%,88.16%,49.1%,NULL,100%,54.88%,65.47%,99.86%,78.36%,97.2%,52.28%,98.47%,74.2%,NULL,NULL,94.01%,33.28%
2006-1-15,56.82%,NULL,88.54%,63.26%,91.66%,NULL,NULL,100%,NULL,53.19%,88.2%,48.43%,NULL,100%,54.21%,65.29%,98.55%,78.33%,96.26%,51.2%,97.81%,73.67%,NULL,NULL,93.72%,33.39%
2006-1-16,56.2%,NULL,88.05%,63.26%,90.02%,NULL,NULL,100%,NULL,53.01%,88.22%,47.75%,NULL,100%,53.54%,65.18%,97.4%,78.58%,95.1%,50.19%,97.34%,73.13%,NULL,NULL,93.51%,29.59%
2006-1-17,55.57%,NULL,87.43%,63.49%,87.91%,NULL,NULL,99.89%,NULL,52.74%,87.59%,47.34%,NULL,100%,51.69%,65.07%,96.09%,77.79%,93.82%,49.53%,89.23%,72.49%,NULL,NULL,93.15%,27.48%
2006-1-18,55.03%,NULL,86.92%,63.49%,86.16%,NULL,NULL,99.89%,NULL,52.38%,86.81%,46.93%,NULL,100%,51.61%,64.93%,94.65%,77.36%,93.1%,49.07%,82.43%,70.69%,NULL,NULL,92.86%,27.76%
2006-1-19,54.57%,NULL,86.41%,63.49%,84.28%,NULL,NULL,99.89%,NULL,52.02%,86.03%,46.48%,NULL,100%,51.43%,64.75%,93.2%,76.9%,92.49%,48.6%,76.12%,69.93%,NULL,NULL,92.57%,29.1%
2006-1-20,54.11%,NULL,85.89%,64.38%,82.2%,NULL,NULL,99.89%,NULL,51.94%,85.19%,46.1%,NULL,100%,51.77%,64.57%,91.75%,76.16%,91.86%,48.21%,68.45%,69.4%,NULL,NULL,92.29%,29.05%
2006-1-21,53.64%,NULL,85.34%,65.5%,80.18%,NULL,NULL,99.94%,NULL,51.66%,84.35%,45.73%,NULL,100%,52.02%,63.71%,91.75%,76.23%,91.17%,47.88%,61.4%,68.86%,NULL,NULL,92.04%,29.53%
2006-1-22,53.26%,NULL,84.85%,66.61%,78.21%,NULL,NULL,100%,NULL,51.41%,83.54%,45.36%,NULL,100%,52.27%,64.2%,91.75%,76.41%,90.78%,47.55%,95.74%,68.11%,NULL,NULL,91.76%,30.18%
2006-1-23,52.88%,NULL,84.39%,70.86%,76.5%,NULL,NULL,99.94%,NULL,51.49%,82.73%,45.23%,NULL,100%,52.36%,64.02%,91.75%,76.26%,90.85%,47.22%,100%,67.69%,NULL,NULL,91.48%,31.83%
2006-1-24,52.49%,NULL,83.91%,73.77%,74.6%,NULL,NULL,99.89%,NULL,51.66%,81.92%,45%,NULL,100%,52.36%,63.77%,91.75%,75.84%,91.43%,46.77%,100%,67.05%,NULL,NULL,91.23%,33.89%
2006-1-25,52.11%,NULL,83.39%,74.66%,73.14%,NULL,NULL,99.94%,NULL,51.66%,81.13%,44.76%,NULL,100%,52.27%,63.59%,91.75%,75.21%,91.72%,46.31%,100%,66.4%,NULL,NULL,91.02%,35.65%
2006-1-26,51.73%,NULL,82.89%,75.78%,73.76%,NULL,NULL,100%,NULL,51.49%,80.32%,44.59%,NULL,100%,52.44%,63.37%,91.75%,75%,92.09%,45.92%,100%,65.87%,NULL,NULL,90.92%,37.57%
2006-1-27,51.28%,NULL,82.4%,76.22%,74.17%,NULL,NULL,99.94%,NULL,51.34%,79.63%,44.22%,NULL,100%,51.77%,63.16%,91.75%,74.65%,92.28%,45.54%,100%,65.28%,NULL,NULL,90.57%,39.07%
