,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2003-1-1,65.1%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54.14%,NULL,61.01%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.72%,NULL,NULL,NULL,NULL,NULL,NULL
2003-1-2,64.79%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54.03%,NULL,60.84%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57.83%,NULL,NULL,NULL,NULL,NULL,NULL
2003-1-3,64.4%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53.94%,NULL,60.72%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56.94%,NULL,NULL,NULL,NULL,NULL,NULL
2003-1-4,64.08%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53.85%,NULL,60.59%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56.46%,NULL,NULL,NULL,NULL,NULL,NULL
2003-1-5,63.77%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53.76%,NULL,60.42%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55.98%,NULL,NULL,NULL,NULL,NULL,NULL
2003-1-6,63.37%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53.59%,NULL,60.3%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54.95%,NULL,NULL,NULL,NULL,NULL,NULL
2003-1-7,63.06%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53.68%,NULL,60.17%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53.92%,NULL,NULL,NULL,NULL,NULL,NULL
2003-1-8,62.66%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53.85%,NULL,60.09%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52.65%,NULL,NULL,NULL,NULL,NULL,NULL
2003-1-9,62.19%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53.85%,NULL,59.92%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51.31%,NULL,NULL,NULL,NULL,NULL,NULL
2003-1-10,61.72%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53.76%,NULL,59.72%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50.35%,NULL,NULL,NULL,NULL,NULL,NULL
