,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2005-1-1,63.21%,NULL,100%,71.53%,75.68%,NULL,NULL,99.94%,NULL,95.04%,88.1%,83.44%,NULL,52.96%,78.1%,84.97%,90.74%,100%,96.11%,69.03%,100%,NULL,NULL,NULL,85.89%,38.53%
2005-1-2,62.5%,NULL,100%,72.42%,76.39%,NULL,NULL,99.89%,NULL,94.91%,88.13%,82.89%,NULL,52.59%,77.53%,84.72%,90.74%,100%,96.11%,68.73%,95.72%,NULL,NULL,NULL,85.72%,38.65%
2005-1-3,61.8%,NULL,100%,73.54%,76.69%,NULL,NULL,87.81%,NULL,94.78%,88.16%,82.35%,NULL,50.56%,76.85%,84.44%,90.74%,100%,96.08%,68.29%,89.37%,NULL,NULL,NULL,85.72%,39.55%
2005-1-4,61.01%,NULL,100%,74.44%,76.79%,NULL,NULL,99.61%,NULL,94.53%,88.2%,81.8%,NULL,49.44%,76.27%,84.15%,15.36%,100%,95.84%,67.84%,84.43%,NULL,NULL,NULL,85.58%,39.67%
2005-1-5,60.22%,NULL,100%,75.23%,77.29%,NULL,NULL,99.44%,NULL,94.27%,88.2%,81.42%,NULL,49.26%,75.61%,83.9%,90.74%,100%,95.73%,67.62%,76.36%,NULL,NULL,NULL,85.55%,3.9%
2005-1-6,59.36%,NULL,100%,76%,77.7%,NULL,NULL,99.44%,NULL,94.02%,88.22%,80.98%,NULL,49.63%,74.93%,83.66%,90.74%,100%,95.5%,67.25%,70.52%,NULL,NULL,NULL,85.58%,38.77%
2005-1-7,58.57%,NULL,100%,76.67%,77.79%,NULL,NULL,99.44%,NULL,94.02%,88.25%,80.38%,NULL,50.19%,74.26%,83.37%,90.74%,100%,95.18%,66.88%,57.35%,NULL,NULL,NULL,85.51%,38.07%
2005-1-8,57.95%,NULL,100%,77.57%,77.79%,NULL,NULL,99.78%,NULL,93.77%,88.28%,79.97%,NULL,50.93%,73.49%,83.08%,90.74%,100%,95.02%,65.76%,57.28%,NULL,NULL,NULL,85.41%,36.61%
2005-1-9,57.5%,NULL,100%,78.01%,77.79%,NULL,NULL,99.83%,NULL,93.52%,88.32%,79.63%,NULL,51.67%,72.82%,82.8%,90.74%,100%,95.04%,64.72%,67.16%,NULL,NULL,NULL,85.34%,35.88%
2005-1-10,56.96%,NULL,100%,78.46%,77.7%,NULL,NULL,100%,NULL,93.4%,88.34%,79.23%,NULL,52.59%,72.14%,82.51%,90.74%,100%,95.07%,63.68%,100%,NULL,NULL,NULL,85.28%,34.69%
