,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2018-1-1,64.57%,NULL,75.22%,65.36%,72.5%,43.89%,95.71%,95.36%,97.66%,20.45%,52.29%,44.79%,2.58%,94.69%,70.68%,78.01%,9.41%,99.61%,90.26%,66.07%,73.88%,74.26%,81.72%,92.99%,69.56%,50.38%
2018-1-2,63.83%,NULL,74.8%,65.54%,73.01%,43.45%,95.47%,95.36%,97.91%,20.37%,52.29%,44.34%,2.57%,95.08%,69.95%,77.79%,9.41%,99.26%,90.65%,66.07%,79.97%,74.17%,80.88%,93.79%,69.26%,50.45%
2018-1-3,63.08%,NULL,74.41%,65.17%,73.21%,42.89%,95.28%,95.36%,97.1%,20.12%,52.35%,43.85%,2.57%,95.08%,69.24%,77.52%,9.41%,98.91%,90.7%,66.07%,80.41%,73.97%,80.21%,94.48%,68.96%,50.45%
2018-1-4,62.34%,NULL,73.89%,65.17%,73.21%,42.34%,94.98%,95.41%,97.35%,20.04%,52.41%,43.36%,2.56%,97.36%,68.51%,77.25%,9.41%,98.61%,90.7%,66.07%,77.2%,73.87%,79.38%,94.88%,68.6%,50.09%
2018-1-5,61.6%,NULL,73.66%,65.17%,73.41%,41.87%,94.79%,95.41%,97.16%,19.87%,52.44%,42.89%,2.56%,99.26%,67.9%,77.11%,9.41%,98.52%,90.73%,66.07%,72.92%,73.87%,79.21%,95.69%,68.3%,49.81%
2018-1-6,60.95%,NULL,73.33%,65.72%,73.61%,41.73%,94.42%,95.41%,96.59%,19.79%,52.5%,42.44%,2.56%,100%,67.18%,76.98%,9.41%,98.18%,90.97%,66.07%,71.39%,73.78%,79.54%,96.38%,68.03%,49.46%
2018-1-7,60.62%,NULL,73.05%,67.35%,74.62%,44.56%,94.6%,96.11%,95.53%,20.41%,52.56%,43.42%,2.71%,98.12%,66.47%,76.75%,9.41%,99.09%,93.81%,66.29%,88.76%,73.87%,80.21%,98.53%,68.69%,49.6%
2018-1-8,60.13%,NULL,73.14%,80.52%,77.23%,48.46%,97.69%,96.71%,97.47%,22.89%,52.64%,45.29%,2.81%,98.12%,65.76%,76.53%,9.41%,100%,94.53%,66.51%,100%,73.87%,80.21%,96.32%,70.39%,49.81%
2018-1-9,59.89%,NULL,73.05%,81.3%,79.64%,52.98%,99.68%,96.46%,99.37%,32.65%,52.79%,46.8%,3.02%,96.22%,65.15%,76.35%,9.41%,97.62%,94.9%,66.74%,100%,73.87%,80.21%,97.19%,72.7%,49.25%
2018-1-10,60.38%,NULL,74.87%,90.99%,81.88%,57.12%,99.11%,96.41%,98.8%,34.37%,51.85%,48.19%,2.96%,96.6%,64.45%,76.18%,9.41%,99.91%,94.5%,66.89%,100%,74.07%,79.38%,99.06%,74.75%,48.96%
