,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2017-1-1,18.65,51.1,18.64,97.2,71.88,5.41,0.0,13.8,5.36,45.8,10.89,0.0,139.4,179.88,110.16,12.26,27.0,76.87
2017-1-2,17.53,46.6,18.79,102.46,58.08,5.48,0.0,14.2,5.31,46.0,10.89,0.0,135.1,167.44,103.68,12.26,69.12,76.43
2017-1-3,18.21,64.9,18.79,117.42,83.43,5.41,0.0,15.2,5.29,45.9,10.89,0.0,139.0,160.36,103.68,12.26,110.5,77.23
2017-1-4,17.52,51.2,18.76,95.26,67.56,5.45,0.0,14.0,5.33,46.0,10.89,0.0,160.0,203.39,141.63,12.26,96.48,78.6
2017-1-5,15.83,55.7,18.59,117.42,49.08,5.39,0.0,14.1,5.35,45.9,10.89,0.0,147.1,156.38,103.68,12.26,47.6,77.41
2017-1-6,13.62,55.8,18.5,139.29,59.75,5.48,0.0,14.4,5.31,36.3,10.89,0.0,129.4,193.36,109.44,12.26,89.88,75.41
2017-1-7,12.73,64.3,18.43,82.52,112.81,5.41,0.0,15.0,5.32,29.7,10.89,0.0,114.2,181.35,120.96,12.26,0.0,74.65
2017-1-8,12.87,72.5,18.23,82.52,76.29,5.52,0.0,15.0,5.35,29.5,10.89,0.0,117.5,203.39,129.6,12.26,0.0,74.26
2017-1-9,12.57,68.0,18.32,131.26,48.73,5.56,0.0,14.3,4.9,42.1,10.89,0.0,125.5,203.39,138.24,12.15,33.67,74.75
2017-1-10,12.74,54.5,18.62,132.37,59.29,5.37,0.0,14.3,5.45,49.7,10.89,0.0,158.0,167.36,138.24,12.09,35.31,74.8
2017-1-11,11.99,49.9,19.01,157.57,58.88,5.37,0.0,15.4,7.19,49.3,10.89,0.0,188.5,190.77,195.06,12.09,36.25,74.68
2017-1-12,12.41,54.5,19.08,157.57,61.95,4.93,0.0,15.2,7.21,49.4,10.89,0.0,185.4,154.92,144.0,12.09,39.6,73.8
2017-1-13,11.88,49.9,18.55,129.05,54.6,4.34,0.0,14.1,7.18,49.6,10.89,0.0,169.4,156.99,155.52,12.09,43.96,73.53
2017-1-14,12.77,50.0,17.82,93.6,56.96,4.17,23.8,12.9,7.22,49.8,10.89,0.0,148.7,157.16,136.8,12.09,66.65,73.29
2017-1-15,11.69,40.6,17.16,123.51,62.67,4.34,112.2,14.3,7.19,50.0,10.89,0.0,116.9,203.99,120.96,12.09,69.27,73.52
2017-1-16,14.69,48.7,17.3,96.37,59.52,4.6,329.0,14.3,6.09,342.8,10.89,0.0,119.2,165.11,111.6,11.37,40.91,73.81
2017-1-17,10.14,48.7,17.3,80.03,69.72,5.32,421.2,14.7,5.3,341.1,10.89,0.0,122.7,180.06,103.68,11.08,39.83,73.65
2017-1-18,9.81,48.7,17.63,150.92,51.78,5.24,421.8,15.7,6.0,339.7,10.89,0.0,114.1,223.0,165.33,12.09,55.44,73.77
2017-1-19,10.1,44.3,17.12,134.86,50.49,4.96,424.0,15.4,6.36,341.3,10.89,0.0,110.7,176.77,103.68,NULL,50.04,73.82
2017-1-20,9.09,48.8,17.36,170.03,46.74,5.25,430.6,15.0,6.37,341.9,10.89,0.0,142.4,216.09,103.68,12.09,30.6,72.26
2017-1-21,8.39,44.3,16.89,152.03,51.41,5.59,434.8,15.1,6.36,341.4,10.89,0.0,188.0,188.35,112.32,12.09,37.21,69.92
2017-1-22,8.98,44.3,17.24,156.19,55.95,5.38,432.0,15.3,6.36,342.0,10.89,0.0,171.6,228.01,138.24,12.09,27.51,70.06
