,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2004-1-1,0.3,12.0,NULL,50.06,NULL,0.91,20.0,1.6,NULL,5.6,2.33,1.0,113.9,76.72,42.94,NULL,NULL,34.82
2004-1-2,0.3,6.1,NULL,43.82,NULL,1.78,16.0,1.5,NULL,0.0,3.55,1.0,116.4,59.79,51.45,NULL,NULL,0.0
2004-1-3,0.3,3.8,NULL,56.48,NULL,1.85,24.0,1.6,NULL,3.6,4.77,1.0,101.7,77.85,42.5,NULL,NULL,10.11
2004-1-4,0.3,10.3,NULL,37.76,NULL,1.19,17.0,2.0,NULL,11.5,4.77,1.0,132.3,61.17,46.0,NULL,NULL,2.85
2004-1-5,0.3,6.3,NULL,34.75,NULL,1.34,16.0,1.1,NULL,3.8,2.33,0.8,122.0,70.68,42.3,NULL,NULL,0.0
2004-1-6,0.3,7.8,NULL,18.15,NULL,2.04,25.0,1.3,NULL,3.8,4.77,0.3,132.2,65.32,38.65,NULL,NULL,0.0
2004-1-7,0.2,5.0,NULL,41.17,NULL,1.06,16.0,0.7,NULL,2.8,3.55,1.3,123.8,66.53,43.9,NULL,NULL,2.07
2004-1-8,0.2,5.4,NULL,38.04,NULL,1.21,17.0,0.7,NULL,3.9,2.33,2.3,110.8,62.99,40.7,NULL,NULL,50.37
2004-1-9,0.2,8.8,NULL,63.43,NULL,1.03,9.0,0.9,NULL,3.8,2.33,6.3,111.2,71.11,41.8,NULL,NULL,35.6
2004-1-10,0.3,5.4,NULL,55.34,NULL,1.08,15.0,3.0,NULL,42.7,4.8,2.2,83.5,57.89,44.5,NULL,NULL,0.35
2004-1-11,0.0,1.6,NULL,35.06,NULL,0.89,20.0,0.8,NULL,8.7,2.33,0.3,92.5,59.44,36.2,NULL,NULL,0.0
2004-1-12,0.2,9.7,NULL,34.0,NULL,1.34,17.0,1.8,NULL,5.4,4.77,1.2,107.3,71.45,44.8,NULL,NULL,5.01
2004-1-13,0.2,5.0,NULL,43.71,NULL,1.21,3.0,1.0,NULL,118.7,2.33,2.2,109.6,60.05,46.1,NULL,NULL,2.85
2004-1-14,0.2,3.5,NULL,41.75,NULL,1.39,4.0,0.9,NULL,404.2,2.33,3.2,108.3,56.68,46.42,NULL,NULL,2.76
2004-1-15,0.78,7.8,NULL,55.89,NULL,2.09,10.0,1.5,NULL,425.9,5.0,1.2,121.0,53.14,47.3,NULL,NULL,0.0
2004-1-16,0.2,8.7,NULL,33.25,NULL,1.35,3.0,1.5,NULL,417.2,4.08,2.2,121.4,56.94,41.6,NULL,NULL,0.0
2004-1-17,0.9,6.9,NULL,NULL,NULL,1.69,18.0,2.0,NULL,331.7,4.08,0.9,102.0,65.15,38.19,NULL,NULL,11.75
2004-1-18,1.44,2.4,NULL,NULL,NULL,1.44,8.0,0.1,NULL,0.0,2.94,0.9,99.1,45.1,47.22,NULL,NULL,0.0
2004-1-19,0.2,6.6,NULL,NULL,NULL,1.39,9.0,1.4,NULL,0.0,2.94,0.8,94.3,70.33,45.16,NULL,NULL,0.0
2004-1-20,0.3,7.2,NULL,39.06,NULL,3.56,1.0,2.1,NULL,343.4,5.23,0.7,110.6,58.23,54.7,NULL,NULL,35.6
2004-1-21,1.33,4.5,NULL,35.77,NULL,4.48,24.0,7.6,NULL,324.1,2.94,0.9,124.4,80.7,110.14,NULL,NULL,43.11
