,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2014-1-1,0.41,0.3,14.27,96.15,76.38,5.23,15.0,19.9,NULL,0.0,3.5,0.24,159.5,223.34,147.92,4.4,46.7,76.55
2014-1-2,0.0,0.3,13.13,93.97,76.38,7.17,15.0,33.2,NULL,0.0,3.6,0.53,144.5,196.65,139.17,2.02,51.38,79.32
2014-1-3,2.14,0.3,12.0,91.51,72.06,6.41,14.0,18.6,NULL,0.0,3.62,0.29,149.9,199.24,121.36,1.11,39.72,77.76
2014-1-4,0.0,0.3,11.04,85.28,72.06,5.52,30.0,17.3,NULL,4.4,3.64,0.3,155.8,194.05,103.56,0.78,33.35,75.34
2014-1-5,2.7,0.3,7.09,75.19,68.34,5.2,15.0,14.6,NULL,9.3,NULL,0.43,144.8,172.54,103.93,2.75,45.12,74.22
2014-1-6,0.0,0.3,12.27,102.55,65.66,4.87,11.4,15.6,NULL,294.1,2.48,1.01,128.7,160.7,86.45,3.61,44.74,68.86
2014-1-7,1.51,1.1,11.55,75.49,98.32,5.22,8.4,14.6,NULL,409.2,3.69,0.2,119.3,157.85,86.89,3.63,31.04,74.65
2014-1-8,2.88,0.3,13.5,88.47,84.76,4.62,26.4,14.4,NULL,404.9,2.51,0.13,135.0,186.88,96.31,3.97,39.81,65.23
2014-1-9,0.0,0.3,8.06,100.96,83.46,5.03,12.8,11.4,NULL,193.2,1.35,0.17,145.5,155.6,123.25,0.04,42.62,56.76
2014-1-10,2.61,1.9,12.43,107.95,79.92,4.78,14.0,11.8,NULL,0.0,2.56,0.13,153.6,146.28,132.42,1.64,36.22,60.91
2014-1-11,2.44,0.3,12.94,73.03,84.24,4.79,14.0,10.8,NULL,0.0,3.76,0.18,158.2,138.84,104.04,1.34,32.13,61.95
2014-1-12,0.0,0.3,12.37,96.95,73.35,3.48,15.0,8.6,NULL,0.0,3.78,0.14,154.0,149.13,95.39,0.36,36.07,60.39
2014-1-13,0.56,1.7,8.05,89.39,71.79,4.65,14.0,11.0,NULL,0.0,2.61,0.45,143.2,135.64,130.08,0.58,38.71,53.31
2014-1-14,0.56,0.3,11.61,86.18,73.09,5.68,15.0,8.2,NULL,0.3,2.63,0.51,142.9,128.22,393.44,0.22,31.08,56.68
2014-1-15,2.4,0.3,10.16,102.15,60.91,2.97,14.0,9.5,NULL,0.0,1.49,0.46,145.7,141.87,344.4,0.25,37.32,52.79
2014-1-16,2.39,0.3,13.21,79.15,59.53,4.64,14.0,7.4,NULL,0.0,2.68,0.39,142.8,155.35,210.78,0.55,34.56,65.06
2014-1-17,0.0,0.3,13.04,83.75,60.91,4.57,15.0,6.9,NULL,0.0,1.53,0.56,139.1,139.19,148.28,0.27,37.32,35.94
2014-1-18,0.82,0.3,12.03,87.11,60.91,3.24,14.0,6.6,NULL,0.0,1.56,0.32,134.4,126.23,121.51,0.41,30.24,47.87
2014-1-19,1.23,0.3,11.43,84.99,64.28,4.46,21.0,7.1,NULL,0.0,2.74,0.29,136.6,124.59,99.56,0.47,33.96,48.73
2014-1-20,1.43,0.3,11.5,97.01,60.91,4.54,3.2,7.2,NULL,323.9,2.76,0.46,131.7,107.31,99.9,0.06,34.56,43.72
2014-1-21,1.49,0.3,8.31,70.9,60.91,4.8,3.2,3.4,NULL,358.7,0.48,0.52,129.1,119.4,77.31,0.01,28.72,39.74
2014-1-22,2.45,0.3,6.87,86.02,83.55,2.81,20.6,6.1,NULL,365.6,1.65,0.49,132.1,118.54,77.34,0.38,27.67,58.58
2014-1-23,2.52,0.3,7.72,70.43,64.54,2.86,8.5,7.6,NULL,374.3,2.01,0.8,136.7,117.16,68.77,0.13,43.81,31.45
2014-1-24,0.0,0.3,6.62,68.16,102.64,4.72,2.4,4.3,NULL,366.3,0.47,0.76,154.3,89.16,69.18,0.15,34.56,47.0
2014-1-25,0.0,0.6,6.26,74.21,65.23,3.34,6.2,5.3,NULL,374.3,1.65,0.71,142.4,104.11,60.06,0.18,34.56,28.6
2014-1-26,2.23,0.3,5.36,70.98,65.15,3.26,23.0,4.0,NULL,374.3,1.68,0.54,146.3,105.24,60.66,0.21,34.56,46.74
2014-1-27,0.32,0.3,4.81,78.2,125.71,2.79,5.6,4.0,NULL,384.3,2.82,0.66,150.0,108.43,61.0,2.56,34.5,32.49
2014-1-28,0.36,0.3,4.93,70.71,111.37,4.95,5.0,2.9,NULL,377.8,1.71,0.8,146.9,116.21,52.51,0.25,34.69,30.15
2014-1-29,0.0,0.3,5.48,65.77,131.41,3.02,11.0,4.4,NULL,386.0,3.26,0.89,157.5,112.75,52.75,0.28,34.56,42.85
2014-1-30,1.55,0.3,5.58,61.52,71.37,3.21,17.0,4.6,NULL,381.2,2.96,0.91,154.9,109.64,52.96,0.1,33.61,25.23
2014-1-31,1.69,0.3,6.22,75.91,92.97,4.1,4.6,7.7,NULL,304.2,4.1,0.88,144.4,99.71,53.34,1.1,34.56,41.99
2014-2-1,0.0,0.3,5.83,69.71,81.82,4.48,14.0,3.1,NULL,0.0,3.0,0.43,149.0,88.3,44.64,1.13,34.56,33.26
2014-2-2,5.26,0.3,4.64,75.42,78.02,2.66,53.0,4.6,NULL,0.0,3.02,0.31,155.1,98.58,45.13,0.89,41.06,29.98
2014-2-3,2.9,0.3,4.42,79.94,110.16,3.81,27.0,2.3,NULL,0.0,3.04,0.56,157.6,84.07,54.27,0.41,36.39,40.35
2014-2-4,0.29,7.8,4.5,69.82,108.09,3.52,9.0,6.3,NULL,0.0,3.05,0.45,154.5,92.36,54.46,0.94,44.53,36.2
2014-2-5,0.0,0.3,10.85,110.44,227.4,7.84,21.2,9.3,NULL,385.9,3.06,0.39,147.6,118.89,142.4,1.22,55.62,50.46
2014-2-6,2.22,0.3,6.41,73.11,202.6,4.96,18.4,5.5,NULL,407.1,3.78,0.31,134.8,111.45,116.05,2.25,43.02,63.42
2014-2-7,1.58,0.6,4.74,70.89,189.82,4.9,22.0,5.9,NULL,402.0,2.11,0.52,151.8,101.78,81.37,0.76,41.06,39.57
2014-2-8,0.0,0.3,6.72,98.57,238.81,4.94,12.6,16.9,NULL,403.9,3.23,0.34,169.2,104.63,99.02,1.8,47.19,48.12
2014-2-9,6.33,5.4,95.08,423.33,241.49,58.71,11.4,56.9,NULL,412.9,3.25,0.32,236.1,292.03,667.83,2.59,103.68,121.22
2014-2-10,3.74,2.3,14.0,328.4,238.46,51.23,62.84,41.5,NULL,308.0,3.27,0.15,541.2,347.93,1049.27,3.39,150.12,120.44
2014-2-11,4.53,5.5,14.28,193.01,97.2,9.7,38.0,41.0,NULL,0.0,3.26,0.02,536.1,226.11,753.71,5.2,64.21,77.5
2014-2-12,4.34,9.9,39.47,164.69,219.54,12.68,25.0,38.6,NULL,0.0,2.22,0.04,229.4,177.12,549.94,3.79,64.3,62.55
2014-2-13,4.06,2.7,33.84,170.05,223.17,12.47,26.0,37.3,NULL,0.0,2.24,0.78,181.4,203.9,769.5,2.93,69.32,27.3
2014-2-14,5.63,0.3,14.44,176.1,148.0,13.84,14.6,38.7,NULL,303.7,4.42,0.85,193.3,239.67,881.04,2.7,96.13,76.38
2014-2-15,3.24,2.5,13.47,152.36,148.18,5.03,22.2,34.5,NULL,403.4,2.28,0.03,196.2,203.82,621.14,1.99,82.7,52.01
2014-2-16,1.38,2.6,14.63,142.95,135.3,3.5,27.2,31.9,NULL,413.7,3.38,0.06,199.0,186.36,404.71,1.03,74.47,57.73
2014-2-17,2.21,0.3,15.05,132.47,102.3,7.95,12.6,28.6,NULL,443.9,3.4,0.08,194.7,179.88,230.5,0.79,61.4,47.43
2014-2-18,2.22,0.6,16.16,130.3,203.47,4.91,19.2,28.1,NULL,419.5,2.36,0.04,197.7,154.31,208.85,1.14,67.38,47.69
2014-2-19,2.33,0.3,11.88,173.19,216.35,12.1,13.2,45.3,NULL,433.0,3.45,0.82,213.6,212.03,230.57,2.36,100.08,55.64
2014-2-20,2.09,3.4,4.08,147.18,236.56,19.3,19.0,40.8,NULL,444.2,4.54,0.06,209.7,303.52,290.91,2.38,97.94,89.77
2014-2-21,2.38,0.3,14.89,145.24,219.37,13.34,17.8,35.7,NULL,441.2,3.5,0.07,194.1,236.3,210.97,1.92,82.1,66.18
2014-2-22,2.35,0.3,19.78,138.85,143.94,13.25,5.0,31.9,NULL,444.4,3.52,0.02,208.8,173.66,175.21,1.94,85.16,63.42
2014-2-23,1.7,0.3,16.18,137.84,76.72,8.67,5.8,29.0,NULL,456.3,3.54,0.11,214.1,161.48,166.36,0.29,69.12,59.53
2014-2-24,0.38,0.3,18.07,117.71,141.1,5.05,18.4,25.3,NULL,69.4,2.52,0.08,216.5,148.26,130.79,0.32,56.92,56.07
2014-2-25,1.05,0.3,17.31,118.73,146.79,8.35,22.0,22.2,NULL,0.0,3.24,0.54,211.7,154.31,122.22,1.53,55.34,51.75
2014-2-26,1.38,0.4,13.62,111.38,148.61,6.95,19.4,21.3,NULL,179.0,2.41,1.55,212.0,132.45,104.42,0.14,50.85,69.03
2014-2-27,0.8,2.1,17.29,135.6,154.14,7.14,9.68,17.3,NULL,426.2,4.5,1.48,214.0,135.91,95.73,0.87,41.78,52.79
2014-2-28,0.68,0.3,14.92,110.95,135.73,6.95,7.2,18.9,NULL,418.2,4.51,1.33,214.2,137.55,86.9,1.13,51.08,60.83
2014-3-1,0.14,0.3,15.4,107.9,130.29,5.56,16.2,16.5,NULL,411.1,3.49,1.31,223.1,120.87,78.06,1.16,41.15,58.06
