,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2010-1-1,5.05,1.4,6.02,9.7,NULL,3.36,29.2,7.3,NULL,0.0,2.8,0.2,80.1,108.95,141.36,21.26,NULL,44.5
2010-1-2,6.88,0.3,5.94,73.88,NULL,3.07,12.0,5.7,NULL,0.0,2.93,0.5,77.9,102.73,114.9,20.25,NULL,53.48
2010-1-3,2.54,2.2,13.16,83.85,NULL,5.33,28.2,37.6,NULL,0.0,3.89,0.2,81.5,104.03,123.55,1.3,NULL,31.8
2010-1-4,3.8,16.7,72.29,123.32,NULL,7.72,57.0,38.2,NULL,0.0,2.95,0.5,72.7,206.15,132.56,15.75,NULL,98.58
2010-1-5,2.17,0.3,26.13,98.18,NULL,5.94,28.2,26.3,NULL,0.0,3.91,0.5,77.8,176.08,113.82,14.42,NULL,87.87
2010-1-6,1.25,0.3,12.17,91.49,NULL,3.89,23.9,17.8,NULL,0.0,2.97,0.5,73.5,122.26,114.96,12.7,NULL,39.92
2010-1-7,4.72,0.3,7.42,70.14,NULL,4.95,16.2,18.8,NULL,4.6,2.98,0.5,102.9,106.79,133.0,8.2,NULL,35.94
2010-1-8,4.4,0.3,9.16,122.21,NULL,5.71,35.0,16.3,NULL,0.0,2.99,0.5,111.4,117.68,369.58,8.2,NULL,53.83
2010-1-9,6.57,2.1,33.37,159.03,NULL,10.83,40.0,36.5,NULL,0.0,3.0,1.5,119.0,207.45,720.42,12.7,NULL,114.05
2010-1-10,6.61,3.7,24.66,120.74,NULL,8.05,23.0,27.7,NULL,0.0,3.95,0.8,94.5,224.29,560.09,19.45,NULL,70.42
2010-1-11,0.91,0.3,15.29,121.12,NULL,6.12,28.2,26.8,NULL,0.0,3.02,0.8,84.5,145.32,337.23,19.45,NULL,60.65
2010-1-12,2.97,0.3,9.52,84.45,NULL,2.98,35.6,18.7,NULL,9.7,2.09,0.8,71.9,135.48,259.25,33.46,NULL,50.8
2010-1-13,3.97,0.3,12.72,104.84,NULL,4.19,35.4,14.7,NULL,121.9,1.17,1.8,85.4,134.52,300.0,11.5,NULL,43.98
2010-1-14,4.0,0.3,8.96,97.2,NULL,3.28,30.4,10.9,NULL,140.9,2.12,1.8,59.1,134.35,258.0,13.75,NULL,43.29
