,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2016-1-1,2.51,0.3,11.07,73.27,38.02,4.65,4.4,9.0,NULL,0.0,1.74,0.01,115.6,77.76,135.61,1.11,43.2,37.5
2016-1-2,7.21,0.3,9.5,76.74,38.02,1.61,17.0,8.4,NULL,7.5,10.81,0.01,122.1,68.4,104.3,7.05,43.2,33.78
2016-1-3,46.34,101.9,15.64,205.21,52.96,7.63,229.0,22.8,NULL,126.4,19.89,0.09,161.4,104.46,104.3,23.4,53.16,52.19
2016-1-4,20.08,0.3,51.11,254.98,83.26,16.26,102.4,48.4,NULL,0.0,7.4,0.07,163.2,157.07,167.0,17.42,148.87,141.26
2016-1-5,11.04,47.4,39.19,137.13,49.51,10.8,50.0,21.7,NULL,0.2,2.87,0.19,156.1,142.3,144.78,12.94,136.9,100.48
2016-1-6,21.18,47.7,94.74,175.74,54.78,32.62,61.8,65.4,NULL,289.7,8.54,1.13,352.8,233.19,166.5,17.59,87.78,142.39
2016-1-7,8.94,36.0,77.17,137.96,49.51,20.23,39.0,69.0,NULL,391.5,2.9,2.16,334.4,213.32,169.9,12.81,63.65,153.01
2016-1-8,13.56,36.8,56.22,125.98,49.51,12.0,60.4,41.7,NULL,398.9,1.8,0.21,278.4,143.6,181.02,8.25,54.98,117.33
2016-1-9,11.35,33.7,40.83,109.85,43.72,8.33,47.8,43.3,NULL,380.1,5.19,0.22,267.3,130.4,101.74,10.78,55.33,97.89
2016-1-10,8.05,25.2,33.94,122.7,43.72,8.09,31.2,28.7,NULL,52.4,2.96,0.24,217.9,108.6,33.94,13.38,51.08,93.83
2016-1-11,13.14,29.1,78.38,245.32,46.05,76.3,49.0,55.4,NULL,4.5,1.86,4.05,258.7,173.7,51.84,15.06,72.72,120.44
2016-1-12,13.8,39.8,129.54,218.05,68.77,57.51,49.0,51.9,NULL,0.0,3.0,2.11,386.6,290.13,85.95,7.98,102.17,158.46
2016-1-13,13.38,36.7,92.4,165.54,98.58,27.41,48.0,60.4,NULL,5.9,8.57,3.12,489.0,212.98,159.14,12.89,118.64,151.11
2016-1-14,10.47,35.5,73.12,158.04,117.78,17.48,20.4,52.9,NULL,0.0,6.35,2.18,367.2,157.25,213.04,18.68,89.56,156.04
2016-1-15,7.62,29.1,62.37,160.41,98.58,17.3,49.0,61.0,NULL,0.0,4.14,2.07,344.7,151.89,238.56,18.42,74.99,126.32
2016-1-16,11.39,55.9,59.8,193.01,115.08,10.38,32.0,50.1,NULL,0.0,4.16,2.18,320.1,165.37,123.44,17.59,60.48,145.84
2016-1-17,10.92,89.6,52.56,434.79,182.13,81.57,53.4,32.2,NULL,0.9,5.27,3.12,465.4,294.8,114.54,13.62,86.4,182.39
2016-1-18,10.47,124.3,9.88,320.01,308.1,60.83,49.0,50.3,NULL,0.0,6.37,0.23,678.6,501.21,96.54,9.93,228.36,162.35
2016-1-19,9.26,89.9,26.15,254.79,379.21,18.16,48.0,33.0,NULL,0.0,4.18,0.26,631.9,290.4,175.78,9.07,175.87,192.76
