,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2007-1-1,63.61 %,82.02 %,28.2 %,NULL,NULL,82.78 %,83.69 %,67.11 %,NULL,65.93 %,70.75 %,83.5 %,42.55 %,80.57 %,89.75 %,75.77 %,NULL,98.75 %
2007-1-2,63.21 %,81.56 %,28.32 %,NULL,NULL,82.78 %,83.72 %,66.97 %,NULL,65.29 %,70.63 %,83.5 %,45.08 %,80.17 %,90.01 %,75.5 %,NULL,98.61 %
2007-1-3,62.81 %,81.05 %,28.44 %,NULL,NULL,82.78 %,83.75 %,66.84 %,NULL,64.66 %,70.87 %,83.5 %,45.08 %,80.14 %,90.07 %,75.1 %,NULL,98.57 %
2007-1-4,62.41 %,80.53 %,28.66 %,NULL,NULL,82.78 %,83.81 %,66.84 %,NULL,64.11 %,70.79 %,83.79 %,44.24 %,79.84 %,90.64 %,74.3 %,NULL,98.35 %
2007-1-5,61.93 %,80.02 %,28.85 %,NULL,NULL,82.66 %,83.84 %,66.7 %,NULL,63.56 %,70.71 %,84.08 %,40.92 %,79.45 %,91.43 %,74.03 %,NULL,98.31 %
2007-1-6,61.46 %,79.51 %,28.95 %,NULL,NULL,82.54 %,83.87 %,66.65 %,NULL,63.01 %,70.63 %,84.08 %,42.03 %,79.34 %,91.94 %,73.9 %,NULL,98.05 %
2007-1-7,61.06 %,78.98 %,29.04 %,NULL,NULL,82.42 %,83.9 %,66.43 %,NULL,62.46 %,70.51 %,84.08 %,43.13 %,79.23 %,92.23 %,73.77 %,NULL,97.79 %
2007-1-8,60.59 %,78.51 %,29.07 %,NULL,NULL,82.3 %,83.93 %,66.24 %,NULL,61.91 %,70.38 %,84.08 %,45.08 %,79.16 %,92.36 %,73.77 %,NULL,97.54 %
2007-1-9,60.19 %,78.03 %,29.22 %,NULL,NULL,82.18 %,83.13 %,65.88 %,NULL,65.11 %,70.26 %,82.92 %,43.13 %,79.01 %,92.41 %,72.83 %,NULL,97.31 %
2007-1-10,59.8 %,77.49 %,29.22 %,NULL,NULL,82.06 %,82.28 %,65.56 %,NULL,69.46 %,70.14 %,81.77 %,45.39 %,78.8 %,92.39 %,72.3 %,NULL,97.06 %
2007-1-11,59.4 %,76.96 %,29.22 %,NULL,NULL,81.94 %,81.43 %,65.16 %,NULL,73.49 %,70.02 %,80.61 %,46.55 %,78.58 %,92.33 %,NULL,NULL,96.76 %
2007-1-12,59.01 %,76.44 %,29.22 %,NULL,NULL,81.81 %,80.58 %,64.88 %,NULL,77.33 %,69.86 %,79.45 %,42.55 %,79.08 %,92.17 %,71.37 %,NULL,96.46 %
