,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2008-1-1,75.57 %,92.26 %,92.92 %,NULL,NULL,76.13 %,100 %,71.62 %,NULL,81.87 %,89.41 %,100 %,14.83 %,100 %,86.55 %,75.37 %,NULL,92.43 %
2008-1-2,75.32 %,91.68 %,92.57 %,NULL,NULL,75.91 %,100 %,71.12 %,NULL,81.18 %,89.18 %,100 %,19.66 %,100 %,86.32 %,NULL,NULL,91.97 %
2008-1-3,74.99 %,91.1 %,92.31 %,NULL,NULL,75.91 %,100 %,70.68 %,NULL,80.48 %,89 %,100 %,18.15 %,100 %,86.01 %,75.77 %,NULL,91.66 %
2008-1-4,74.66 %,90.44 %,92.25 %,NULL,NULL,75.75 %,100 %,70.06 %,NULL,79.89 %,88.82 %,100 %,18.34 %,99.92 %,85.7 %,74.83 %,NULL,91.3 %
2008-1-5,74.33 %,89.86 %,92.21 %,NULL,NULL,75.58 %,100 %,69.51 %,NULL,79.3 %,88.68 %,100 %,19.67 %,98.97 %,85.45 %,74.83 %,NULL,90.95 %
2008-1-6,73.92 %,89.21 %,92.18 %,NULL,NULL,75.46 %,100 %,68.97 %,NULL,78.6 %,88.45 %,100 %,20.46 %,98.02 %,85.27 %,75.1 %,NULL,90.53 %
2008-1-7,73.51 %,88.64 %,92.12 %,NULL,NULL,75.31 %,100 %,68.42 %,NULL,78.01 %,88.23 %,100 %,20.67 %,98.1 %,84.99 %,75.37 %,NULL,90.11 %
2008-1-8,73.18 %,88.03 %,92.09 %,NULL,NULL,75.25 %,100 %,67.88 %,NULL,77.33 %,88.09 %,100 %,22.91 %,98.06 %,84.63 %,75.37 %,NULL,89.83 %
2008-1-9,72.85 %,87.42 %,92.02 %,NULL,NULL,75.15 %,100 %,67.33 %,NULL,76.75 %,87.86 %,100 %,23.76 %,97.65 %,84.3 %,75.23 %,NULL,89.34 %
2008-1-10,72.52 %,86.85 %,91.9 %,NULL,NULL,75.01 %,100 %,66.74 %,NULL,76.18 %,87.68 %,100 %,22.7 %,96.7 %,83.89 %,75.23 %,NULL,88.91 %
2008-1-11,72.2 %,86.25 %,91.7 %,NULL,NULL,74.21 %,100 %,66.15 %,NULL,75.61 %,87.46 %,100 %,22.91 %,95.81 %,83.56 %,75.23 %,NULL,88.57 %
2008-1-12,71.87 %,85.68 %,91.58 %,NULL,NULL,74.83 %,100 %,65.65 %,NULL,74.93 %,87.27 %,100 %,23.34 %,95.64 %,83.21 %,74.97 %,NULL,88.16 %
2008-1-13,71.54 %,85.16 %,91.39 %,NULL,NULL,74.62 %,100 %,65.16 %,NULL,74.26 %,87.09 %,100 %,22.7 %,94.79 %,82.85 %,74.03 %,NULL,87.75 %
2008-1-14,71.21 %,84.69 %,91.21 %,NULL,NULL,74.51 %,100 %,64.7 %,NULL,73.68 %,86.96 %,100 %,22.06 %,94.63 %,82.52 %,73.1 %,NULL,87.3 %
2008-1-15,70.89 %,84.21 %,91.07 %,NULL,NULL,74.41 %,100 %,64.29 %,NULL,73.01 %,86.78 %,100 %,23.34 %,94.19 %,82.62 %,72.7 %,NULL,86.92 %
2008-1-16,70.56 %,83.73 %,90.89 %,NULL,NULL,74.31 %,100 %,63.88 %,NULL,72.24 %,86.55 %,100 %,22.91 %,93.87 %,82.65 %,72.03 %,NULL,86.54 %
2008-1-17,70.23 %,83.22 %,90.62 %,NULL,NULL,74.2 %,100 %,63.38 %,NULL,70.03 %,86.42 %,100 %,23.13 %,93.43 %,82.95 %,NULL,NULL,86.1 %
2008-1-18,69.91 %,82.74 %,90.39 %,NULL,NULL,74 %,100 %,62.8 %,NULL,70.22 %,86.19 %,100 %,23.98 %,92.99 %,83.31 %,NULL,NULL,85.92 %
2008-1-19,69.58 %,82.15 %,90.16 %,NULL,NULL,73.83 %,100 %,62.21 %,NULL,72.53 %,86.01 %,100 %,23.76 %,92.51 %,83.61 %,NULL,NULL,85.21 %
2008-1-20,69.26 %,81.56 %,89.93 %,NULL,NULL,73.74 %,100 %,61.57 %,NULL,74.93 %,85.83 %,100 %,23.76 %,92.07 %,84.45 %,NULL,NULL,84.5 %
2008-1-21,68.93 %,80.94 %,89.7 %,NULL,NULL,73.63 %,99.74 %,60.92 %,NULL,77.33 %,85.57 %,100 %,23.34 %,91.56 %,84.78 %,NULL,NULL,83.83 %
2008-1-22,68.61 %,80.4 %,89.51 %,NULL,NULL,73.42 %,98.89 %,60.26 %,NULL,77.72 %,85.43 %,100 %,23.76 %,91.08 %,84.88 %,NULL,NULL,83.06 %
2008-1-23,68.28 %,79.78 %,89.29 %,NULL,NULL,73.21 %,98.08 %,59.68 %,NULL,78.01 %,85.12 %,100 %,24.66 %,90.53 %,84.83 %,NULL,NULL,82.42 %
2008-1-24,67.88 %,79.51 %,89.01 %,NULL,NULL,73 %,97.27 %,59.14 %,NULL,78.3 %,84.85 %,100 %,26.04 %,89.98 %,84.86 %,NULL,NULL,81.72 %
