,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2018-1-1,18.65,38.4,19.92,132.92,59.95,2.36,0.0,16.6,3.1,55.4,8.67,0.0,151.8,352.31,74.43,13.91,0.0,58.35
2018-1-2,19.13,35.4,19.55,111.88,82.51,3.02,0.0,16.9,3.08,55.4,9.22,0.0,153.1,172.52,158.54,13.91,0.0,58.3
2018-1-3,20.34,37.7,22.5,126.0,63.71,2.43,0.0,17.0,3.09,55.3,9.68,0.0,147.3,173.06,158.43,12.6,0.0,58.87
2018-1-4,19.08,34.5,22.39,143.45,81.48,2.36,0.0,16.9,3.11,55.5,9.68,0.0,170.4,174.84,158.32,10.52,0.0,59.24
2018-1-5,18.85,33.8,20.13,148.71,78.87,2.31,0.0,16.9,3.12,55.6,9.68,0.0,197.2,151.7,158.32,11.42,0.0,59.04
2018-1-6,20.46,33.1,16.5,164.49,74.22,2.07,0.0,16.9,3.09,55.6,9.68,0.0,192.2,193.15,158.18,10.72,0.0,58.24
2018-1-7,20.97,33.9,13.66,96.37,127.38,2.26,0.0,17.0,3.08,55.5,9.68,0.0,219.6,124.67,352.13,10.72,163.6,58.33
2018-1-8,20.65,33.0,14.7,583.48,147.23,2.28,0.0,16.6,3.08,55.7,9.68,0.0,542.0,437.3,665.29,10.72,259.2,59.6
2018-1-9,20.9,34.3,15.87,1077.51,204.34,2.07,0.0,16.4,4.21,55.7,9.68,0.0,1993.8,2115.92,664.08,10.72,402.84,62.08
2018-1-10,21.09,174.3,16.31,737.72,133.75,2.9,117.8,16.4,10.34,55.7,9.68,0.0,2136.7,665.59,663.71,10.6,474.12,64.57
2018-1-11,22.8,41.2,7.8,610.62,128.46,3.47,382.1,16.2,10.36,55.4,9.68,0.0,1652.9,498.77,665.16,16.44,457.12,65.46
2018-1-12,21.85,38.7,12.3,435.32,236.22,3.74,188.7,16.2,9.6,55.1,9.68,0.0,967.7,421.87,669.35,NULL,190.08,63.67
2018-1-13,24.08,34.9,11.33,444.46,187.62,3.7,0.0,16.1,8.35,54.9,9.68,0.0,787.5,377.05,668.98,15.24,190.08,64.86
2018-1-14,20.6,36.1,13.27,298.52,160.44,3.87,0.0,15.9,8.36,55.2,9.68,0.0,687.2,285.72,325.75,14.66,190.08,65.57
2018-1-15,15.84,36.7,13.92,290.77,147.62,3.97,0.0,15.3,8.49,55.0,9.68,0.0,548.5,259.56,326.8,13.82,190.08,65.67
2018-1-16,12.66,36.7,14.39,409.02,165.28,3.94,300.0,15.7,6.4,67.8,9.68,0.0,557.4,259.35,158.69,13.82,88.31,65.22
2018-1-17,11.54,39.4,14.64,374.95,181.74,4.05,190.5,16.2,3.14,68.0,9.68,0.0,678.8,253.15,158.88,13.82,81.9,64.36
2018-1-18,10.89,38.5,13.97,355.29,132.91,4.06,NULL,16.0,3.17,68.1,9.68,0.0,555.0,209.13,158.7,13.82,79.76,64.55
2018-1-19,10.46,38.3,14.34,319.02,141.19,4.08,0.0,16.0,3.22,68.1,9.68,0.0,533.5,221.22,158.95,13.82,111.6,64.74
2018-1-20,10.04,37.5,14.28,287.72,191.12,4.16,300.0,15.7,3.18,68.0,9.68,0.0,492.7,220.06,158.55,13.82,142.15,64.83
2018-1-21,9.86,37.6,14.0,260.31,186.57,4.2,190.6,15.8,3.17,67.8,9.68,2.59,425.3,180.19,158.47,17.95,93.6,64.86
2018-1-22,8.81,36.0,14.54,145.11,154.14,NULL,0.0,15.6,3.15,68.1,9.68,2.59,304.1,209.21,158.67,17.95,168.02,68.18
2018-1-23,9.54,34.3,15.21,165.05,202.36,4.26,0.0,15.3,3.18,67.9,9.68,2.59,319.0,186.66,158.86,15.16,117.0,70.08
2018-1-24,8.26,34.9,13.26,262.52,174.7,4.33,0.0,15.4,3.18,67.6,9.68,2.59,304.6,195.06,158.42,15.99,134.64,70.11
2018-1-25,8.64,35.3,12.13,249.23,138.41,5.02,304.4,16.4,3.18,67.8,9.68,2.59,330.3,167.74,158.41,15.99,117.0,70.27
2018-1-26,7.75,36.4,11.37,180.55,172.63,4.5,458.6,15.5,3.19,68.0,9.68,2.59,304.6,152.59,158.45,15.99,114.68,70.25
2018-1-27,7.38,36.5,10.78,123.51,141.26,4.38,172.0,15.2,3.18,67.8,9.68,2.59,253.4,197.07,158.31,15.99,0.0,70.13
2018-1-28,7.41,34.8,10.77,154.52,119.75,4.12,0.0,15.3,3.15,67.8,9.68,2.27,244.0,199.69,158.42,NULL,55.44,70.37
2018-1-29,7.34,34.8,10.83,285.51,167.1,4.12,266.2,14.7,3.16,67.8,9.68,0.0,253.4,205.23,214.53,15.99,125.14,69.6
2018-1-30,7.77,35.1,10.92,288.28,127.18,4.21,267.6,14.9,3.17,326.0,9.68,0.0,372.5,259.78,671.15,14.49,105.84,68.9
2018-1-31,7.79,35.0,11.11,357.23,181.04,4.06,306.8,15.3,3.17,326.0,9.68,0.0,433.2,265.56,670.61,13.74,161.06,67.73
2018-2-1,7.52,36.3,9.49,29.08,185.07,4.37,463.4,14.3,3.16,324.2,9.68,0.0,338.5,322.12,269.05,13.74,157.13,61.62
2018-2-2,7.37,37.6,8.54,42.09,227.26,4.77,463.4,15.3,3.37,324.6,9.68,1.62,237.5,291.2,264.91,13.74,159.19,58.95
2018-2-3,8.46,35.2,9.09,60.92,198.98,NULL,465.0,15.4,3.16,322.2,9.68,2.59,221.2,262.56,668.21,13.68,160.4,59.08
2018-2-4,7.09,35.0,9.71,208.8,221.98,4.44,465.6,14.7,3.17,321.2,9.68,2.59,227.9,263.3,667.53,13.66,161.28,59.32
2018-2-5,8.09,37.2,10.26,231.79,208.57,4.46,465.6,14.4,3.18,321.2,9.68,2.59,315.3,273.98,667.46,13.66,164.07,68.87
2018-2-6,8.73,37.4,9.55,294.37,214.95,4.57,429.6,15.5,3.18,321.1,9.81,2.59,420.5,280.63,667.13,13.66,44.88,79.14
2018-2-7,8.12,37.6,6.19,309.6,271.21,4.25,271.8,16.5,3.17,321.2,10.02,2.59,446.6,241.89,668.21,13.66,159.89,83.11
2018-2-8,7.97,37.9,6.44,197.72,209.01,4.23,274.8,15.4,3.19,312.4,10.02,2.59,554.7,334.02,668.62,13.66,153.56,84.81
2018-2-9,8.19,38.9,6.58,348.37,235.61,4.2,274.4,15.3,3.2,296.5,9.62,2.59,490.8,436.81,670.53,8.26,166.32,90.92
2018-2-10,8.21,48.1,6.67,403.48,268.23,4.47,275.6,15.4,3.25,288.8,9.5,2.59,486.9,480.34,672.27,6.39,269.94,96.39
2018-2-11,7.07,43.3,6.86,442.52,328.75,4.76,274.2,15.5,3.27,288.5,9.68,2.59,747.6,410.09,439.47,6.39,236.35,94.8
2018-2-12,8.82,41.8,11.74,493.75,318.26,4.94,274.8,15.6,4.95,284.0,9.68,2.59,824.2,451.87,439.63,8.78,180.25,98.94
2018-2-13,8.15,41.6,15.42,423.69,263.78,4.72,274.4,16.0,6.37,256.4,9.68,2.59,658.3,380.94,440.38,12.15,279.37,103.54
2018-2-14,9.12,49.7,15.69,371.08,290.99,4.85,278.0,16.5,7.57,257.0,9.68,2.59,582.8,311.47,385.03,13.13,171.57,99.54
2018-2-15,9.82,45.8,15.72,273.05,251.77,5.2,277.2,16.8,10.55,218.4,9.68,2.59,473.2,242.18,442.23,14.6,85.68,100.29
2018-2-16,8.76,31.8,15.29,181.66,253.78,4.09,277.6,14.7,8.15,218.0,9.68,2.59,334.2,234.58,443.51,11.66,118.8,90.14
2018-2-17,7.89,34.8,14.62,222.37,155.17,4.18,277.8,13.6,6.59,218.3,9.68,2.59,339.9,214.1,444.88,11.66,95.04,92.28
2018-2-18,8.57,36.9,14.7,157.29,74.91,4.2,280.8,13.8,6.65,257.0,9.68,2.59,305.3,204.6,217.54,11.66,141.88,108.87
2018-2-19,8.87,33.9,15.16,221.54,186.62,4.07,280.8,14.8,6.61,257.2,9.68,2.59,304.4,207.62,217.71,11.66,148.47,112.32
2018-2-20,7.97,37.6,14.69,147.88,208.0,4.06,280.8,15.2,4.82,257.1,9.68,2.59,326.1,166.92,160.57,11.31,59.91,111.09
2018-2-21,14.19,36.0,12.69,159.51,131.33,4.12,280.6,15.2,3.27,245.8,9.81,2.59,328.4,267.41,160.88,11.14,157.17,107.49
2018-2-22,15.13,38.0,6.5,361.11,121.99,4.02,282.2,15.3,3.27,245.8,9.87,2.59,472.1,235.79,161.36,6.16,99.4,103.2
2018-2-23,13.56,38.3,13.1,462.46,161.48,4.53,281.4,15.4,3.29,245.3,9.8,2.59,629.9,307.15,161.55,4.49,257.55,120.62
2018-2-24,14.86,38.4,14.33,276.09,203.13,3.97,282.2,15.3,3.27,244.9,9.96,2.59,503.7,215.57,161.79,4.49,152.04,88.8
2018-2-25,13.66,39.8,14.63,191.08,155.09,4.09,281.4,15.5,3.25,244.9,10.66,2.59,421.7,201.83,161.77,4.49,110.88,110.32
2018-2-26,14.83,14.0,14.68,180.83,142.76,4.04,282.6,15.4,3.25,244.9,10.36,0.0,327.2,209.87,161.72,15.72,107.04,103.07
2018-2-27,14.61,15.1,15.32,235.66,136.6,4.06,281.4,15.2,3.29,244.9,10.04,0.0,324.4,237.6,162.09,15.72,138.05,99.57
2018-2-28,15.35,53.4,14.67,197.17,163.86,4.07,284.8,15.3,3.27,244.9,10.04,0.0,321.5,257.3,161.97,15.72,87.51,96.69
2018-3-1,15.69,42.2,14.99,147.05,158.72,4.13,342.0,15.3,3.27,307.9,10.04,0.0,289.7,260.06,322.5,15.77,92.88,104.16
2018-3-2,15.74,43.3,15.67,289.66,173.3,4.2,343.2,15.3,3.26,314.5,10.04,2.59,289.4,249.26,334.91,13.97,141.1,113.49
2018-3-3,16.08,38.1,15.32,176.68,190.43,4.13,342.0,15.3,3.27,313.9,10.04,2.59,288.3,270.6,335.27,8.6,147.47,113.48
2018-3-4,16.05,43.9,15.57,174.46,205.87,4.23,342.8,15.4,3.26,309.8,10.04,2.59,282.1,260.67,336.65,5.96,112.56,113.47
2018-3-5,15.5,47.0,15.59,433.11,286.76,4.12,295.6,15.4,3.26,308.7,10.02,2.59,585.3,251.16,261.34,5.96,185.28,92.05
2018-3-6,15.17,49.8,16.28,242.59,183.91,4.06,301.2,15.5,3.27,307.1,10.04,2.59,333.5,252.72,40.96,9.01,65.6,81.39
2018-3-7,14.69,52.3,16.14,238.71,200.36,4.08,301.0,15.4,4.16,470.0,10.04,2.59,336.9,248.14,114.69,17.51,121.2,77.92
2018-3-8,13.18,47.1,16.14,145.11,133.37,4.01,346.2,15.0,5.45,470.8,10.04,2.59,312.7,246.59,40.96,18.38,88.15,70.74
2018-3-9,13.2,43.3,16.1,148.99,202.09,4.15,335.6,15.1,5.44,417.4,10.04,0.0,331.4,220.15,32.8,16.33,192.96,68.74
2018-3-10,13.12,44.9,16.17,192.46,202.95,4.14,399.0,15.2,5.44,249.0,10.04,0.0,304.9,241.32,32.82,15.61,127.08,66.86
2018-3-11,12.57,49.9,16.2,165.32,183.17,4.06,217.2,15.3,5.45,243.6,10.04,0.0,282.7,218.85,49.26,15.46,124.12,66.86
2018-3-12,14.18,45.7,16.94,152.86,262.84,4.14,220.6,15.4,5.46,243.2,10.02,0.0,287.7,222.31,82.11,9.13,215.24,66.61
2018-3-13,10.48,49.9,17.49,217.39,352.25,4.13,215.0,15.4,5.46,243.0,10.02,0.0,305.2,248.92,114.94,5.96,324.32,66.65
